"name","class","player_id","season","number","position","player_url"
"Baltzer, Clayton","So",NA,2013,"24","OF",NA
"Barrios, Patrick","So","1327089",2013,"6","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=958&stats_player_seq=1327089"
"Boger, Seth","So","1327090",2013,"8","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=958&stats_player_seq=1327090"
"Claypoole, Jake","Jr","1206010",2013,"3","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=958&stats_player_seq=1206010"
"Fraser, Cody","Sr",NA,2013,"9","OF",NA
"Funkhouser, Brett","So",NA,2013,"23","1B",NA
"Hodges, Jesse","So",NA,2013,"5","OF",NA
"Merson, Paul","So",NA,2013,"13","3B",NA
"Mills, Pj","So",NA,2013,"15","OF",NA
"Reed, Dan","So","1327087",2013,"2","SS","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=958&stats_player_seq=1327087"
"Shroyer, Zach","So",NA,2013,"10","1B",NA
"Smith, Tyler","So",NA,2013,"12","OF",NA
"Vincent, Randy","Jr",NA,2013,"4","2B",NA
