"name","class","player_id","season","number","position","player_url","team_id","team_name","team_url","conference_id","conference","division","season_id"
"Borger, Drew","Jr","1321040",2014,"7","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321040",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Bujtas, Jonathan","Jr","1321043",2014,"28","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321043",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Connors, Trevor","Jr","1321044",2014,"17","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321044",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Cooperman, Tyler","Fr","1542629",2014,"27","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1542629",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"DePaul, Tommy","Fr","1542625",2014,"6","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1542625",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Dennis, Charles","Sr","1202444",2014,"29","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1202444",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Dillard, Eric","Jr","1321048",2014,"40","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321048",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Elmer, Eric","Jr","1321039",2014,"3","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321039",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Fischer, Nick","Jr","1321042",2014,"13","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321042",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Fraser, Evan","So","1430711",2014,"16","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1430711",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Fuse, Mark","Sr","1202440",2014,"18","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1202440",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Gayeski, Dan","Sr","1542637",2014,"24","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1542637",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Hardy, Alec","So","1430712",2014,"19","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1430712",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Harris, Tyler","Jr","1321041",2014,"9","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1321041",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Hoffman, Rob","So","1430716",2014,"37","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1430716",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Hoos, Cameron","Fr","1542633",2014,"35","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1542633",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Hronich, Michael","Fr","1542627",2014,"21","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1542627",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
"Kacergis, Mike","Fr","1542628",2014,"25","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=20&stats_player_seq=1542628",20,"DeSales","/team/20/11620",28745,"MAC Freedom",3,11620
