"name","class","player_id","season","number","position","player_url"
"Bell, Matt","So","1434157",2014,"55","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434157"
"Bravo, Jorge","N/A","1547874",2014,"3","PH","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1547874"
"Buchko, Joel","Sr","1434154",2014,"10","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434154"
"Castro, Spencer","Sr","1434151",2014,"21","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434151"
"Cota, Ryan","Jr","1529138",2014,"26","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529138"
"DiLandro, Phil","So","1434159",2014,"33","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434159"
"Dillon, Sam","Jr","1529131",2014,"19","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529131"
"Drew, Ryan","Sr","1434146",2014,"2","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434146"
"Farrell, Chris","Jr","1529139",2014,"23","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529139"
"Gerber, Ryan","Sr","1434155",2014,"27","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434155"
"Gonzalez, Elliot","Fr","1529128",2014,"9","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529128"
"Greener,","N/A","1542436",2014,"18","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1542436"
"Hessney, Mac","Fr","1529133",2014,"24","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529133"
"Horner, Sean","Fr","1529137",2014,"22","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529137"
"Monda, Dominic","Jr","1529126",2014,"1","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529126"
"Nickler, Patrick","Jr","1529135",2014,"29","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529135"
"Niedzwiecki, Matt","Sr","1434160",2014,"34","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434160"
"Ortiz, Anthony","Sr","1434147",2014,"11","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434147"
"Parker, Tyler","Fr","1529134",2014,"28","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529134"
"Perla, Ethan","Sr","1193562",2014,"7","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1193562"
"Petilli, Mike","Sr",NA,2014,"14","P",NA
"Pettet, Robbie","Jr","1529141",2014,"30","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529141"
"Russell, Eric","N/A","1542437",2014,"35","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1542437"
"Scheuer, Tyler","Fr","1529132",2014,"20","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529132"
"Silvestri, Kennie","Jr","1308963",2014,"31","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1308963"
"Steimel, AJ","Sr","1434161",2014,"25","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434161"
"Vazquez, Andres","Jr","1434149",2014,"13","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434149"
"Visconti, Sean","So","1434148",2014,"17","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1434148"
"Walker, Brian","Jr","1308957",2014,"15","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1308957"
"Webb, Jason","Jr","1529127",2014,"5","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1529127"
"Winter, Murrell","N/A","1549505",2014,"32","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&org_id=30045&stats_player_seq=1549505"
