"player_name","class","player_id","season","number","position","player_url"
"Bolduc, Drew","Fr","2820664",2023,"6","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820664"
"Dunham, Peter","Fr","2820676",2023,"15","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820676"
"Forgues, Aaron","Fr","2820699",2023,"21","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820699"
"Fowle, Jackson","Fr","2820648",2023,"10","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820648"
"Friedlander, Max","Fr","2820687",2023,"20","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820687"
"Gallagher, Ty","Jr","2820744",2023,"11","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820744"
"Garrett, Nate","Fr","2820667",2023,"9","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820667"
"Hill, Johnny","Fr","2820644",2023,"7","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820644"
"Hoey, Colin","Fr","2820659",2023,"4","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820659"
"Jones, Will","Fr","2820663",2023,"5","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820663"
"Loudon, Henry","Jr",NA,2023,"29","P",NA
"Marancik, Alex","Fr","2820649",2023,"13","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820649"
"McCoy, Joe","Jr","2820741",2023,"14","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820741"
"Morse, Alex","Jr","2508745",2023,"23","SS","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2508745"
"Munuz, Evan","Fr","2820646",2023,"8","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820646"
"Nash, Teck","Fr","2820654",2023,"18","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820654"
"O'Connor, Jake","Fr",NA,2023,"24","P",NA
"Petry, Christian","Fr","2820637",2023,"2","2B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820637"
"Pinto, Isaiah","Fr","2820638",2023,"3","3B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820638"
"Presbrey, Michael","Fr","2820696",2023,"26","INF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820696"
"Sanchez, Jeremy","Fr","2820680",2023,"16","2B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820680"
"Sanders, Owen","So","2820734",2023,"25","C","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820734"
"Slauson, Jake","Fr","2820691",2023,"22","1B","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820691"
"Snyder, Griffin","So","2673955",2023,"33","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2673955"
"Tarrant, Cole","Fr","2820698",2023,"32","P","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2820698"
"Tremble, Richard","Fr",NA,2023,"1","OF",NA
"Whiteherse, Michael","Sr","2144250",2023,"17","OF","https://stats.ncaa.org/player/index?game_sport_year_ctl_id=16340&org_id=282&stats_player_seq=2144250"
