season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,29,1.0,1856,1994,368,553,101,22,63,335,24,7,241,507,10,887,37.0,57,10,23,0.0,2,49.0,333.8781935483871,2268,0.277,0.297,0.375,0.538,0.913,104.0,0.084,0.339,653.234,635.202,652.004,34.8,0.387,0.028,0.224,0.106,0.118,0.475
2022,15860,30,1.0,1568,1618,231,397,64,5,39,211,14,5,209,417,4,588,39.0,40,24,21,0.0,1,44.0,205.20610878661088,1872,0.245,0.253,0.345,0.43,0.775,68.0,0.049,0.303,403.814,394.442,406.364,20.6,0.316,0.021,0.223,0.112,0.111,0.501
2022,15860,31,1.0,2010,1465,341,390,83,6,67,275,43,5,232,358,10,686,21.0,51,16,12,0.0,2,25.0,275.7899662162162,1725,0.266,0.386,0.39,0.575,0.965,117.0,0.069,0.307,517.796,501.48,514.2,52.4,0.452,0.039,0.208,0.134,0.074,0.648
2022,15860,32,1.0,1428,1546,252,433,91,10,33,226,67,23,151,386,3,643,18.0,55,13,17,0.0,5,23.0,233.51676767676767,1727,0.28,0.262,0.37,0.503,0.873,93.0,0.078,0.35,480.622,465.906,489.832,44.2,0.361,0.019,0.224,0.087,0.137,0.391
2022,15860,37,1.0,2080,1791,347,486,98,10,45,319,47,13,204,436,4,739,19.0,66,16,30,0.0,2,23.0,277.7200759373517,2041,0.271,0.274,0.37,0.498,0.868,92.0,0.071,0.329,552.892,530.82,549.8,46.0,0.425,0.022,0.214,0.1,0.114,0.468
2022,15860,43,1.0,1680,1538,297,428,98,1,34,244,48,11,189,369,8,630,35.0,47,18,14,0.0,5,42.0,235.88961240310076,1759,0.278,0.278,0.377,0.496,0.873,92.0,0.066,0.343,464.678,454.31,470.34,39.8,0.417,0.019,0.21,0.107,0.103,0.512
2022,15860,47,1.0,1947,1918,423,566,102,28,69,385,49,20,239,365,11,931,12.0,69,18,24,0.0,4,32.0,374.3247619047619,2199,0.295,0.33,0.397,0.589,0.986,122.0,0.097,0.33,714.39,684.844,710.348,57.3,0.44,0.031,0.166,0.109,0.057,0.655
2022,15860,48,1.0,1890,1627,349,461,95,5,45,317,66,21,230,333,4,701,23.0,87,22,35,0.0,5,32.0,287.0219290354823,1914,0.283,0.317,0.406,0.52,0.926,102.0,0.068,0.324,542.056,519.832,543.484,53.5,0.415,0.024,0.174,0.12,0.054,0.691
2022,15860,51,1.0,1674,1755,322,473,89,13,35,292,41,15,230,381,7,693,26.0,59,26,20,0.0,3,30.0,264.3837129186603,2031,0.27,0.271,0.375,0.473,0.848,85.0,0.073,0.322,507.282,489.604,509.288,37.8,0.395,0.017,0.188,0.113,0.075,0.604
2022,15860,52,1.0,1836,1863,280,494,93,4,51,253,50,13,204,455,9,748,45.0,43,12,16,0.0,8,51.0,258.7411599625819,2095,0.265,0.266,0.354,0.481,0.835,85.0,0.056,0.323,533.55,523.268,542.236,50.5,0.332,0.024,0.217,0.097,0.12,0.448
2022,15860,61,1.0,1888,1928,301,467,91,10,26,248,85,28,265,517,2,656,14.0,72,38,23,0.0,11,31.0,243.47296646603615,2254,0.242,0.265,0.357,0.406,0.763,62.0,0.063,0.313,471.124,450.262,478.384,39.8,0.353,0.012,0.229,0.118,0.111,0.513
2022,15860,62,1.0,1612,1697,278,474,89,5,38,247,36,12,200,370,2,687,28.0,38,25,17,0.0,5,38.0,254.39477996965098,1939,0.279,0.258,0.367,0.483,0.85,87.0,0.061,0.334,495.22,483.036,500.412,37.0,0.356,0.02,0.191,0.103,0.088,0.541
2022,15860,67,1.0,1908,1822,312,461,94,9,68,284,29,9,204,507,1,777,25.0,79,23,15,0.0,7,31.0,281.7368362109193,2064,0.253,0.296,0.36,0.52,0.88,97.0,0.066,0.311,570.104,556.902,573.944,40.7,0.361,0.033,0.246,0.099,0.147,0.402
