season,season_id,school_id,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,2,2006,1670,483,811,351,106,9,68,357,212,70,16,4,466,0.0,62,16,5,4,26.0,25.0,1902,0.2892215568862275,0.4022082018927445,0.5952095808383233,0.9974177827310677,0.3602430555555556,0.406025824964132,0.035751840168243953,0.24500525762355416,0.11146161934805468,0.13354363827549948,0.45493562231759654
2022,15860,5,1760,1588,407,592,220,67,11,32,204,175,35,17,28,393,0.0,38,17,8,3,29.0,8.0,1808,0.25629722921914355,0.34126106194690264,0.4420654911838791,0.7833265531307818,0.3177966101694915,0.3213675213675214,0.017699115044247787,0.21736725663716813,0.09679203539823009,0.12057522123893805,0.44529262086513993
2022,15860,6,1410,1114,270,381,175,33,12,18,152,136,33,9,22,341,0.0,84,26,9,1,22.0,5.0,1281,0.24236983842010773,0.34270101483216237,0.3985637342908438,0.7412647491230062,0.3298429319371728,0.37292161520190026,0.01405152224824356,0.26619828259172523,0.10616705698672912,0.1600312256049961,0.39882697947214074
2022,15860,7,1947,2009,583,872,444,100,15,53,385,300,89,23,37,467,0.0,57,14,11,6,34.0,22.0,2369,0.29019412643106024,0.4102997045166737,0.5176704828272772,0.927970187343951,0.3505291005291005,0.42546245919477693,0.0223723089911355,0.19712959054453355,0.1266357112705783,0.07049387927395526,0.6423982869379015
2022,15860,8,1798,1547,425,671,267,80,8,50,245,177,44,17,15,382,0.0,24,13,5,4,27.0,22.0,1756,0.27472527472527475,0.3678815489749431,0.5229476405946994,0.8908291895696425,0.33127208480565373,0.3640939597315436,0.02847380410022779,0.21753986332574032,0.10079726651480637,0.11674259681093395,0.46335078534031415
2022,15860,9,1736,1492,407,607,274,63,7,41,224,196,45,14,20,377,0.0,54,20,7,6,39.0,26.0,1722,0.2727882037533512,0.37630662020905925,0.4812332439678284,0.8575398641768877,0.33639705882352944,0.38385502471169686,0.023809523809523808,0.218931475029036,0.11382113821138211,0.1051103368176539,0.519893899204244
2022,15860,14,1269,1172,334,516,246,59,9,35,207,153,41,14,7,302,0.0,71,8,1,3,14.0,7.0,1346,0.28498293515358364,0.3922734026745914,0.5281569965870307,0.9204303992616221,0.35217903415783275,0.4279918864097363,0.02600297176820208,0.22436849925705796,0.11367013372956909,0.11069836552748887,0.5066225165562914
2022,15860,17,880,1137,256,339,137,40,5,11,123,97,42,6,3,320,0.0,49,20,8,2,23.0,8.0,1243,0.22515391380826738,0.3177795655671762,0.34740545294635006,0.6651850185135262,0.3017241379310345,0.328125,0.008849557522123894,0.2574416733708769,0.07803700724054706,0.17940466613032985,0.303125
2022,15860,27,1325,1578,398,577,242,80,9,27,211,173,62,16,16,363,0.0,32,14,8,4,29.0,21.0,1783,0.2522179974651457,0.3550196298373528,0.4391634980988593,0.7941831279362122,0.3081395348837209,0.3547854785478548,0.01514301738642737,0.2035894559730791,0.09702748177229388,0.10656197420078521,0.4765840220385675
2022,15860,28,1450,1641,488,777,307,110,10,53,277,169,49,19,6,321,0.0,41,14,7,5,36.0,25.0,1835,0.29737964655697746,0.38474114441416896,0.578915295551493,0.963656439965662,0.33825816485225507,0.3889739663093415,0.02888283378746594,0.17493188010899183,0.09209809264305177,0.08283378746594006,0.5264797507788161
