season,season_id,school_id,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2014,11620,5,1798,285,517,0,2000,82,5,14,246,229,58,17,42,343,38.0,74,16,0,10,0.0,0.0,573,1.8140350877192983,1.4031413612565444,2.6385964912280704,4.041737852484615,-9.145454545454545,2.5139240506329115,0.02443280977312391,0.5986038394415357,0.39965095986038396,0.19895287958115176,0.6676384839650146
2014,11620,6,1616,260,425,0,1546,69,14,21,227,183,46,21,52,309,44.0,60,31,0,1,0.0,0.0,516,1.6346153846153846,1.2674418604651163,2.65,3.917441860465116,-8.244897959183673,2.4091627172195893,0.040697674418604654,0.5988372093023255,0.3546511627906977,0.24418604651162784,0.5922330097087378
2014,11620,7,1995,412,564,0,1929,95,21,35,358,236,95,29,40,336,37.0,73,35,0,5,0.0,0.0,717,1.3689320388349515,1.2482566248256626,2.3228155339805827,3.5710721588062455,7.557142857142857,2.202325581395349,0.04881450488145049,0.4686192468619247,0.3291492329149233,0.13947001394700137,0.7023809523809523
2014,11620,8,2074,305,571,0,2076,89,8,42,277,178,68,26,41,396,52.0,31,13,0,5,0.0,0.0,550,1.8721311475409836,1.4854545454545454,3.085245901639344,4.5707004470938895,-4.94392523364486,2.624516129032258,0.07636363636363637,0.72,0.3236363636363636,0.39636363636363636,0.4494949494949495
2014,11620,9,1792,260,484,0,1858,56,5,10,222,220,72,20,62,387,47.0,45,17,0,5,0.0,0.0,562,1.8615384615384616,1.3807829181494662,2.503846153846154,3.88462907199562,-4.051282051282051,2.412532637075718,0.017793594306049824,0.6886120996441281,0.3914590747330961,0.29715302491103196,0.5684754521963824
2014,11620,14,1305,187,337,0,1376,57,3,13,166,148,69,13,25,256,35.0,48,15,0,1,0.0,0.0,373,1.8021390374331552,1.4852546916890081,2.7379679144385025,4.223222606127511,-4.695652173913044,2.5194085027726434,0.03485254691689008,0.6863270777479893,0.3967828418230563,0.289544235924933,0.578125
2014,11620,27,1925,299,503,0,1908,88,21,40,267,183,44,15,29,400,25.0,29,12,0,10,0.0,0.0,526,1.6822742474916388,1.3878326996197718,3.016722408026756,4.404555107646528,-3.6746031746031744,2.7072463768115944,0.07604562737642585,0.7604562737642585,0.34790874524714827,0.41254752851711024,0.4575
2014,11620,28,1938,331,560,0,1975,101,12,26,281,220,68,23,33,377,48.0,52,19,0,11,0.0,0.0,607,1.6918429003021147,1.3970345963756179,2.7250755287009065,4.122110125076524,-10.89795918367347,2.3710462287104623,0.042833607907743,0.6210873146622735,0.3624382207578254,0.2586490939044481,0.583554376657825
2014,11620,29,1705,286,527,9,1881,85,25,8,252,208,48,28,48,295,46.0,57,34,0,7,0.0,0.0,570,1.8426573426573427,1.3736842105263158,2.8111888111888113,4.184873021715127,47.18181818181818,2.4167741935483873,0.014035087719298246,0.5175438596491229,0.3649122807017544,0.15263157894736845,0.7050847457627119
2014,11620,30,1770,295,466,0,1787,100,13,13,276,230,70,24,39,367,41.0,54,16,0,7,0.0,0.0,588,1.5796610169491525,1.3027210884353742,2.5661016949152544,3.8688227833506286,-7.426229508196721,2.355909694555113,0.022108843537414966,0.6241496598639455,0.391156462585034,0.23299319727891155,0.6267029972752044
2014,11620,31,1984,322,543,0,2067,91,9,28,293,217,85,35,53,392,43.0,55,16,0,12,0.0,0.0,627,1.686335403726708,1.3476874003189792,2.6832298136645965,4.030917213983575,-8.174603174603174,2.4957160342717257,0.044657097288676235,0.6251993620414673,0.34609250398724084,0.27910685805422647,0.5535714285714286
2014,11620,32,1728,263,448,0,1737,71,10,36,233,204,56,16,38,426,31.0,87,23,0,3,0.0,0.0,521,1.703422053231939,1.3589251439539347,2.9049429657794676,4.263868109733402,-2.251366120218579,2.53125,0.0690978886756238,0.817658349328215,0.3915547024952015,0.4261036468330135,0.4788732394366197
2014,11620,37,1960,235,497,0,1839,65,9,15,212,192,76,19,50,298,48.0,81,37,0,4,0.0,0.0,496,2.1148936170212767,1.5423387096774193,3.0382978723404257,4.580636582017845,-8.169491525423728,2.432,0.03024193548387097,0.6008064516129032,0.3870967741935484,0.21370967741935487,0.6442953020134228
2014,11620,43,1792,349,514,9,1886,105,15,36,299,266,40,26,36,488,37.0,82,38,0,8,0.0,0.0,677,1.472779369627507,1.2112259970457901,2.616045845272206,3.8272718423179963,-3.208053691275168,2.3596938775510203,0.053175775480059084,0.7208271787296898,0.3929098966026588,0.32791728212703103,0.5450819672131147
2014,11620,48,1792,299,584,0,1960,101,6,20,273,179,40,21,54,275,43.0,45,24,0,8,0.0,0.0,553,1.9531772575250836,1.4520795660036165,2.9565217391304346,4.408601305134051,22.56,2.4776500638569603,0.03616636528028933,0.4972875226039783,0.32368896925858953,0.17359855334538876,0.6509090909090909
2014,11620,51,1938,225,419,0,1803,75,12,17,201,176,60,16,39,363,39.0,52,25,0,2,0.0,0.0,456,1.8622222222222222,1.4364035087719298,2.991111111111111,4.427514619883041,-2.8920863309352516,2.799373040752351,0.03728070175438596,0.7960526315789473,0.38596491228070173,0.4100877192982456,0.48484848484848486
2014,11620,52,1500,201,404,0,1477,72,15,8,170,141,29,17,34,205,31.0,62,15,0,2,0.0,0.0,393,2.009950248756219,1.460559796437659,3.109452736318408,4.570012532756067,79.2,2.595406360424028,0.020356234096692113,0.5216284987277354,0.35877862595419846,0.16284987277353696,0.6878048780487804
2014,11620,61,1860,256,493,0,1962,75,16,9,213,196,75,20,45,381,41.0,50,17,0,5,0.0,0.0,517,1.92578125,1.4777562862669245,2.83984375,4.317600036266924,-4.245614035087719,2.5867549668874172,0.017408123791102514,0.7369439071566731,0.379110251450677,0.3578336557059961,0.5144356955380578
2014,11620,62,1508,263,481,13,1744,85,14,18,242,203,48,20,35,309,46.0,75,13,0,0,0.0,0.0,521,1.8288973384030418,1.4049904030710172,2.908745247148289,4.313735650219306,-10.522727272727273,2.4173669467787113,0.0345489443378119,0.5930902111324377,0.3896353166986564,0.20345489443378123,0.656957928802589
2014,11620,67,1620,205,448,0,1841,88,5,12,189,201,39,17,34,348,48.0,37,23,0,7,0.0,0.0,457,2.1853658536585368,1.5054704595185995,3.351219512195122,4.856689971713721,-3.1594202898550723,2.705621301775148,0.0262582056892779,0.7614879649890591,0.43982494529540483,0.3216630196936543,0.5775862068965517
