season,season_id,school_id,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2021,15580,2,1539,1443,434,700,317,94,8,52,294,191,55,17,11,355,0.0,18,9,5,5,40.0,0.0,1662,0.30076230076230076,0.4091456077015644,0.5918225918225918,1.0009681995241562,0.3627730294396961,0.42197452229299365,0.031287605294825514,0.21359807460890493,0.11492178098676294,0.09867629362214199,0.5380281690140845
2021,15580,5,1750,1318,318,415,159,51,2,14,142,133,37,12,26,313,0.0,29,22,6,1,36.0,0.0,1489,0.24127465857359637,0.3277367360644728,0.36570561456752654,0.6934423506319993,0.30309072781655033,0.3059071729957806,0.009402283411685695,0.2102081934184016,0.0893216924110141,0.1208865010073875,0.4249201277955272
2021,15580,6,725,777,171,247,120,34,9,8,105,104,28,11,8,224,0.0,44,11,3,2,10.0,0.0,900,0.22007722007722008,0.33666666666666667,0.3835263835263835,0.7201930501930502,0.2931654676258993,0.37966101694915255,0.008888888888888889,0.24888888888888888,0.11555555555555555,0.13333333333333333,0.4642857142857143
2021,15580,7,1596,1443,445,687,346,84,19,40,306,206,34,21,11,327,0.0,54,18,1,2,23.0,0.0,1681,0.30838530838530837,0.40749553837001784,0.5751905751905751,0.982686113560593,0.3691886964448496,0.4744186046511628,0.02379535990481856,0.19452706722189173,0.12254610350981558,0.07198096371207614,0.6299694189602446
2021,15580,8,1682,1868,488,789,325,92,7,65,296,218,57,24,19,448,0.0,32,11,3,6,34.0,0.0,2129,0.26124197002141325,0.3583842179426961,0.5101713062098501,0.8685555241525462,0.3067440174039159,0.37249283667621774,0.030530765617660875,0.21042743071864725,0.10239549084077032,0.10803193987787693,0.48660714285714285
2021,15580,9,1836,1299,317,481,197,60,7,30,198,114,47,20,15,309,0.0,21,12,5,1,28.0,0.0,1448,0.24403387220939185,0.3301104972375691,0.4449576597382602,0.7750681569758293,0.29285714285714287,0.37276785714285715,0.020718232044198894,0.21339779005524862,0.0787292817679558,0.13466850828729282,0.36893203883495146
2021,15580,14,1645,1124,276,388,180,48,8,16,168,153,39,15,12,317,0.0,57,10,6,5,23.0,0.0,1304,0.24555160142348753,0.3588957055214724,0.4092526690391459,0.7681483745606184,0.3225806451612903,0.36283185840707965,0.012269938650306749,0.24309815950920247,0.11733128834355828,0.12576687116564417,0.48264984227129337
2021,15580,17,675,750,153,201,115,21,3,7,82,109,22,5,5,238,0.0,33,16,7,0,9.0,0.0,869,0.204,0.32681242807825084,0.30933333333333335,0.6361457614115842,0.28627450980392155,0.3898916967509025,0.00805523590333717,0.27387802071346373,0.12543153049482164,0.1484464902186421,0.4579831932773109
2021,15580,27,1664,1669,394,567,231,70,11,27,214,190,74,23,15,430,0.0,43,14,6,4,27.0,0.0,1897,0.2360695026962253,0.34686346863468637,0.40443379269023366,0.75129726132492,0.297165991902834,0.3232963549920761,0.014232999472851872,0.22667369530838166,0.10015814443858724,0.12651555086979444,0.4418604651162791
2021,15580,28,1540,1327,392,632,257,79,10,47,233,131,47,20,13,290,0.0,33,16,2,9,33.0,0.0,1491,0.29540316503391106,0.3822937625754527,0.5787490580256217,0.9610428206010744,0.3415841584158416,0.40152963671128106,0.031522468142186455,0.19450033534540576,0.08786049631120053,0.10663983903420522,0.4517241379310345
2021,15580,29,2142,1933,629,951,468,123,23,51,407,268,76,31,16,417,0.0,28,9,2,6,59.0,0.0,2248,0.3254009311950336,0.43282918149466193,0.5938954992240041,1.026724680718666,0.38636363636363635,0.4522776572668113,0.022686832740213523,0.1854982206405694,0.11921708185053381,0.06628113879003558,0.6426858513189448
2021,15580,30,1960,1689,451,730,303,85,7,60,269,193,73,19,20,474,0.0,22,6,4,7,25.0,0.0,1921,0.2670219064535228,0.3732431025507548,0.522202486678508,0.8954455892292628,0.3330494037478705,0.3698630136986301,0.031233732431025507,0.2467464862051015,0.10046850598646538,0.14627798021863614,0.40717299578059074
2021,15580,31,2268,1876,498,887,434,88,8,95,370,341,65,30,9,503,0.0,42,9,6,8,32.0,0.0,2256,0.26545842217484006,0.40070921985815605,0.5746268656716418,0.9753360855297979,0.3081039755351682,0.41903584672435107,0.04210992907801418,0.22296099290780141,0.15115248226950354,0.07180851063829788,0.6779324055666004
2021,15580,32,1428,1509,387,560,202,74,9,27,183,135,36,6,14,407,0.0,36,20,5,5,23.0,0.0,1664,0.25646123260437376,0.33533653846153844,0.4440026507620941,0.7793391892236325,0.3330249768732655,0.3295668549905838,0.01622596153846154,0.24459134615384615,0.0811298076923077,0.16346153846153844,0.3316953316953317
2021,15580,37,1768,1785,500,871,353,99,7,86,335,227,34,18,15,422,0.0,27,17,3,11,39.0,0.0,2045,0.2801120448179272,0.3721271393643032,0.5955182072829132,0.9676453466472164,0.3196911196911197,0.39555555555555555,0.042053789731051346,0.20635696821515892,0.11100244498777506,0.09535452322738386,0.5379146919431279
2021,15580,43,1736,1514,393,566,243,56,12,31,209,198,35,19,25,375,0.0,57,20,6,8,26.0,0.0,1756,0.25957727873183617,0.3564920273348519,0.4392338177014531,0.795725845036305,0.321206743566992,0.3563025210084034,0.01765375854214123,0.21355353075170844,0.11275626423690205,0.10079726651480639,0.528
2021,15580,47,1904,1760,497,725,343,88,19,34,316,220,70,27,30,419,0.0,59,17,3,6,31.0,0.0,2037,0.28238636363636366,0.3863524791359843,0.49204545454545456,0.8783979336814389,0.34707646176911544,0.4103585657370518,0.016691212567501227,0.20569464899361806,0.10800196367206677,0.09769268532155129,0.5250596658711217
2021,15580,48,1100,938,238,330,146,39,10,11,131,106,44,12,14,216,0.0,30,7,3,0,16.0,0.0,1070,0.2537313432835821,0.36261682242990656,0.4157782515991471,0.7783950740290537,0.313969571230982,0.35809018567639256,0.010280373831775701,0.20186915887850468,0.09906542056074766,0.10280373831775702,0.49074074074074076
2021,15580,51,2091,1736,524,784,362,91,14,47,334,220,55,23,25,374,0.0,32,12,6,3,40.0,0.0,2004,0.30184331797235026,0.39870259481037923,0.5391705069124424,0.9378731017228217,0.35650224215246634,0.41888297872340424,0.023453093812375248,0.18662674650698602,0.10978043912175649,0.07684630738522953,0.5882352941176471
2021,15580,52,1911,1622,388,609,234,69,4,48,213,194,51,13,12,430,0.0,31,18,3,3,37.0,0.0,1841,0.23921085080147966,0.3438348723519826,0.45006165228113443,0.7938965246331171,0.2938634399308557,0.31794871794871793,0.026072786529060293,0.23356871265616513,0.10537751222161869,0.12819120043454646,0.4511627906976744
2021,15580,62,1116,1099,287,403,147,55,11,13,131,124,25,11,24,230,0.0,34,8,2,1,22.0,0.0,1258,0.2611464968152866,0.3465818759936407,0.4385805277525023,0.785162403746143,0.3160322952710496,0.31678486997635935,0.010333863275039745,0.18282988871224165,0.0985691573926868,0.08426073131955485,0.5391304347826087
2021,15580,67,1862,1693,457,692,287,99,11,38,262,215,34,27,11,397,0.0,53,20,4,6,34.0,0.0,1946,0.26993502658003543,0.36279547790339156,0.49616066154754873,0.8589561394509403,0.32607003891050584,0.3727544910179641,0.019527235354573486,0.2040082219938335,0.1104830421377184,0.09352517985611511,0.5415617128463476
2021,15580,71,1500,1281,340,467,204,68,1,19,184,172,35,13,15,344,0.0,31,17,7,3,22.0,0.0,1481,0.2654176424668228,0.36934503713706957,0.4332552693208431,0.8026003064579126,0.3447905477980666,0.3503787878787879,0.012829169480081027,0.23227548953409857,0.11613774476704929,0.11613774476704929,0.5
2021,15580,72,1344,1347,357,563,253,72,4,42,223,211,45,9,32,407,0.0,32,18,7,8,28.0,0.0,1599,0.2650334075723831,0.383364602876798,0.5055679287305123,0.8889325316073102,0.3472987872105843,0.36952714535901926,0.02626641651031895,0.25453408380237647,0.13195747342088807,0.1225766103814884,0.5184275184275184
2021,15580,77,1550,1573,391,607,243,82,10,38,216,224,35,11,21,389,0.0,27,8,3,5,35.0,0.0,1829,0.24856961220597584,0.3553854565336249,0.46853146853146854,0.8239169250650935,0.3050993949870354,0.3349673202614379,0.02077638053581192,0.21268452706396937,0.1224712957900492,0.09021323127392017,0.5758354755784062
2021,15580,81,1312,1125,338,481,238,55,8,24,200,118,55,18,14,224,0.0,42,20,2,0,18.0,0.0,1275,0.30044444444444446,0.40078431372549017,0.5048888888888889,0.9056732026143791,0.35083798882681566,0.4394250513347023,0.018823529411764704,0.17568627450980392,0.09254901960784313,0.08313725490196079,0.5267857142857143
2021,15580,83,1023,874,213,326,151,54,10,13,134,109,39,5,9,249,0.0,30,6,0,1,10.0,0.0,997,0.2437070938215103,0.362086258776329,0.4610983981693364,0.8231846569456653,0.3241491085899514,0.39655172413793105,0.013039117352056168,0.24974924774322968,0.10932798395185557,0.1404212637913741,0.43775100401606426
2021,15580,87,1591,1169,276,443,191,58,5,33,173,158,38,10,11,300,0.0,27,8,4,1,21.0,0.0,1348,0.23609923011120615,0.35014836795252224,0.46107784431137727,0.8112262122638996,0.2872340425531915,0.35990888382687924,0.024480712166172106,0.22255192878338279,0.1172106824925816,0.10534124629080119,0.5266666666666666
2021,15580,90,1624,1661,453,661,292,99,11,29,260,202,55,32,18,286,0.0,16,13,2,10,35.0,0.0,1913,0.2727272727272727,0.37114479874542605,0.481637567730283,0.852782366475709,0.3076923076923077,0.38619676945668135,0.015159435441714584,0.14950339780449556,0.10559330893883952,0.04391008886565605,0.7062937062937062
2021,15580,94,1333,1218,324,428,175,49,5,15,156,104,23,8,8,253,0.0,27,18,5,3,33.0,0.0,1338,0.2660098522167488,0.33707025411061287,0.40804597701149425,0.7451162311221071,0.32254697286012524,0.3669724770642202,0.011210762331838564,0.1890881913303438,0.07772795216741404,0.11136023916292975,0.41106719367588934
2021,15580,96,1530,1440,412,686,290,79,12,57,261,187,31,18,23,351,0.0,27,13,6,1,37.0,0.0,1668,0.2861111111111111,0.3776978417266187,0.5791666666666667,0.9568645083932854,0.3380952380952381,0.40663176265270506,0.0341726618705036,0.210431654676259,0.11211031175059952,0.09832134292565947,0.5327635327635327
2021,15580,97,2035,1730,461,627,225,80,16,18,206,165,50,20,33,412,0.0,25,8,7,2,36.0,0.0,1948,0.26647398843930636,0.3470225872689938,0.4283236994219653,0.7753462866909591,0.33560606060606063,0.31458966565349544,0.009240246406570842,0.21149897330595482,0.08470225872689939,0.12679671457905545,0.40048543689320387
2021,15580,99,1677,1482,420,669,272,90,12,45,249,141,75,19,27,347,0.0,40,23,8,7,23.0,0.0,1669,0.2834008097165992,0.3810665068903535,0.5506072874493927,0.9316737943397462,0.3381424706943192,0.3840947546531303,0.02696225284601558,0.2079089275014979,0.08448172558418214,0.12342720191731575,0.40634005763688763
2021,15580,101,1440,1245,365,540,217,62,7,33,197,176,23,25,19,287,0.0,58,20,11,8,19.0,0.0,1465,0.2931726907630522,0.3849829351535836,0.5156626506024097,0.9006455857559933,0.3494736842105263,0.3465160075329567,0.022525597269624574,0.19590443686006825,0.12013651877133105,0.0757679180887372,0.6132404181184669
2021,15580,102,1710,1769,506,771,342,110,4,49,321,236,64,30,15,408,0.0,26,17,2,3,40.0,0.0,2050,0.28603730921424536,0.3931707317073171,0.5279819106840022,0.9211526423913193,0.3405365126676602,0.3870541611624835,0.023902439024390244,0.19902439024390245,0.1151219512195122,0.08390243902439025,0.5784313725490197
2021,15580,104,2989,2107,613,957,430,120,19,62,399,222,102,35,19,478,0.0,92,25,6,9,39.0,0.0,2383,0.29093497864261986,0.3932018464120856,0.5495965828191742,0.9427984292312599,0.3439450686641698,0.4205714285714286,0.026017624842635333,0.20058749475451113,0.0931598825010491,0.10742761225346202,0.46443514644351463
2021,15580,107,2090,1850,476,746,302,64,7,64,277,206,43,22,15,428,0.0,59,17,6,6,38.0,0.0,2093,0.2572972972972973,0.3463927376970855,0.47621621621621624,0.8226089539133017,0.2985507246376812,0.3600605143721634,0.030578117534639272,0.20449116101290013,0.09842331581462016,0.10606784519827997,0.48130841121495327
2021,15580,108,1824,1605,376,512,188,64,6,20,186,162,79,17,28,356,0.0,44,23,11,1,46.0,0.0,1812,0.23426791277258566,0.3405077262693157,0.3750778816199377,0.7155856078892534,0.2857142857142857,0.2814070351758794,0.011037527593818985,0.19646799116997793,0.08940397350993377,0.10706401766004416,0.4550561797752809
2021,15580,109,2074,1972,593,888,419,117,23,44,402,222,115,30,51,415,0.0,41,24,5,6,40.0,0.0,2275,0.30070993914807304,0.4087912087912088,0.5436105476673428,0.9524017564585516,0.355800388852884,0.42325056433408575,0.01934065934065934,0.1824175824175824,0.09758241758241758,0.08483516483516483,0.5349397590361445
2021,15580,110,1938,1989,573,885,416,113,14,57,371,283,74,28,32,455,0.0,40,14,3,10,33.0,0.0,2332,0.28808446455505277,0.39879931389365353,0.5374560080442433,0.9362553219378968,0.34285714285714286,0.41122565864833904,0.02444253859348199,0.1951114922813036,0.12135506003430532,0.07375643224699827,0.621978021978022
2021,15580,111,1530,1619,448,605,237,70,15,19,212,111,53,17,11,380,0.0,31,18,8,2,35.0,0.0,1758,0.27671402100061765,0.34812286689419797,0.4379246448424954,0.7860475117366934,0.3468067906224737,0.3676222596964587,0.01080773606370876,0.2161547212741752,0.06313993174061433,0.15301478953356087,0.29210526315789476
2021,15580,112,2080,1769,459,705,281,88,13,44,255,221,89,16,12,457,0.0,29,10,7,4,41.0,0.0,2018,0.2594686263425664,0.3810703666997027,0.48049745618993783,0.8615678228896405,0.32320872274143303,0.32689655172413795,0.02180376610505451,0.22646184340931616,0.10951437066402378,0.11694747274529238,0.48358862144420134
2021,15580,115,2200,1863,570,962,486,135,19,73,441,277,129,39,28,398,0.0,101,29,14,2,24.0,0.0,2207,0.3059581320450886,0.4422292705029452,0.6382179280730005,1.0804471985759456,0.3473095737246681,0.4573643410852713,0.03307657453556864,0.1803352967829633,0.12550974173085636,0.054825555052106956,0.6959798994974874
2021,15580,116,1296,1112,324,496,246,61,18,25,218,180,53,18,4,286,0.0,35,10,2,5,21.0,0.0,1314,0.29136690647482016,0.423896499238965,0.539568345323741,0.963464844562706,0.36507936507936506,0.41541353383458646,0.01902587519025875,0.2176560121765601,0.136986301369863,0.0806697108066971,0.6293706293706294
2021,15580,127,1333,1475,418,602,286,78,5,32,261,215,40,16,26,363,0.0,49,15,5,1,19.0,0.0,1732,0.28338983050847455,0.38856812933025403,0.48610169491525423,0.8746698242455082,0.3521897810218978,0.3962558502340094,0.018475750577367205,0.20958429561200922,0.12413394919168591,0.08545034642032331,0.5922865013774105
2021,15580,128,1830,2052,545,884,370,89,11,76,346,277,80,15,24,541,0.0,86,25,13,7,31.0,0.0,2368,0.2655945419103314,0.38091216216216217,0.5165692007797271,0.8974813629418893,0.323448275862069,0.3559322033898305,0.03209459459459459,0.22846283783783783,0.11697635135135136,0.11148648648648647,0.512014787430684
2021,15580,129,2220,1627,455,615,347,75,14,19,320,283,71,26,54,365,0.0,71,15,5,3,43.0,0.0,1990,0.2796558082360172,0.4065326633165829,0.44437615242778117,0.850908815744364,0.34357762017336485,0.4151898734177215,0.009547738693467337,0.18341708542713567,0.14221105527638192,0.04120603015075375,0.7753424657534247
2021,15580,140,1595,1454,413,663,283,78,11,50,243,176,30,16,9,365,0.0,69,16,8,2,21.0,0.0,1655,0.2840440165061898,0.3740181268882175,0.5515818431911967,0.9255999700794142,0.34407582938388626,0.4094903339191564,0.030211480362537766,0.22054380664652568,0.10634441087613293,0.11419939577039274,0.4821917808219178
2021,15580,141,1938,1715,455,652,229,77,9,34,199,129,36,15,29,398,0.0,45,15,10,5,35.0,0.0,1888,0.2653061224489796,0.3283898305084746,0.4501457725947522,0.7785356031032268,0.32434514637904466,0.33276450511945393,0.018008474576271187,0.2108050847457627,0.06832627118644068,0.14247881355932202,0.3241206030150754
2021,15580,147,1872,1731,446,742,304,77,9,67,280,214,80,12,22,517,0.0,34,14,9,6,34.0,0.0,1979,0.2576545349508954,0.3739262253663466,0.5170421721548238,0.8909683975211704,0.3270060396893874,0.3521545319465082,0.033855482566953005,0.2612430520464881,0.10813542193026782,0.1531076301162203,0.41392649903288203
2021,15580,149,1530,1505,387,649,289,69,14,55,265,216,62,21,43,419,0.0,53,17,5,8,20.0,0.0,1785,0.2571428571428571,0.37254901960784315,0.5229235880398672,0.8954726076477103,0.3155893536121673,0.3836065573770492,0.03081232492997199,0.23473389355742297,0.12100840336134454,0.11372549019607843,0.5155131264916468
2021,15580,164,1696,1572,467,762,329,95,10,60,316,177,51,22,18,329,0.0,50,15,9,4,27.0,0.0,1789,0.2970737913486005,0.38848518725544995,0.5896946564885496,0.9781798437439995,0.3377593360995851,0.42362204724409447,0.03353828954723309,0.18390162101732813,0.09893795416433762,0.0849636668529905,0.5379939209726444
2021,15580,165,1209,1189,342,459,237,55,7,16,196,187,68,23,10,352,0.0,34,19,7,3,26.0,0.0,1409,0.287636669470143,0.4237047551454933,0.45164003364171573,0.875344788787209,0.3862559241706161,0.3803786574870912,0.0113555713271824,0.24982256919801277,0.1327182398864443,0.11710432931156847,0.53125
2021,15580,169,1131,735,202,311,134,45,5,18,129,99,17,9,17,190,0.0,18,9,4,6,16.0,0.0,860,0.2748299319727891,0.3697674418604651,0.5156462585034014,0.8854137003638665,0.34328358208955223,0.38666666666666666,0.020930232558139535,0.22093023255813954,0.11511627906976744,0.1058139534883721,0.5210526315789473
2021,15580,173,1683,1223,286,484,211,61,4,43,188,162,52,13,14,344,0.0,37,4,3,1,18.0,0.0,1412,0.2338511856091578,0.35410764872521244,0.48405560098119377,0.8381632497064062,0.2862190812720848,0.3676148796498906,0.030453257790368272,0.24362606232294617,0.11473087818696884,0.12889518413597734,0.47093023255813954
2021,15580,175,2040,1633,455,748,345,72,7,69,310,212,89,17,18,453,0.0,56,20,5,3,29.0,0.0,1880,0.2786282914880588,0.4021276595744681,0.548683404776485,0.9508110643509531,0.3421985815602837,0.4017467248908297,0.036702127659574466,0.24095744680851064,0.1127659574468085,0.12819148936170213,0.46799116997792495
2021,15580,178,1677,1346,370,544,265,76,7,28,234,150,45,17,18,292,0.0,47,8,6,4,21.0,0.0,1531,0.274888558692422,0.3690398432397126,0.4866270430906389,0.8556668863303516,0.32790028763183127,0.441340782122905,0.018288700195950358,0.1907250163291966,0.09797517962116264,0.09274983670803397,0.5136986301369864
2021,15580,180,1088,1188,324,486,200,63,6,29,179,127,32,17,8,304,0.0,19,11,1,2,24.0,0.0,1340,0.2727272727272727,0.3604477611940298,0.49158249158249157,0.8520302527765213,0.338302752293578,0.3766519823788546,0.02164179104477612,0.22686567164179106,0.09477611940298507,0.13208955223880597,0.41776315789473684
2021,15580,193,2145,1683,478,798,298,101,15,63,273,192,52,15,14,445,0.0,45,15,6,7,40.0,0.0,1904,0.28401663695781343,0.3792016806722689,0.5805109922756981,0.959712672947967,0.3487394957983193,0.3566009104704097,0.03308823529411765,0.23371848739495799,0.10084033613445378,0.1328781512605042,0.4314606741573034
2021,15580,196,2257,2022,595,936,409,97,8,76,365,272,45,20,43,430,0.0,60,33,3,4,48.0,0.0,2357,0.2942631058358061,0.3869325413661434,0.5524233432245301,0.9393558845906735,0.337890625,0.39832535885167464,0.03224437844717862,0.1824352991090369,0.11540093338990241,0.0670343657191345,0.6325581395348837
2021,15580,198,1813,1613,396,667,264,102,2,55,249,202,38,14,33,430,0.0,39,12,8,11,23.0,0.0,1862,0.24550526968381897,0.34156820622986034,0.5120892746435214,0.8536574808733817,0.29859894921190894,0.35972461273666095,0.02953813104189044,0.23093447905477982,0.10848549946294307,0.12244897959183675,0.4697674418604651
2021,15580,201,1680,1636,450,663,320,77,5,42,286,227,37,20,22,338,0.0,39,11,5,12,40.0,0.0,1905,0.27506112469437655,0.37480314960629924,0.48105134474327627,0.8558544943495755,0.31974921630094044,0.41369047619047616,0.02204724409448819,0.1774278215223097,0.11916010498687664,0.05826771653543307,0.6715976331360947
2021,15580,202,1272,1179,283,441,163,52,5,32,153,113,35,13,8,314,0.0,8,6,5,1,23.0,0.0,1313,0.24003392705682783,0.32825590251332826,0.4495335029686175,0.7777894054819458,0.2966903073286052,0.3283208020050125,0.024371667936024372,0.23914699162223915,0.08606245239908607,0.15308453922315307,0.35987261146496813
2021,15580,204,1734,1585,407,601,251,66,7,38,219,163,64,14,29,407,0.0,38,18,9,8,16.0,0.0,1791,0.25678233438485804,0.35399218313791175,0.449211356466877,0.8032035396047887,0.3197573656845754,0.3573825503355705,0.02121719709659408,0.22724734785036294,0.0910106085985483,0.13623673925181462,0.4004914004914005
2021,15580,219,1815,1772,476,736,321,105,10,45,288,212,70,25,17,424,0.0,31,16,4,4,28.0,0.0,2026,0.2686230248306998,0.3741362290227048,0.5056433408577878,0.8797795698804927,0.3245481927710843,0.3870967741935484,0.022211253701875617,0.20927936821322804,0.10463968410661402,0.10463968410661402,0.5
2021,15580,220,1462,1255,381,588,285,63,12,40,259,166,45,20,17,255,0.0,47,21,3,2,16.0,0.0,1458,0.3035856573705179,0.4060356652949246,0.5601593625498008,0.9661950278447253,0.3479591836734694,0.4438405797101449,0.027434842249657063,0.1748971193415638,0.11385459533607682,0.06104252400548697,0.6509803921568628
2021,15580,222,1147,1213,296,415,163,55,2,20,149,144,30,10,13,322,0.0,62,24,10,8,23.0,0.0,1380,0.24402308326463315,0.34057971014492755,0.40560593569661996,0.7461856458415475,0.3132803632236095,0.31777777777777777,0.014492753623188406,0.23333333333333334,0.10434782608695652,0.1289855072463768,0.4472049689440994
