season,season_id,school_id,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2021,15580,228,1904,1505,362,527,241,67,10,26,208,194,55,20,20,397,0.0,36,9,4,2,30.0,0.0,1739,0.24053156146179402,0.35135135135135137,0.4186046511627907,0.7699560025141421,0.30490018148820325,0.36752136752136755,0.014951121334100058,0.2282921219091432,0.11155836687751582,0.11673375503162738,0.48866498740554154
2021,15580,229,1881,1844,511,845,372,87,8,77,345,252,65,24,13,457,0.0,25,15,1,2,48.0,0.0,2133,0.27711496746203906,0.3881856540084388,0.5515184381778742,0.9397040921863129,0.32533733133433285,0.39280958721704395,0.03609939052977028,0.21425222691045476,0.11814345991561181,0.09610876699484294,0.5514223194748359
2021,15580,231,1989,1311,347,495,211,61,6,25,207,134,41,8,27,338,0.0,32,15,6,3,23.0,0.0,1480,0.2646834477498093,0.3527027027027027,0.4477498093058734,0.8004525120085761,0.3368200836820084,0.37424547283702214,0.016891891891891893,0.22837837837837838,0.09054054054054055,0.13783783783783782,0.39644970414201186
2021,15580,234,1870,1602,397,685,290,68,2,72,285,237,54,11,14,510,0.0,21,8,4,7,37.0,0.0,1864,0.24781523096129837,0.36909871244635195,0.5162297128589264,0.8853284253052783,0.31522793404461685,0.3538961038961039,0.03862660944206009,0.27360515021459225,0.1271459227467811,0.14645922746781115,0.4647058823529412
2021,15580,235,1920,1899,533,872,351,103,13,70,334,236,45,31,2,471,0.0,25,12,7,7,41.0,0.0,2168,0.28067403896787785,0.37546125461254615,0.5571353343865192,0.9325965889990653,0.3333333333333333,0.37768817204301075,0.03228782287822878,0.2172509225092251,0.1088560885608856,0.10839483394833949,0.5010615711252654
2021,15580,236,1505,1377,376,511,227,70,10,15,196,165,65,20,35,266,0.0,68,21,10,7,31.0,0.0,1597,0.2730573710965868,0.3794614902943018,0.4400871459694989,0.8195486362638007,0.3234767025089606,0.3587140439932318,0.00939261114589856,0.16656230432060112,0.10331872260488416,0.06324358171571696,0.6203007518796992
2021,15580,248,1290,1140,305,443,173,60,9,20,171,104,43,12,9,262,0.0,22,5,5,2,26.0,0.0,1265,0.2675438596491228,0.35731225296442687,0.4666666666666667,0.8239789196310936,0.3275862068965517,0.3541666666666667,0.015810276679841896,0.20711462450592885,0.08221343873517786,0.12490118577075099,0.3969465648854962
2021,15580,249,1276,1393,408,570,290,74,11,22,263,194,41,36,19,264,0.0,38,12,6,0,25.0,0.0,1642,0.2928930366116296,0.3915956151035323,0.48600143575017946,0.8775970508537118,0.33770778652668415,0.43156199677938806,0.013398294762484775,0.1607795371498173,0.11814859926918392,0.04263093788063338,0.7348484848484849
2021,15580,251,1116,847,158,202,74,20,3,6,70,92,26,7,26,288,0.0,29,3,3,1,15.0,0.0,972,0.18654073199527746,0.2839506172839506,0.2727272727272727,0.5566778900112233,0.2714285714285714,0.2518518518518518,0.006172839506172839,0.2962962962962963,0.09465020576131687,0.2016460905349794,0.3194444444444444
2021,15580,253,2166,1954,558,864,331,105,18,55,295,186,63,31,35,435,0.0,53,13,1,14,42.0,0.0,2206,0.28556806550665303,0.3658204895738894,0.5332650972364381,0.8990855868103276,0.33645484949832777,0.3670212765957447,0.024932003626473256,0.1971894832275612,0.0843155031731641,0.1128739800543971,0.42758620689655175
2021,15580,254,2145,1668,420,616,226,74,4,38,192,162,39,7,38,496,0.0,41,25,7,6,31.0,0.0,1875,0.2517985611510791,0.3312,0.43884892086330934,0.7700489208633093,0.3347940403155127,0.32246998284734135,0.020266666666666665,0.26453333333333334,0.0864,0.17813333333333334,0.32661290322580644
2021,15580,255,2128,1791,500,817,321,109,11,62,297,207,50,23,9,435,0.0,26,10,2,2,36.0,0.0,2030,0.27917364600781686,0.3729064039408867,0.5577889447236181,0.9306953486645048,0.3325740318906606,0.3726618705035971,0.030541871921182268,0.21428571428571427,0.10197044334975369,0.11231527093596058,0.47586206896551725
2021,15580,257,2128,1795,489,734,281,75,13,48,256,165,52,17,22,464,0.0,21,10,6,6,39.0,0.0,1999,0.2724233983286908,0.35317658829414705,0.48467966573816157,0.8378562540323087,0.3392307692307692,0.3541033434650456,0.0240120060030015,0.2321160580290145,0.08254127063531766,0.14957478739369684,0.35560344827586204
2021,15580,260,1908,1809,499,724,330,108,9,33,290,207,100,26,15,339,0.0,38,19,4,6,48.0,0.0,2057,0.2758430071862908,0.39183276616431695,0.48313985627418465,0.8749726224385016,0.31852358168147643,0.38421733505821476,0.016042780748663103,0.1648031113271755,0.1006319883325231,0.06417112299465241,0.6106194690265486
2021,15580,261,1320,1179,320,508,243,49,14,37,211,184,35,16,6,296,0.0,77,21,15,4,20.0,0.0,1385,0.2714164546225615,0.3891696750902527,0.5156912637828668,0.9048609388731195,0.32830626450116007,0.4103585657370518,0.026714801444043323,0.21371841155234658,0.1328519855595668,0.0808664259927798,0.6216216216216216
2021,15580,272,1216,863,205,321,131,36,7,22,129,96,25,9,7,202,0.0,48,11,8,0,12.0,0.0,975,0.23754345307068367,0.3343589743589744,0.44727694090382386,0.7816359152627983,0.2824074074074074,0.35855263157894735,0.022564102564102566,0.20717948717948717,0.09846153846153846,0.10871794871794871,0.4752475247524752
2021,15580,277,1500,904,240,313,146,34,6,9,120,91,52,8,27,205,0.0,13,5,6,2,16.0,0.0,1030,0.26548672566371684,0.3718446601941748,0.4004424778761062,0.7722871380702809,0.330945558739255,0.3663101604278075,0.008737864077669903,0.19902912621359223,0.0883495145631068,0.11067961165048543,0.44390243902439025
2021,15580,283,1560,1283,334,521,239,81,11,28,211,191,47,19,10,318,0.0,51,23,5,5,24.0,0.0,1503,0.2603273577552611,0.3805721889554225,0.49961028838659394,0.8801824773420164,0.3200836820083682,0.38786764705882354,0.018629407850964737,0.21157684630738524,0.1270791749833666,0.08449767132401864,0.60062893081761
2021,15580,285,900,797,197,278,131,32,8,11,97,112,35,5,10,205,0.0,18,1,1,1,23.0,0.0,924,0.24717691342534504,0.3722943722943723,0.4127979924717691,0.7850923647661414,0.3174061433447099,0.36036036036036034,0.011904761904761904,0.22186147186147187,0.12121212121212122,0.10064935064935066,0.5463414634146342
