season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,11320,5,1.0,1716,1785,203,438,74,8,12,178,51,16,155,379,5,0,0.0,46,33,16,46.0,0,0.0,15.62657493857494,1989,0.245,-0.139,0.321,0.369,0.69,70.0,0.055,0.302,203.508,185.114,198.508,19.4,0.305,0.006,0.191,0.078,0.113,0.409
2013,11320,6,1.0,1029,1430,201,348,60,11,13,168,57,22,173,368,2,0,0.0,30,21,10,22.0,0,0.0,16.641406250000003,1634,0.243,-0.098,0.337,0.387,0.724,79.0,0.065,0.316,166.176,154.444,170.988,21.2,0.349,0.008,0.225,0.106,0.119,0.47
2013,11320,7,1.0,1995,1862,359,525,88,15,26,297,109,31,194,336,0,0,0.0,110,54,24,42.0,0,0.0,28.15114081996435,2134,0.282,-0.136,0.388,0.456,0.844,110.0,0.071,0.327,314.022,293.874,317.488,42.0,0.415,0.012,0.157,0.091,0.066,0.577
2013,11320,8,1.0,2142,2128,325,552,85,9,26,289,51,28,222,392,7,0,0.0,57,43,22,68.0,0,0.0,22.996957928802587,2415,0.259,-0.144,0.344,0.401,0.745,85.0,0.053,0.304,272.614,248.582,270.224,34.4,0.371,0.011,0.162,0.092,0.07,0.566
2013,11320,9,1.0,1770,1932,243,497,82,12,9,215,46,20,203,383,4,0,0.0,69,37,22,53.0,0,0.0,23.086575342465757,2194,0.257,-0.139,0.351,0.379,0.73,78.0,0.061,0.312,238.086,217.0,233.36,15.1,0.308,0.004,0.175,0.093,0.082,0.53
2013,11320,14,1.0,1470,1583,244,432,79,11,10,219,30,14,134,273,3,0,0.0,62,36,18,40.0,0,0.0,16.832624113475177,1771,0.273,-0.178,0.355,0.419,0.774,92.0,0.071,0.32,224.816,207.302,219.184,15.0,0.379,0.006,0.154,0.076,0.078,0.491
2013,11320,17,1.0,1995,1895,263,471,72,13,12,232,124,33,202,424,1,0,0.0,76,52,16,37.0,0,0.0,23.054957608210618,2165,0.249,-0.094,0.346,0.37,0.716,74.0,0.059,0.311,232.778,215.428,240.156,21.9,0.341,0.006,0.196,0.093,0.103,0.476
2013,11320,27,1.0,1728,1882,328,530,102,17,37,290,100,24,178,372,3,0,0.0,32,20,28,38.0,0,0.0,18.043028037383177,2108,0.282,-0.147,0.351,0.496,0.847,119.0,0.081,0.328,318.874,297.784,316.168,54.0,0.414,0.018,0.176,0.084,0.092,0.478
2013,11320,28,1.0,2040,2086,375,599,118,26,49,349,44,23,220,384,10,0,0.0,68,26,29,52.0,0,0.0,25.73132976533553,2361,0.287,-0.172,0.376,0.532,0.908,135.0,0.094,0.327,386.508,359.334,377.708,46.4,0.389,0.021,0.163,0.093,0.07,0.573
2013,11320,29,1.0,1650,1819,368,556,73,35,13,335,98,32,237,262,13,0,0.0,70,71,30,44.0,0,0.0,28.569878760664572,2157,0.306,-0.139,0.4,0.472,0.872,117.0,0.098,0.345,322.724,292.406,316.112,23.0,0.418,0.006,0.121,0.11,0.011,0.905
2013,11320,30,1.0,1947,1998,285,512,98,10,22,244,28,11,273,469,10,0,0.0,52,64,12,56.0,0,0.0,28.221542309295543,2347,0.256,-0.111,0.357,0.413,0.77,90.0,0.064,0.323,263.248,241.692,252.224,24.6,0.323,0.009,0.2,0.116,0.084,0.582
2013,11320,31,1.0,1952,1846,275,487,69,12,23,245,46,17,220,334,6,0,0.0,36,47,25,27.0,0,0.0,21.73475620975161,2138,0.264,-0.129,0.348,0.408,0.756,88.0,0.057,0.306,243.548,220.318,234.276,30.7,0.35,0.011,0.156,0.103,0.053,0.659
2013,11320,32,1.0,1736,1874,322,500,114,7,55,293,85,26,233,492,3,0,0.0,59,19,19,36.0,0,0.0,26.14392014519056,2145,0.267,-0.111,0.369,0.517,0.886,129.0,0.072,0.331,327.564,310.358,330.336,66.8,0.362,0.026,0.229,0.109,0.12,0.474
2013,11320,37,1.0,1904,1848,272,508,101,5,31,246,33,22,214,353,8,0,0.0,40,35,23,56.0,0,0.0,21.93412962962963,2120,0.275,-0.153,0.359,0.459,0.818,107.0,0.063,0.321,280.266,257.34,274.5,32.0,0.33,0.015,0.167,0.101,0.066,0.606
2013,11320,43,1.0,1798,2152,418,672,123,9,54,374,92,42,277,428,12,0,0.0,49,41,26,59.0,0,0.0,30.69961493123772,2496,0.312,-0.16,0.4,0.539,0.939,140.0,0.07,0.364,413.176,385.93,416.26,68.1,0.386,0.022,0.171,0.111,0.06,0.647
2013,11320,47,1.0,1760,1884,286,513,97,10,29,255,45,30,174,319,5,0,0.0,73,41,16,53.0,0,0.0,21.01674588665448,2115,0.272,-0.172,0.359,0.453,0.812,105.0,0.067,0.312,286.388,266.732,289.404,35.3,0.352,0.014,0.151,0.082,0.069,0.545
2013,11320,48,1.0,1904,1934,279,555,86,4,22,249,33,16,140,332,7,0,0.0,28,44,14,34.0,0,0.0,13.723305555555555,2132,0.287,-0.206,0.339,0.428,0.767,93.0,0.051,0.334,269.904,250.178,263.456,26.4,0.367,0.01,0.156,0.066,0.09,0.422
2013,11320,51,1.0,1925,1862,269,496,75,10,15,242,69,31,210,376,10,0,0.0,69,35,28,24.0,0,0.0,23.64065335753176,2135,0.266,-0.133,0.363,0.395,0.758,85.0,0.056,0.321,251.672,225.402,248.664,24.6,0.334,0.007,0.176,0.098,0.078,0.559
2013,11320,61,1.0,1475,1948,297,505,94,19,15,243,67,23,207,351,4,0,0.0,78,37,16,41.0,0,0.0,24.540428696412953,2208,0.259,-0.13,0.358,0.416,0.774,92.0,0.078,0.307,269.842,250.566,268.952,24.5,0.364,0.007,0.159,0.094,0.065,0.59
