season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2021,15580,2,1.0,1539,1443,317,434,94,8,52,294,18,9,191,355,5,700,0.0,55,11,17,0.0,5,40.0,298.0598602213162,1662,0.301,0.323,0.409,0.592,1.001,134.0,0.082,0.363,540.97,518.508,533.836,26.7,0.422,0.031,0.214,0.115,0.099,0.538
2021,15580,5,1.0,1750,1318,159,318,51,2,14,142,29,22,133,313,1,415,0.0,37,26,12,0.0,6,36.0,140.17095674967234,1489,0.241,0.18,0.328,0.366,0.694,54.0,0.043,0.303,283.386,267.3,287.9,18.9,0.306,0.009,0.21,0.089,0.121,0.425
2021,15580,6,1.0,725,777,120,171,34,9,8,105,44,11,104,224,2,247,0.0,28,8,11,0.0,3,10.0,88.39047413793104,900,0.22,0.274,0.337,0.384,0.721,60.0,0.079,0.293,177.998,166.622,177.624,13.5,0.38,0.009,0.249,0.116,0.133,0.464
2021,15580,7,1.0,1596,1443,346,445,84,19,40,306,54,18,206,327,2,687,0.0,34,11,21,0.0,1,23.0,291.2814460641399,1681,0.308,0.335,0.407,0.575,0.982,129.0,0.098,0.369,526.394,504.426,525.152,46.0,0.474,0.024,0.195,0.123,0.072,0.63
2021,15580,8,1.0,1682,1868,325,488,92,7,65,296,32,11,218,448,6,789,0.0,57,19,24,0.0,3,34.0,295.4994876486734,2129,0.261,0.289,0.358,0.51,0.868,103.0,0.06,0.307,586.396,557.3,575.56,42.9,0.372,0.031,0.21,0.102,0.108,0.487
2021,15580,9,1.0,1836,1299,197,317,60,7,30,198,21,12,114,309,1,481,0.0,47,15,20,0.0,5,28.0,162.91686956521738,1448,0.244,0.221,0.33,0.445,0.775,79.0,0.062,0.293,349.378,330.124,345.048,24.7,0.373,0.021,0.213,0.079,0.134,0.369
2021,15580,14,1.0,1645,1124,180,276,48,8,16,168,57,10,153,317,5,388,0.0,39,12,15,0.0,6,23.0,148.93197319434103,1304,0.246,0.278,0.359,0.409,0.768,71.0,0.064,0.323,286.284,268.786,281.152,25.0,0.363,0.012,0.243,0.117,0.126,0.483
2021,15580,17,1.0,675,750,115,153,21,3,7,82,33,16,109,238,0,201,0.0,22,5,5,0.0,7,9.0,70.72776655443323,869,0.204,0.232,0.327,0.309,0.636,35.0,0.04,0.286,127.876,120.724,134.388,11.6,0.39,0.008,0.274,0.125,0.149,0.458
2021,15580,27,1.0,1664,1669,231,394,70,11,27,214,43,14,190,430,4,567,0.0,74,15,23,0.0,6,27.0,207.36911212582447,1897,0.236,0.235,0.347,0.404,0.751,68.0,0.062,0.297,412.2,387.56,405.48,33.2,0.323,0.014,0.227,0.1,0.127,0.442
2021,15580,28,1.0,1540,1327,257,392,79,10,47,233,33,16,131,290,9,632,0.0,47,13,20,0.0,2,33.0,243.50135240572172,1491,0.295,0.292,0.382,0.579,0.961,127.0,0.082,0.342,489.4,464.22,483.12,38.8,0.402,0.032,0.195,0.088,0.107,0.452
