season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2015,12080,2,1.0,1705,1854,219,451,60,10,14,191,52,19,140,471,5,0,0.0,45,56,14,38.0,0,0.0,13.721688003793268,2064,0.243,-0.15,0.308,0.354,0.662,58.0,0.049,0.316,198.172,179.896,195.312,22.1,0.33,0.007,0.228,0.068,0.16,0.297
2015,12080,5,1.0,1508,1956,277,535,80,10,13,237,73,17,195,375,9,0,0.0,50,56,17,42.0,0,0.0,20.62163588390501,2224,0.274,-0.145,0.351,0.397,0.748,78.0,0.056,0.329,261.87,239.162,253.384,22.1,0.344,0.006,0.169,0.088,0.081,0.52
2015,12080,6,1.0,1938,1709,324,508,110,11,40,295,43,16,193,375,3,0,0.0,44,37,16,36.0,0,0.0,22.21224612306153,1955,0.297,-0.169,0.381,0.539,0.92,130.0,0.084,0.357,317.9,301.682,314.764,41.4,0.403,0.02,0.192,0.099,0.093,0.515
2015,12080,7,1.0,1750,1679,390,507,88,15,38,354,55,19,231,349,2,0,0.0,100,36,29,51.0,0,0.0,33.792607228915664,1975,0.302,-0.143,0.424,0.524,0.948,130.0,0.079,0.355,330.078,309.144,324.648,44.9,0.44,0.019,0.177,0.117,0.06,0.662
2015,12080,8,1.0,1980,2089,315,575,105,20,27,285,61,20,192,485,9,0,0.0,52,30,21,36.0,0,0.0,20.502156040268456,2332,0.275,-0.164,0.351,0.456,0.807,98.0,0.079,0.343,319.18,296.148,312.496,37.4,0.364,0.012,0.208,0.082,0.126,0.396
2015,12080,9,1.0,1798,1880,278,471,76,13,32,248,55,10,193,405,5,0,0.0,49,41,18,35.0,0,0.0,19.88910591471802,2132,0.251,-0.124,0.334,0.42,0.754,84.0,0.061,0.3,254.38,234.608,244.316,40.5,0.361,0.015,0.19,0.091,0.099,0.477
2015,12080,14,1.0,1344,1324,179,335,61,11,6,161,44,19,154,286,3,0,0.0,41,18,20,26.0,0,0.0,16.410892742453438,1516,0.253,-0.118,0.35,0.388,0.738,75.0,0.071,0.313,165.872,149.948,164.496,10.6,0.33,0.004,0.189,0.102,0.087,0.538
2015,12080,27,1.0,1855,1814,254,473,86,10,40,222,28,15,187,407,5,0,0.0,42,29,13,48.0,0,0.0,19.207328537170266,2043,0.261,-0.15,0.344,0.46,0.804,99.0,0.064,0.314,265.914,249.102,261.804,32.9,0.323,0.02,0.199,0.092,0.107,0.459
2015,12080,28,1.0,1768,2068,321,610,114,16,35,294,49,36,190,390,13,0,0.0,40,32,34,39.0,0,0.0,19.21382402707276,2324,0.295,-0.197,0.361,0.496,0.857,113.0,0.078,0.343,352.21,321.736,348.092,40.8,0.355,0.015,0.168,0.082,0.086,0.487
2015,12080,29,1.0,1760,1889,343,563,104,20,31,285,71,34,224,336,8,0,0.0,30,50,27,38.0,0,0.0,22.593531531531532,2190,0.298,-0.16,0.373,0.506,0.879,118.0,0.087,0.343,328.602,303.672,328.384,43.2,0.397,0.014,0.153,0.102,0.051,0.667
