season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,12360,2,1.0,1749,1738,182,418,68,6,9,147,67,25,127,412,2,0,0.0,27,45,12,36.0,0,0.0,1922,0.24050632911392406,0.2976066597294485,0.34982738780207134,0.6474340475315199,0.3077501881113619,0.30728241563055064,0.004682622268470343,0.21436004162330904,0.06607700312174818,0.14828303850156088,0.308252427184466
2016,12360,4,3.0,1638,1380,366,460,95,15,28,320,66,15,228,203,3,0,0.0,47,34,24,37.0,0,0.0,1666,0.3333333333333333,0.4411764705882353,0.5847826086956521,1.0259590792838873,0.36828644501278773,0.4780763790664781,0.01680672268907563,0.12184873949579832,0.1368547418967587,-0.01500600240096038,1.1231527093596059
2016,12360,6,1.0,1710,1859,293,480,88,17,32,265,47,23,208,432,1,81,0.0,45,32,15,47.0,0,0.0,2114,0.258203335126412,0.3467360454115421,0.4491662183969876,0.7959022638085298,0.3177304964539007,0.3723252496433666,0.015137180700094607,0.2043519394512772,0.09839167455061495,0.10596026490066224,0.48148148148148145
2016,12360,7,1.0,1815,1837,464,562,108,13,63,418,81,22,228,368,2,92,0.0,110,25,32,41.0,0,0.0,2122,0.30593358737071313,0.42412818096135724,0.5819270549809472,1.0060552359423045,0.347009735744089,0.47909199522102747,0.029688972667295005,0.17342130065975495,0.10744580584354382,0.06597549481621112,0.6195652173913043
2016,12360,8,1.0,2088,1925,256,480,91,6,30,232,43,16,205,446,7,0,0.0,52,32,6,40.0,0,0.0,2168,0.24935064935064935,0.33994464944649444,0.4155844155844156,0.7555290650309101,0.30927835051546393,0.31966053748231965,0.013837638376383764,0.20571955719557194,0.09455719557195572,0.11116236162361623,0.45964125560538116
2016,12360,9,1.0,1595,1743,238,412,60,11,16,215,59,28,224,387,1,14,0.0,52,53,13,31.0,0,0.0,2033,0.23637406769936892,0.33841613379242497,0.3608720596672404,0.6992881934596653,0.2926829268292683,0.33035714285714285,0.007870142646335464,0.19035907525823906,0.11018199704869651,0.08017707820954255,0.5788113695090439
2016,12360,10,2.0,1643,1687,342,550,88,17,47,305,43,25,164,310,5,0,0.0,66,30,32,39.0,0,0.0,1913,0.3260225251926497,0.40773653946680605,0.5720213396561944,0.9797578791230004,0.36930983847283405,0.4024556616643929,0.024568740198640877,0.1620491374803973,0.08572922111866178,0.0763199163617355,0.5290322580645161
2016,12360,13,2.0,1813,1475,244,374,55,11,22,190,98,33,164,346,1,0,0.0,61,51,9,38.0,0,0.0,1699,0.2535593220338983,0.35256032960565037,0.4101694915254237,0.762729821131074,0.3154121863799283,0.3847487001733102,0.012948793407886992,0.20364920541494996,0.09652736904061213,0.10712183637433784,0.47398843930635837
2016,12360,14,1.0,1696,1672,266,442,77,11,11,234,60,24,223,358,3,0,0.0,43,21,21,35.0,0,0.0,1937,0.26435406698564595,0.36551368094992254,0.40251196172248804,0.7680256426724106,0.3255287009063444,0.36585365853658536,0.005678884873515746,0.1848218895198761,0.11512648425400103,0.06969540526587507,0.6229050279329609
2016,12360,15,3.0,1240,1299,240,363,57,7,19,216,47,14,201,225,1,0,0.0,29,25,13,25.0,0,0.0,1538,0.279445727482679,0.3855656697009103,0.44187836797536567,0.827444037676276,0.32209737827715357,0.38501742160278746,0.01235370611183355,0.14629388816644995,0.1306892067620286,0.015604681404421339,0.8933333333333333
