season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,16340,2,1.0,539,1880,365,548,87,18,63,336,80,22,222,408,5,860,41.0,56,16,20,0.0,11,55.0,323.79127620783953,2138,0.291,0.315,0.386,0.547,0.933,100.0,0.075,0.339,637.556,625.184,651.088,70.5,0.396,0.029,0.191,0.104,0.087,0.544
2023,16340,5,1.0,536,1823,299,444,82,15,50,267,93,30,242,508,1,706,20.0,60,14,12,0.0,10,31.0,253.79211529521152,2091,0.244,0.311,0.357,0.468,0.825,74.0,0.07,0.309,506.236,493.418,523.036,65.0,0.358,0.024,0.243,0.116,0.127,0.476
2023,16340,6,1.0,480,1446,268,365,71,18,20,242,114,32,241,417,1,532,11.0,45,22,17,0.0,15,10.0,208.12442687747034,1726,0.252,0.339,0.377,0.443,0.82,69.0,0.086,0.336,390.664,375.892,404.304,34.0,0.393,0.012,0.242,0.14,0.102,0.578
2023,16340,7,1.0,571,2100,488,697,137,11,81,461,69,15,264,353,5,1099,38.0,58,17,34,0.0,8,44.0,461.50995551961176,2415,0.332,0.343,0.422,0.632,1.054,129.0,0.081,0.362,849.276,827.156,851.132,74.5,0.434,0.034,0.146,0.109,0.037,0.748
2023,16340,8,1.0,653,2094,454,618,99,12,105,443,46,18,309,466,8,1056,28.0,71,19,32,0.0,2,41.0,434.62965544554453,2454,0.295,0.37,0.407,0.607,1.014,120.0,0.064,0.33,800.052,773.742,799.484,64.0,0.391,0.043,0.19,0.126,0.064,0.663
2023,16340,9,1.0,515,1713,210,399,60,12,25,203,48,14,204,463,4,558,17.0,40,27,7,0.0,6,21.0,190.7219688598694,1951,0.233,0.232,0.33,0.382,0.712,46.0,0.056,0.304,376.436,363.908,381.476,32.9,0.299,0.013,0.237,0.105,0.132,0.441
2023,16340,17,1.0,518,1488,223,410,69,5,10,204,55,21,163,354,3,519,15.0,44,14,16,0.0,13,32.0,192.69532753623187,1681,0.276,0.206,0.367,0.405,0.772,57.0,0.056,0.351,371.728,357.606,378.832,16.9,0.351,0.006,0.211,0.097,0.114,0.46
2023,16340,28,1.0,528,1853,363,546,107,11,76,335,56,20,209,420,6,903,27.0,54,9,26,0.0,8,34.0,343.58445374244536,2097,0.295,0.325,0.386,0.592,0.978,114.0,0.076,0.34,682.52,662.324,687.308,64.5,0.392,0.036,0.2,0.1,0.1,0.498
2023,16340,29,1.0,550,2099,486,667,148,29,96,459,35,16,236,439,7,1161,20.0,77,7,37,0.0,7,27.0,476.84434853420197,2379,0.318,0.357,0.412,0.683,1.095,143.0,0.112,0.357,908.868,877.844,903.328,51.3,0.441,0.04,0.185,0.099,0.086,0.538
2023,16340,30,1.0,539,1742,363,481,118,8,41,325,32,9,255,494,10,738,21.0,60,33,20,0.0,1,28.0,296.727962085308,2050,0.276,0.307,0.388,0.52,0.908,93.0,0.082,0.359,556.428,535.462,551.724,35.9,0.426,0.02,0.241,0.124,0.117,0.516
2023,16340,31,1.0,606,1990,456,543,92,10,92,428,52,15,315,531,2,931,42.0,76,15,32,0.0,5,50.0,372.83289126853384,2352,0.273,0.372,0.397,0.565,0.962,107.0,0.061,0.322,691.162,675.684,698.248,66.4,0.432,0.039,0.226,0.134,0.092,0.593
2023,16340,32,1.0,519,1811,343,545,87,16,62,320,61,23,208,421,3,850,31.0,57,10,16,0.0,6,41.0,330.23023786869646,2045,0.301,0.304,0.396,0.56,0.956,105.0,0.075,0.359,632.372,619.922,646.244,61.5,0.376,0.03,0.206,0.102,0.104,0.494
2023,16340,37,1.0,600,1991,411,571,112,10,84,393,46,10,282,508,8,955,31.0,66,16,27,0.0,1,37.0,384.61439126784217,2316,0.287,0.353,0.397,0.583,0.98,112.0,0.071,0.342,721.736,700.35,719.8,59.4,0.392,0.036,0.219,0.122,0.097,0.555
2023,16340,43,1.0,533,1972,405,587,136,8,75,371,90,28,248,438,7,964,25.0,63,25,23,0.0,14,37.0,378.1383783783784,2268,0.298,0.348,0.396,0.6,0.996,117.0,0.081,0.345,740.396,718.16,749.12,81.8,0.401,0.033,0.193,0.109,0.084,0.566
2023,16340,47,1.0,648,2015,421,567,112,17,86,398,49,14,251,497,3,971,14.0,67,16,23,0.0,5,32.0,380.4304637436762,2305,0.281,0.342,0.384,0.589,0.973,112.0,0.081,0.331,734.364,710.636,732.872,62.4,0.419,0.037,0.216,0.109,0.107,0.505
2023,16340,48,1.0,567,1544,264,401,72,6,41,252,55,22,169,369,7,608,19.0,84,49,22,0.0,9,25.0,220.5444325481799,1784,0.26,0.265,0.367,0.471,0.838,76.0,0.058,0.311,457.138,436.826,460.112,47.0,0.364,0.023,0.207,0.095,0.112,0.458
2023,16340,51,1.0,584,1807,286,461,87,13,38,259,26,20,213,467,2,688,28.0,57,20,24,0.0,3,31.0,244.003696369637,2064,0.255,0.247,0.354,0.457,0.811,71.0,0.07,0.319,488.584,473.602,496.544,30.9,0.358,0.018,0.226,0.103,0.123,0.456
