season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,RS%,HR%,K%,BB%,K-BB%,BB/K
2017,12560,2,1.0,165,52,9,11,2,0,0,1,0,1,3,19,0,13,0.0,0,2,0,0.0,0,0.0,3.161052631578947,57,0.21153846153846154,0.24561403508771928,0.28846153846153844,0.5340755735492577,22.0,0.038,0.3333333333333333,7.277999999999999,6.892,7.744,0.6428571428571429,0.0,0.3333333333333333,0.05263157894736842,0.2807017543859649,0.15789473684210525
2017,12560,6,1.0,1710,1851,203,434,74,7,11,174,23,23,148,449,1,555,0.0,31,34,7,33.0,0,10.0,171.31264123611783,2040,0.23446785521339816,0.30049019607843136,0.3495407887628309,0.6500309848412622,49.0,0.051,0.30257510729613735,362.83799999999985,344.69399999999985,368.10799999999995,0.31893687707641194,0.005392156862745098,0.22009803921568627,0.07254901960784314,0.1475490196078431,0.32962138084632514
2017,12560,7,1.0,1568,1883,357,540,106,6,50,333,38,10,216,384,2,808,0.0,69,26,31,30.0,0,11.0,322.93802247191013,2156,0.2867764206054169,0.3826530612244898,0.5151354221986192,0.8977884834231089,112.0,0.066,0.3310810810810811,616.1279999999999,585.996,603.8520000000001,0.3961290322580645,0.023191094619666047,0.17810760667903525,0.10018552875695733,0.07792207792207792,0.5625
2017,12560,8,1.0,1834,1809,280,475,89,6,46,244,27,24,207,406,7,714,0.0,52,38,25,45.0,0,6.0,259.7400281557954,2079,0.2625760088446656,0.35305435305435307,0.472636815920398,0.825691168974751,95.0,0.059,0.3104196816208394,523.272,493.2880000000001,518.976,0.34011627906976744,0.022126022126022125,0.19528619528619529,0.09956709956709957,0.09571909571909572,0.5098522167487685
2017,12560,9,1.0,1760,1777,257,460,89,13,24,223,66,13,165,386,3,647,0.0,58,28,16,35.0,0,3.0,230.8567514677104,1986,0.25886325267304444,0.34390735146022156,0.4350028137310073,0.7789101651912289,82.0,0.072,0.3152566883586406,476.7720000000001,453.46399999999994,471.46799999999996,0.3535660091047041,0.012084592145015106,0.19436052366565962,0.08308157099697885,0.11127895266868076,0.4274611398963731
2017,12560,14,1.0,1768,1700,270,442,73,12,31,238,45,18,207,363,2,632,0.0,34,9,17,33.0,0,0.0,234.69243518047787,1933,0.26,0.35333678220382825,0.44,0.7933367822038282,84.0,0.064,0.31065759637188206,451.166,429.5160000000001,450.212,0.3665644171779141,0.01603724780134506,0.18779099844800828,0.10708742886704604,0.08070356958096224,0.5702479338842975
2017,12560,17,1.0,1305,1497,200,377,60,8,17,175,30,12,161,376,1,504,0.0,34,19,13,37.0,0,0.0,180.11522041763342,1690,0.2518370073480294,0.3384615384615385,0.39345357381429524,0.7319151122758337,67.0,0.056,0.3222918531781558,351.332,333.84000000000003,349.14,0.32972972972972975,0.010059171597633136,0.22248520710059172,0.09526627218934912,0.1272189349112426,0.42819148936170215
2017,12560,27,1.0,1540,1799,238,444,75,7,40,209,28,17,205,501,4,653,0.0,40,31,11,37.0,0,1.0,230.56563758389262,2046,0.24680377987770985,0.3367546432062561,0.43079488604780436,0.7675495292540604,79.0,0.053,0.31836091410559497,457.8119999999999,436.3799999999999,456.9,0.3050847457627119,0.019550342130987292,0.24486803519061584,0.10019550342130987,0.14467253176930597,0.4091816367265469
2017,12560,28,1.0,1870,1872,277,506,89,22,38,250,42,23,162,390,8,753,0.0,21,23,29,37.0,0,1.0,252.42044613194116,2086,0.2702991452991453,0.3302972195589645,0.48183760683760685,0.8121348263965713,95.0,0.083,0.31771894093686354,548.3499999999998,516.4319999999998,541.6239999999999,0.3671274961597542,0.01821668264621285,0.186960690316395,0.07766059443911794,0.10930009587727707,0.4153846153846154
2017,12560,29,1.0,2065,2055,453,633,133,17,36,396,49,18,276,343,9,908,0.0,70,50,31,47.0,0,0.0,385.5191055600322,2412,0.30802919708029197,0.4058872305140962,0.532360097323601,0.9382473278376973,120.0,0.09,0.34973637961335674,705.416,668.224,692.3679999999999,0.44220572640509015,0.014925373134328358,0.14220563847429518,0.11442786069651742,0.027777777777777762,0.8046647230320699
