season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,16340,2,1.0,36,134,22,41,4,2,5,19,5,0,8,40,0,64,1.0,5,1,0,0.0,0,2.0,143,0.30597014925373134,0.3776223776223776,0.5597014925373134,0.937323870159691,0.4044943820224719,0.3469387755102041,0.03496503496503497,0.27972027972027974,0.055944055944055944,0.2237762237762238,0.2
2023,16340,5,1.0,38,132,23,31,8,2,5,19,4,1,16,39,0,58,4.0,1,0,1,0.0,1,4.0,149,0.23484848484848486,0.3221476510067114,0.553030303030303,0.8751779540370144,0.29213483146067415,0.4186046511627907,0.03355704697986577,0.26174496644295303,0.10738255033557047,0.15436241610738255,0.41025641025641024
2023,16340,8,1.0,67,165,51,64,8,3,9,50,4,0,26,27,0,105,1.0,9,2,4,0.0,0,5.0,197,0.3878787878787879,0.5025380710659898,0.7575757575757576,1.2601138286417473,0.41353383458646614,0.4666666666666667,0.04568527918781726,0.13705583756345177,0.1319796954314721,0.005076142131979683,0.9629629629629629
2023,16340,9,1.0,41,131,15,26,3,0,1,12,6,2,18,32,0,32,0.0,6,1,0,0.0,0,0.0,150,0.1984732824427481,0.3333333333333333,0.2748091603053435,0.6081424936386768,0.25510204081632654,0.2857142857142857,0.006666666666666667,0.21333333333333335,0.12,0.09333333333333335,0.5625
2023,16340,17,1.0,36,88,12,25,5,1,0,11,4,1,5,29,0,32,0.0,1,1,0,0.0,1,1.0,94,0.2840909090909091,0.32978723404255317,0.4318181818181818,0.761605415860735,0.423728813559322,0.3870967741935484,0.0,0.30851063829787234,0.05319148936170213,0.2553191489361702,0.1724137931034483
2023,16340,28,1.0,47,153,31,49,9,2,8,30,4,2,27,35,3,86,4.0,7,1,5,0.0,2,6.0,186,0.3202614379084967,0.44623655913978494,0.6862745098039216,1.1325110689437066,0.3565217391304348,0.30666666666666664,0.043010752688172046,0.1881720430107527,0.14516129032258066,0.04301075268817203,0.7714285714285715
2023,16340,29,1.0,38,137,19,34,10,1,4,19,5,0,16,38,1,58,1.0,6,0,1,0.0,0,1.0,154,0.24817518248175183,0.36363636363636365,0.5328467153284672,0.8964830789648308,0.3125,0.28846153846153844,0.025974025974025976,0.24675324675324675,0.1038961038961039,0.14285714285714285,0.42105263157894735
2023,16340,30,1.0,53,139,31,45,9,0,2,25,5,1,18,35,1,60,2.0,7,1,3,0.0,0,2.0,161,0.3237410071942446,0.43478260869565216,0.5107913669064749,0.9455739756021271,0.4095238095238095,0.4264705882352941,0.012422360248447204,0.21739130434782608,0.11180124223602485,0.10559006211180123,0.5142857142857142
2023,16340,31,1.0,44,129,35,40,9,1,6,34,4,0,23,37,0,69,3.0,6,0,6,0.0,1,5.0,158,0.31007751937984496,0.43670886075949367,0.6589147286821705,1.0956235894416642,0.3695652173913043,0.4603174603174603,0.0379746835443038,0.23417721518987342,0.14556962025316456,0.08860759493670886,0.6216216216216216
2023,16340,32,1.0,40,125,23,33,5,2,4,24,6,4,19,32,0,54,3.0,6,0,2,0.0,0,3.0,146,0.264,0.3972602739726027,0.52,0.9172602739726028,0.31868131868131866,0.35185185185185186,0.0273972602739726,0.2191780821917808,0.13013698630136986,0.08904109589041095,0.59375
2023,16340,37,1.0,42,127,26,42,9,0,4,27,1,0,21,27,0,63,3.0,4,2,3,0.0,0,3.0,153,0.33070866141732286,0.43790849673202614,0.5984251968503937,1.03633369358242,0.3838383838383838,0.3492063492063492,0.026143790849673203,0.17647058823529413,0.13725490196078433,0.0392156862745098,0.7777777777777778
2023,16340,43,1.0,37,147,37,48,11,1,8,34,5,0,15,37,1,85,2.0,4,0,1,0.0,0,2.0,163,0.32653061224489793,0.4110429447852761,0.7142857142857143,1.1253286590709903,0.3883495145631068,0.4915254237288136,0.049079754601226995,0.22699386503067484,0.09202453987730061,0.13496932515337423,0.40540540540540543
2023,16340,47,1.0,44,109,16,23,4,1,6,16,3,1,16,36,0,47,3.0,3,0,0,0.0,0,3.0,125,0.21100917431192662,0.336,0.5321100917431193,0.8681100917431193,0.2537313432835821,0.2777777777777778,0.048,0.288,0.128,0.15999999999999998,0.4444444444444444
2023,16340,48,1.0,50,105,9,15,3,0,0,8,3,1,7,36,0,18,2.0,4,1,2,0.0,0,2.0,115,0.14285714285714285,0.22608695652173913,0.2,0.4260869565217391,0.2112676056338028,0.34615384615384615,0.0,0.3130434782608696,0.06086956521739131,0.2521739130434783,0.19444444444444445
2023,16340,51,1.0,48,139,24,34,6,1,3,22,3,0,21,37,0,51,0.0,5,1,1,0.0,0,0.0,162,0.2446043165467626,0.37037037037037035,0.43884892086330934,0.8092192912336797,0.31,0.3684210526315789,0.018518518518518517,0.22839506172839505,0.12962962962962962,0.09876543209876543,0.5675675675675675
2023,16340,52,1.0,30,117,25,38,5,0,10,24,4,2,10,31,3,73,0.0,5,3,1,0.0,1,2.0,131,0.3247863247863248,0.40458015267175573,0.7521367521367521,1.156716904808508,0.36363636363636365,0.3488372093023256,0.07633587786259542,0.2366412213740458,0.07633587786259542,0.16030534351145037,0.3225806451612903
2023,16340,61,1.0,39,129,14,33,3,0,0,14,2,0,22,38,0,36,2.0,2,2,0,0.0,0,6.0,153,0.2558139534883721,0.37254901960784315,0.3023255813953488,0.674874601003192,0.3626373626373626,0.24561403508771928,0.0,0.24836601307189543,0.1437908496732026,0.10457516339869283,0.5789473684210527
2023,16340,62,1.0,35,98,6,26,0,0,0,5,0,0,7,24,0,26,5.0,2,1,1,0.0,1,6.0,107,0.2653061224489796,0.32710280373831774,0.2653061224489796,0.5924089261872973,0.3466666666666667,0.17142857142857143,0.0,0.22429906542056074,0.06542056074766354,0.15887850467289721,0.2916666666666667
