season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2014,11620,5,1.0,1767,278,1966,510,81,5,14,241,74,15,224,340,10,0,0.0,55,40,17,38.0,0,0.0,88.27635179153094,559,1.835,-0.817,1.411,2.673,4.084,91.0,0.345,-8.407,397.85,388.086,397.772,23.5,2.519,0.025,0.608,0.401,0.207,0.659
2014,11620,6,1.0,1616,260,1546,425,69,14,21,227,60,31,183,309,1,0,0.0,46,52,21,44.0,0,0.0,65.83736654804271,516,1.635,-0.819,1.267,2.65,3.917,86.0,0.427,-8.245,346.318,339.21,359.18,31.1,2.409,0.041,0.599,0.355,0.244,0.592
2014,11620,7,1.0,1995,412,1929,564,95,21,35,358,73,35,236,336,5,0,0.0,95,40,29,37.0,0,0.0,89.86137931034483,717,1.369,-0.704,1.248,2.323,3.571,66.0,0.383,7.557,483.152,470.826,493.872,47.3,2.202,0.049,0.469,0.329,0.14,0.702
2014,11620,8,1.0,2074,305,2076,571,89,8,42,277,31,13,178,396,5,0,0.0,68,41,26,52.0,0,0.0,81.60129449838188,550,1.872,-1.23,1.485,3.085,4.57,117.0,0.37,-4.944,477.902,468.308,476.776,35.7,2.625,0.076,0.72,0.324,0.396,0.449
2014,11620,9,1.0,1792,260,1858,484,56,5,10,222,45,17,220,387,5,0,0.0,72,62,20,47.0,0,0.0,89.43630914826498,562,1.862,-0.908,1.381,2.504,3.885,80.0,0.273,-4.051,358.954,350.292,361.444,16.4,2.413,0.018,0.689,0.391,0.298,0.568
2014,11620,14,1.0,1305,187,1376,337,57,3,13,166,48,15,148,256,1,0,0.0,69,25,13,35.0,0,0.0,68.58588235294118,373,1.802,-0.834,1.485,2.738,4.223,96.0,0.353,-4.696,276.532,272.69,282.68,20.5,2.519,0.035,0.686,0.397,0.289,0.578
2014,11620,27,1.0,1925,299,1908,503,88,21,40,267,29,12,183,400,10,0,0.0,44,29,15,25.0,0,0.0,71.136,526,1.682,-1.013,1.388,3.017,4.405,110.0,0.505,-3.675,438.41,430.192,437.904,33.6,2.707,0.076,0.76,0.348,0.412,0.458
2014,11620,28,1.0,1938,331,1975,560,101,12,26,281,52,19,220,377,11,0,0.0,68,33,23,48.0,0,0.0,88.53442962962963,607,1.692,-0.927,1.397,2.725,4.122,93.0,0.414,-10.898,462.954,450.802,463.184,34.7,2.371,0.043,0.621,0.362,0.259,0.584
2014,11620,29,1.0,1705,286,1881,527,85,25,8,252,57,34,208,295,7,9,0.0,48,48,28,46.0,0,0.0,89.4828802588997,570,1.843,-1.003,1.374,2.811,4.185,98.0,0.559,47.182,416.72,404.028,425.876,14.0,2.417,0.014,0.518,0.365,0.153,0.705
2014,11620,30,1.0,1770,295,1787,466,100,13,13,276,54,16,230,367,7,0,0.0,70,39,24,41.0,0,0.0,86.92376899696049,588,1.58,-0.671,1.303,2.566,3.869,82.0,0.471,-7.426,392.664,381.698,392.296,21.0,2.356,0.022,0.624,0.391,0.233,0.627
