season,season_id,school_id,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2017,12560,2,165,52,11,13,9,2,0,0,1,3,0,0,2,19,0.0,0,1,0,0,0.0,0.0,57,0.21153846153846154,0.24561403508771928,0.28846153846153844,0.5340755735492577,0.3333333333333333,0.6428571428571429,0.0,0.3333333333333333,0.05263157894736842,0.2807017543859649,0.15789473684210525
2017,12560,3,1776,1607,456,608,282,76,11,18,230,167,50,28,21,264,33.0,66,25,0,1,0.0,0.0,1823,0.28375855631611696,0.3691716950082282,0.44368388301182327,0.8128555780200515,0.3237250554323725,0.4030534351145038,0.009873834339001646,0.14481623697202414,0.0916072408118486,0.05320899616017555,0.6325757575757576
2017,12560,4,1786,1581,543,729,370,71,23,23,332,204,42,31,43,217,35.0,83,18,0,6,0.0,0.0,1859,0.34345351043643263,0.42442173211403983,0.5351043643263758,0.9595260964404155,0.37900874635568516,0.45300261096605743,0.01237224314147391,0.11672942442173212,0.10973641742872513,0.006993006993006992,0.9400921658986175
2017,12560,6,1710,1851,434,555,203,74,7,11,174,148,31,7,34,449,33.0,23,23,0,1,10.0,0.0,2040,0.23446785521339816,0.30049019607843136,0.3495407887628309,0.6500309848412622,0.30257510729613735,0.31893687707641194,0.005392156862745098,0.22009803921568627,0.07254901960784314,0.1475490196078431,0.32962138084632514
2017,12560,7,1568,1883,540,808,357,106,6,50,333,216,69,31,26,384,30.0,38,10,0,2,11.0,0.0,2156,0.2867764206054169,0.3826530612244898,0.5151354221986192,0.8977884834231089,0.3310810810810811,0.3961290322580645,0.023191094619666047,0.17810760667903525,0.10018552875695733,0.07792207792207792,0.5625
2017,12560,8,1834,1809,475,714,280,89,6,46,244,207,52,25,38,406,45.0,27,24,0,7,6.0,0.0,2079,0.2625760088446656,0.35305435305435307,0.472636815920398,0.825691168974751,0.3104196816208394,0.34011627906976744,0.022126022126022125,0.19528619528619529,0.09956709956709957,0.09571909571909572,0.5098522167487685
2017,12560,9,1760,1777,460,647,257,89,13,24,223,165,58,16,28,386,35.0,66,13,0,3,3.0,0.0,1986,0.25886325267304444,0.34390735146022156,0.4350028137310073,0.7789101651912289,0.3152566883586406,0.3535660091047041,0.012084592145015106,0.19436052366565962,0.08308157099697885,0.11127895266868076,0.4274611398963731
2017,12560,10,1450,1207,358,481,203,49,10,18,200,106,64,17,28,204,30.0,33,10,0,3,0.0,0.0,1358,0.29660314830157414,0.38880706921944036,0.4623032311516156,0.851110300371056,0.3393213572854291,0.3627450980392157,0.013254786450662739,0.15022091310751104,0.0780559646539028,0.07216494845360824,0.5196078431372549
2017,12560,13,1568,1584,433,603,311,91,8,21,248,200,37,17,42,306,35.0,41,16,0,1,0.0,0.0,1843,0.27335858585858586,0.36353771025501896,0.4564393939393939,0.8199771041944128,0.32339089481946626,0.44684129429892144,0.011394465545306565,0.16603364080303853,0.10851871947911014,0.057514921323928395,0.6535947712418301
2017,12560,14,1768,1700,442,632,270,73,12,31,238,207,34,17,9,363,33.0,45,18,0,2,0.0,0.0,1933,0.26,0.35333678220382825,0.44,0.7933367822038282,0.31065759637188206,0.3665644171779141,0.01603724780134506,0.18779099844800828,0.10708742886704604,0.08070356958096224,0.5702479338842975
