season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,2,1.0,613,2025,391,581,124,4,41,354,79,18,277,484,8,836,33.0,92,30,44,0.0,6,41.0,338.7454213938412,2376,0.287,0.293,0.4,0.496,0.896,86.0,0.067,0.35,643.118,616.168,639.856,54.0,0.385,0.017,0.204,0.117,0.087,0.572
2024,16580,5,1.0,541,1735,305,429,87,11,39,279,71,22,217,464,1,655,23.0,105,21,22,0.0,3,35.0,248.29144761904763,1995,0.247,0.284,0.376,0.456,0.832,72.0,0.069,0.311,488.688,473.292,497.584,50.3,0.374,0.02,0.233,0.109,0.124,0.468
2024,16580,6,1.0,463,1424,275,373,73,9,26,241,62,15,212,336,1,542,26.0,83,17,15,0.0,8,33.0,221.47958880639638,1668,0.262,0.301,0.4,0.456,0.856,74.0,0.07,0.322,404.642,395.472,413.424,36.6,0.388,0.016,0.201,0.127,0.074,0.631
2024,16580,7,1.0,543,1908,418,614,118,13,66,380,63,11,238,301,4,956,34.0,51,46,28,0.0,10,40.0,389.2104975781594,2220,0.322,0.331,0.407,0.604,1.011,118.0,0.082,0.349,733.832,713.838,733.536,64.5,0.421,0.03,0.136,0.107,0.029,0.791
2024,16580,8,1.0,520,1806,394,543,96,11,84,353,29,2,201,377,3,913,32.0,104,13,26,0.0,2,42.0,375.41053023255813,2046,0.301,0.331,0.414,0.611,1.025,121.0,0.071,0.335,706.764,689.436,703.412,43.1,0.406,0.041,0.184,0.098,0.086,0.533
2024,16580,9,1.0,551,1774,317,462,82,12,38,298,67,19,245,397,3,682,29.0,61,26,20,0.0,8,36.0,257.67655691439325,2065,0.26,0.289,0.372,0.459,0.831,72.0,0.067,0.312,494.064,479.834,502.048,48.5,0.382,0.018,0.192,0.119,0.073,0.617
2024,16580,17,1.0,390,1215,169,331,46,11,13,154,78,19,129,308,2,438,5.0,38,15,14,0.0,8,26.0,161.5891141034727,1373,0.272,0.243,0.363,0.418,0.781,59.0,0.065,0.35,321.666,307.188,325.876,22.3,0.322,0.009,0.224,0.094,0.13,0.419
2024,16580,28,1.0,590,2074,479,651,142,12,102,448,53,21,268,427,4,1123,33.0,50,8,22,0.0,8,45.0,455.11509496284066,2372,0.314,0.372,0.409,0.665,1.074,136.0,0.086,0.35,855.864,837.556,865.572,69.8,0.435,0.043,0.18,0.113,0.067,0.628
2024,16580,29,1.0,578,2071,377,571,109,26,57,350,45,13,233,503,3,903,29.0,55,21,25,0.0,6,34.0,331.9492806652807,2350,0.276,0.288,0.366,0.529,0.895,92.0,0.09,0.335,664.866,646.18,667.08,50.3,0.399,0.024,0.214,0.099,0.115,0.463
2024,16580,30,1.0,606,1768,295,450,65,11,50,264,51,15,214,437,3,687,34.0,70,36,20,0.0,6,45.0,247.0098387096774,2038,0.255,0.275,0.36,0.46,0.82,71.0,0.055,0.307,492.914,480.266,500.072,50.5,0.358,0.025,0.214,0.105,0.109,0.49
