season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,12973,2,1.0,1827,1863,313,511,103,13,26,271,68,23,208,375,1,718,0.0,55,46,14,31.0,0,0.0,270.10186642268985,2131,0.27428878153515834,0.36320976067573907,0.46162104133118625,0.8248308020069253,96.0,0.076,0.32859078590785906,531.25,508.09399999999994,533.2479999999999,0.3836898395721925,0.012200844673862036,0.17597372125762553,0.09760675739089629,0.07836696386672924,0.5546666666666666
2018,12973,6,1.0,1617,1659,228,440,68,18,18,191,44,16,133,331,2,598,0.0,63,24,20,30.0,0,0.0,211.73173249078465,1836,0.2652200120554551,0.3464052287581699,0.4231464737793852,0.7695517025375551,81.0,0.074,0.3172932330827068,438.3219999999999,415.068,434.3559999999999,0.33980582524271846,0.00980392156862745,0.18028322440087147,0.0724400871459695,0.10784313725490197,0.40181268882175225
2018,12973,7,1.0,1456,1821,360,547,94,11,33,321,78,19,234,359,5,762,0.0,86,35,31,49.0,0,0.0,324.28730403262347,2121,0.300384404173531,0.4087694483734088,0.4942339373970346,0.9030033857704434,112.0,0.07,0.35205479452054794,594.708,563.088,586.2760000000001,0.3920863309352518,0.015558698727015558,0.16925978312116927,0.11032531824611033,0.058934464875058934,0.6518105849582173
2018,12973,8,1.0,1680,1881,309,480,104,8,44,288,34,17,268,464,5,732,0.0,78,15,15,38.0,0,0.0,294.1724501550731,2179,0.2551834130781499,0.37907296925195044,0.47208931419457734,0.8511622834465278,101.0,0.068,0.31412103746397696,541.938,517.242,539.0240000000001,0.3388746803069054,0.020192748967416244,0.21294171638366224,0.12299219825608076,0.08994951812758148,0.5775862068965517
2018,12973,9,1.0,1674,1744,214,427,78,3,19,187,59,17,172,356,1,568,0.0,61,29,18,36.0,0,7.0,199.63679841897235,1963,0.2448394495412844,0.33622007131940906,0.3830275229357798,0.7192475942551888,67.0,0.05,0.29416005767844267,406.21200000000005,383.82399999999996,403.62800000000004,0.3042121684867395,0.00967906265919511,0.18135506877228733,0.08762098828323994,0.09373408048904738,0.48314606741573035
2018,12973,14,1.0,1584,1547,218,378,78,11,25,184,43,28,216,380,2,553,0.0,49,19,15,29.0,0,0.0,207.03615384615384,1797,0.24434389140271492,0.3578185865331107,0.43115707821590177,0.7889756647490125,85.0,0.072,0.3050993949870354,395.30000000000007,375.478,401.75600000000003,0.3122977346278317,0.013912075681691708,0.21146355036171396,0.12020033388981637,0.0912632164718976,0.5684210526315789
2018,12973,17,1.0,1612,1668,238,424,72,6,19,213,40,22,199,407,1,565,0.0,45,28,17,34.0,0,0.0,207.38297393970362,1912,0.2541966426858513,0.3493723849372385,0.39688249400479614,0.7462548789420347,73.0,0.054,0.3216838760921366,397.784,376.98799999999994,399.65600000000006,0.337442218798151,0.00993723849372385,0.21286610878661089,0.10407949790794979,0.1087866108786611,0.48894348894348894
2018,12973,27,1.0,1566,1771,190,371,93,10,27,178,41,9,178,482,0,565,0.0,53,15,9,36.0,0,2.0,182.9685982230997,1973,0.20948616600790515,0.30511910795742525,0.3924336533032185,0.6975527612606438,66.0,0.069,0.27065302911093625,390.434,372.9799999999999,387.72,0.28347826086956524,0.013684744044602128,0.24429802331474912,0.0902179422199696,0.15408008109477953,0.36929460580912865
2018,12973,28,1.0,1870,1890,310,549,96,24,50,284,35,26,200,425,9,843,0.0,34,26,17,60.0,0,0.0,314.9404983848639,2133,0.2904761904761905,0.3670886075949367,0.535978835978836,0.9030674435737727,121.0,0.089,0.348463687150838,625.2899999999998,596.5519999999999,624.644,0.35470668485675305,0.02344116268166901,0.1992498827941866,0.09376465072667604,0.10548523206751055,0.47058823529411764
2018,12973,29,1.0,1904,1865,385,531,103,16,41,344,32,18,278,351,7,789,0.0,75,48,33,42.0,0,0.0,331.1170595911266,2224,0.2847184986595174,0.39748201438848924,0.5088471849865952,0.9063291993750844,116.0,0.081,0.3253652058432935,604.492,569.7280000000001,592.556,0.4080664294187426,0.01843525179856115,0.15782374100719423,0.125,0.032823741007194235,0.792022792022792
