season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2019,14781,2,1.0,1820,1786,319,490,93,12,43,292,27,17,223,392,19,736,0.0,51,22,21,36.0,0,0.0,2052,0.27435610302351626,0.3723196881091618,0.49496080627099664,0.8672804943801584,0.32580174927113703,0.3828016643550624,0.020955165692007796,0.19103313840155944,0.10867446393762183,0.08235867446393762,0.5688775510204082
2019,14781,3,2.0,1540,1557,324,463,95,8,25,282,63,21,160,275,1,649,0.0,59,12,26,23.0,0,0.0,1755,0.29736673089274246,0.3886039886039886,0.49903660886319845,0.887640597467187,0.34138737334372565,0.4550989345509893,0.014245014245014245,0.15669515669515668,0.09116809116809117,0.06552706552706551,0.5818181818181818
2019,14781,4,3.0,1886,1551,391,501,106,20,20,350,61,20,203,273,4,707,0.0,70,24,34,30.0,0,0.0,1812,0.3230174081237911,0.4271523178807947,0.5499677627337202,0.9771200806145148,0.37229102167182665,0.4920424403183024,0.011037527593818985,0.15066225165562913,0.1120309050772627,0.038631346578366435,0.7435897435897436
2019,14781,6,1.0,1479,1280,193,309,53,7,11,161,62,18,136,315,0,409,0.0,41,10,10,25.0,0,0.0,1436,0.24140625,0.3384401114206128,0.375,0.7134401114206128,0.3091286307053942,0.3831578947368421,0.00766016713091922,0.2193593314763231,0.0947075208913649,0.12465181058495821,0.43174603174603177
2019,14781,7,1.0,1566,1859,406,538,82,18,50,355,76,20,262,404,6,806,0.0,70,19,20,45.0,0,0.0,2160,0.2894029047875202,0.4027777777777778,0.5142549757934374,0.9170327535712152,0.3424561403508772,0.43414634146341463,0.023148148148148147,0.18703703703703703,0.12129629629629629,0.06574074074074074,0.6485148514851485
2019,14781,8,1.0,1960,1888,300,496,87,9,47,270,60,21,285,448,2,742,0.0,60,15,27,41.0,0,0.0,2215,0.2627118644067797,0.3796839729119639,0.46875,0.8484339729119639,0.31619718309859157,0.31863979848866497,0.021218961625282168,0.20225733634311513,0.12866817155756208,0.07358916478555305,0.6361607142857143
2019,14781,9,1.0,2016,1875,347,520,102,14,46,305,147,39,250,382,13,788,0.0,65,31,27,38.0,0,0.0,2183,0.2773333333333333,0.3825011452130096,0.5066666666666667,0.8891678118796763,0.32157394843962006,0.38149556400506973,0.021071919377004124,0.1749885478699038,0.11452130096197893,0.060467246907924876,0.6544502617801047
2019,14781,10,2.0,1584,1541,318,452,94,12,22,286,50,16,186,350,5,636,0.0,98,29,26,42.0,0,0.0,1782,0.29331602855288774,0.41301907968574636,0.49578195976638545,0.9088010394521318,0.3598326359832636,0.41456582633053224,0.012345679012345678,0.19640852974186307,0.10437710437710437,0.0920314253647587,0.5314285714285715
2019,14781,13,2.0,1508,1563,371,461,91,11,34,317,60,20,234,298,10,676,0.0,65,26,30,26.0,0,0.0,1853,0.29494561740243125,0.4101457096600108,0.5195137555982086,0.9296594652582193,0.3386201427438541,0.4641873278236915,0.01834862385321101,0.16082029141932003,0.12628170534268754,0.03453858607663249,0.785234899328859
2019,14781,14,1.0,1734,1638,273,437,77,19,20,244,72,22,198,380,2,612,0.0,56,33,22,30.0,0,0.0,1891,0.2667887667887668,0.3654151242728715,0.4444444444444444,0.8098595687173159,0.33095238095238094,0.3770491803278688,0.010576414595452142,0.20095187731359068,0.1047065044949762,0.09624537281861448,0.5210526315789473
