season,season_id,school_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,11320,2,2.0,1537,1558,291,448,56,13,9,255,71,29,197,234,6,0,0.0,78,78,17,45.0,0,0.0,1850,0.28754813863928114,0.3908108108108108,0.40757381258023107,0.7983846233910419,0.32957957957957956,0.3949579831932773,0.004864864864864865,0.1264864864864865,0.10648648648648648,0.020000000000000018,0.8418803418803419
2013,11320,5,1.0,1716,1785,203,438,74,8,12,178,51,16,155,379,5,0,0.0,46,33,16,46.0,0,0.0,1989,0.2453781512605042,0.3212669683257919,0.3686274509803922,0.689894419306184,0.3021276595744681,0.30462519936204147,0.006033182503770739,0.19054801407742583,0.07792860734037205,0.11261940673705378,0.40897097625329815
2013,11320,6,1.0,1029,1430,201,348,60,11,13,168,57,22,173,368,2,0,0.0,30,21,10,22.0,0,0.0,1634,0.24335664335664337,0.3372093023255814,0.3867132867132867,0.7239225890388681,0.31633616619452315,0.34944237918215615,0.00795593635250918,0.2252141982864137,0.105875152998776,0.1193390452876377,0.4701086956521739
2013,11320,7,1.0,1995,1862,359,525,88,15,26,297,109,31,194,336,0,0,0.0,110,54,24,42.0,0,0.0,2134,0.2819548872180451,0.38847235238987815,0.4564983888292159,0.8449707412190941,0.3274278215223097,0.41469489414694893,0.01218369259606373,0.15745079662605435,0.09090909090909091,0.06654170571696344,0.5773809523809523
2013,11320,8,1.0,2142,2128,325,552,85,9,26,289,51,28,222,392,7,0,0.0,57,43,22,68.0,0,0.0,2415,0.2593984962406015,0.3440993788819876,0.4008458646616541,0.7449452435436417,0.30369515011547343,0.37142857142857144,0.010766045548654244,0.16231884057971013,0.09192546583850932,0.07039337474120082,0.5663265306122449
2013,11320,9,1.0,1770,1932,243,497,82,12,9,215,46,20,203,383,4,0,0.0,69,37,22,53.0,0,0.0,2194,0.2572463768115942,0.3505013673655424,0.37939958592132506,0.7299009532868674,0.31241997439180536,0.3078947368421053,0.004102096627164996,0.17456700091157704,0.09252506836827712,0.08204193254329992,0.5300261096605744
2013,11320,14,1.0,1470,1583,244,432,79,11,10,219,30,14,134,273,3,0,0.0,62,36,18,40.0,0,0.0,1771,0.27289955780164243,0.3546019198193111,0.41882501579279846,0.7734269356121095,0.3201820940819423,0.3786407766990291,0.00564652738565782,0.1541501976284585,0.0756634669678148,0.0784867306606437,0.4908424908424908
2013,11320,17,1.0,1995,1895,263,471,72,13,12,232,124,33,202,424,1,0,0.0,76,52,16,37.0,0,0.0,2165,0.24854881266490766,0.34595842956120093,0.3704485488126649,0.7164069783738658,0.3111864406779661,0.3405698778833107,0.005542725173210162,0.19584295612009237,0.09330254041570439,0.10254041570438797,0.47641509433962265
2013,11320,27,1.0,1728,1882,328,530,102,17,37,290,100,24,178,372,3,0,0.0,32,20,28,38.0,0,0.0,2108,0.281615302869288,0.3510436432637571,0.4957492029755579,0.8467928462393151,0.3284477015323118,0.4139402560455192,0.017552182163187855,0.17647058823529413,0.08444022770398482,0.09203036053130931,0.478494623655914
2013,11320,28,1.0,2040,2086,375,599,118,26,49,349,44,23,220,384,10,0,0.0,68,26,29,52.0,0,0.0,2361,0.2871524448705657,0.3756882676831851,0.5316395014381592,0.9073277691213443,0.3269916765755054,0.38902147971360385,0.02075391783142736,0.16264294790343076,0.09318085556967387,0.06946209233375689,0.5729166666666666
