season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2013,11320,5,1.0,02/15/2013,657848,away,255,Georgia Tech,0,3,0,1,0,0.0,0,8.0,7,3,2,2,0,0,3,0,5,0,0,0,34,31,1,0,0,0,7,11,3,0.0,100.77745383867833,0.0,2.25,51.0,2.2194056369073185,1.25,7.875,0.0,3.375,5.625,1.6666666666666667,3.375
2013,11320,5,1.0,02/16/2013,658103,away,255,Georgia Tech,3,10,0,1,0,0.0,0,8.0,14,10,9,1,0,0,6,0,4,1,1,0,45,36,2,0,1,1,6,13,1,0.0,100.77745383867833,0.0,10.125,231.0,3.9694056369073185,2.5,15.75,0.0,6.75,4.5,0.6666666666666666,11.25
2013,11320,5,1.0,02/17/2013,658427,away,255,Georgia Tech,3,5,0,1,0,0.0,0,8.0,11,5,5,3,1,2,3,0,4,1,0,0,38,32,2,1,0,2,7,11,3,0.0,100.77745383867833,0.0,5.625,128.0,6.094405636907318,1.75,12.375,2.25,3.375,4.5,1.3333333333333333,5.625
2013,11320,5,1.0,02/22/2013,658902,away,367,Louisville,0,7,0,1,0,0.0,0,8.0,12,7,6,3,1,1,2,0,1,5,2,0,41,33,1,0,0,1,6,14,0,0.0,100.77745383867833,0.0,6.75,154.0,6.344405636907318,1.75,13.5,1.125,2.25,1.125,0.5,7.875
2013,11320,5,1.0,02/23/2013,659083,away,367,Louisville,0,8,0,1,0,0.0,0,8.0,8,8,7,2,0,1,5,0,3,1,0,0,38,28,3,2,1,3,5,14,1,0.0,100.77745383867833,0.0,7.875,180.0,5.469405636907318,1.625,9.0,1.125,5.625,3.375,0.6,9.0
2013,11320,5,1.0,02/24/2013,659466,away,367,Louisville,1,2,0,1,0,0.0,0,8.0,4,2,2,0,0,0,0,0,3,3,0,0,30,25,0,0,1,1,9,11,1,0.0,100.77745383867833,0.0,2.25,51.0,2.7194056369073185,0.5,4.5,0.0,0.0,3.375,inf,2.25
2013,11320,5,1.0,03/01/2013,660157,away,334,Kentucky,2,21,0,1,0,0.0,0,8.0,18,21,20,1,1,1,9,0,4,2,1,0,52,37,5,4,0,4,6,13,1,0.0,100.77745383867833,0.0,22.5,514.0,7.094405636907318,3.375,20.25,1.125,10.125,4.5,0.4444444444444444,23.625
2013,11320,5,1.0,03/02/2013,660393,away,334,Kentucky,0,7,0,1,0,0.0,0,8.0,11,7,5,1,0,0,4,1,2,2,1,0,41,33,2,2,2,0,9,12,0,0.0,100.77745383867833,0.0,5.625,128.0,4.094405636907318,1.875,12.375,0.0,4.5,2.25,0.5,7.875
2013,11320,5,1.0,03/03/2013,660877,away,334,Kentucky,2,9,0,1,0,0.0,0,8.0,9,9,7,2,0,0,5,0,7,1,1,0,41,35,2,1,0,0,10,7,2,0.0,100.77745383867833,0.0,7.875,180.0,2.8444056369073185,1.75,10.125,0.0,5.625,7.875,1.4,10.125
2013,11320,5,1.0,03/08/2013,661844,away,10411,USC Upstate,2,11,0,1,0,0.0,0,8.0,14,11,5,4,0,0,6,0,0,2,0,0,47,38,6,2,1,0,9,14,0,0.0,100.77745383867833,0.0,5.625,128.0,5.344405636907318,2.5,15.75,0.0,6.75,0.0,0.0,12.375
2013,11320,5,1.0,03/09/2013,662138,away,10411,USC Upstate,2,8,0,1,0,0.0,0,8.0,11,8,6,3,1,0,2,0,0,2,1,0,38,33,1,0,1,0,9,12,0,0.0,100.77745383867833,0.0,6.75,154.0,3.8444056369073185,1.625,12.375,0.0,2.25,0.0,0.0,9.0
2013,11320,5,1.0,03/10/2013,662694,away,10411,USC Upstate,6,4,1,0,1,0.0,0,9.0,5,4,4,1,0,1,6,0,7,3,0,0,41,31,5,1,1,0,10,9,2,0.0,100.77745383867833,1.0,4.0,91.0,5.233294525796207,1.2222222222222223,5.0,1.0,6.0,7.0,1.1666666666666667,4.0
2013,11320,5,1.0,03/12/2013,663161,away,141,The Citadel,1,7,0,1,0,0.0,0,8.0,14,7,5,3,0,0,0,0,7,2,0,0,40,35,0,0,3,0,6,9,1,0.0,100.77745383867833,0.0,5.625,128.0,1.3444056369073185,1.75,15.75,0.0,0.0,7.875,inf,7.875
2013,11320,5,1.0,03/13/2013,663387,away,141,The Citadel,3,9,0,1,0,0.0,0,8.0,15,9,8,3,0,4,4,0,5,3,3,1,47,38,1,0,2,0,10,8,2,0.0,100.77745383867833,0.0,9.0,205.0,10.219405636907318,2.375,16.875,4.5,4.5,5.625,1.25,10.125
2013,11320,5,1.0,03/15/2013,664062,neutral,562,Quinnipiac,1,4,0,1,0,0.0,0,7.333333333333334,5,3,2,1,0,2,3,0,4,1,0,0,33,28,0,0,1,0,12,6,4,0.0,100.77745383867833,0.0,2.454545454545454,56.0,6.43531472781641,1.0909090909090908,6.136363636363636,2.454545454545454,3.6818181818181817,4.909090909090908,1.3333333333333333,3.6818181818181817
2013,11320,5,1.0,03/16/2013,664638,neutral,562,Quinnipiac,9,4,1,0,0,0.0,0,9.0,9,4,4,2,1,0,1,0,3,0,2,0,36,35,0,0,0,0,7,16,0,0.0,100.77745383867833,1.0,4.0,91.0,2.011072303573985,1.1111111111111112,9.0,0.0,1.0,3.0,3.0,4.0
2013,11320,5,1.0,03/17/2013,664707,away,149,Coastal Carolina,3,7,0,1,0,0.0,0,8.0,8,7,7,0,0,2,5,0,3,3,0,0,38,30,5,2,0,0,14,5,1,0.0,100.77745383867833,0.0,7.875,180.0,7.844405636907318,1.625,9.0,2.25,5.625,3.375,0.6,7.875
2013,11320,5,1.0,03/17/2013,664987,neutral,418,Michigan,2,3,0,1,0,0.0,0,8.0,5,3,2,0,0,0,4,0,3,2,0,0,33,26,0,0,1,0,11,8,1,0.0,100.77745383867833,0.0,2.25,51.0,3.8444056369073185,1.125,5.625,0.0,4.5,3.375,0.75,3.375
2013,11320,5,1.0,03/22/2013,665557,away,47,Ball St.,1,2,0,1,0,0.0,0,9.0,6,2,1,1,0,1,4,1,4,3,1,0,39,29,0,0,3,0,9,12,1,0.0,100.77745383867833,0.0,1.0,23.0,5.233294525796207,1.1111111111111112,6.0,1.0,4.0,4.0,1.0,2.0
2013,11320,5,1.0,03/23/2013,666218,away,47,Ball St.,7,4,1,0,1,0.0,0,9.0,12,4,3,0,1,0,1,0,5,0,0,0,39,37,2,0,0,1,11,8,1,0.0,100.77745383867833,1.0,3.0,68.0,1.5666278591295408,1.4444444444444444,12.0,0.0,1.0,5.0,5.0,4.0
2013,11320,5,1.0,03/23/2013,666248,away,47,Ball St.,4,3,1,0,1,0.0,0,9.0,10,3,2,1,0,0,3,0,2,3,0,0,40,32,0,0,2,0,14,8,1,0.0,100.77745383867833,1.0,2.0,46.0,3.8999611924628743,1.4444444444444444,10.0,0.0,3.0,2.0,0.6666666666666666,3.0
2013,11320,5,1.0,03/29/2013,667519,home,503,NIU,3,4,0,1,0,0.0,0,9.0,10,4,3,1,1,0,3,0,7,3,0,1,44,35,1,0,2,1,10,9,5,0.0,100.77745383867833,0.0,3.0,68.0,2.7888500813517627,1.4444444444444444,10.0,0.0,3.0,7.0,2.3333333333333335,4.0
2013,11320,5,1.0,03/30/2013,668018,home,503,NIU,1,2,0,1,0,0.0,0,9.0,10,2,2,0,0,0,1,0,5,0,0,0,34,32,0,0,1,0,7,11,1,0.0,100.77745383867833,0.0,2.0,46.0,1.5666278591295408,1.2222222222222223,10.0,0.0,1.0,5.0,5.0,2.0
2013,11320,5,1.0,03/31/2013,668593,home,503,NIU,4,14,0,1,0,0.0,0,9.0,18,14,13,1,2,2,4,0,8,3,0,0,51,44,6,3,0,0,10,7,1,0.0,100.77745383867833,0.0,13.0,297.0,5.788850081351763,2.4444444444444446,18.0,2.0,4.0,8.0,2.0,14.0
2013,11320,5,1.0,04/02/2013,668813,home,545,Pittsburgh,7,11,0,1,0,0.0,0,9.0,13,11,8,2,0,3,12,0,4,6,0,0,57,37,5,3,0,2,10,10,1,0.0,100.77745383867833,0.0,8.0,183.0,11.788850081351763,2.7777777777777777,13.0,3.0,12.0,4.0,0.3333333333333333,11.0
2013,11320,5,1.0,04/03/2013,669023,away,817,Youngstown St.,5,4,1,0,1,0.0,0,9.0,8,4,3,0,0,4,3,0,5,1,0,2,38,34,0,0,0,0,14,6,3,0.0,100.77745383867833,1.0,3.0,68.0,8.344405636907318,1.2222222222222223,8.0,4.0,3.0,5.0,1.6666666666666667,4.0
2013,11320,5,1.0,04/05/2013,669397,home,414,Miami (OH),2,7,0,1,0,0.0,0,9.0,11,7,6,3,1,1,3,0,6,0,0,1,43,38,2,2,1,1,4,17,2,0.0,100.77745383867833,0.0,6.0,137.0,3.4555167480184297,1.5555555555555556,11.0,1.0,3.0,6.0,2.0,7.0
2013,11320,5,1.0,04/06/2013,669656,home,414,Miami (OH),1,2,0,1,0,0.0,0,9.0,6,2,1,0,0,0,2,0,3,1,0,0,36,31,0,0,1,1,7,16,2,0.0,100.77745383867833,0.0,1.0,23.0,2.677738970240652,0.8888888888888888,6.0,0.0,2.0,3.0,1.5,2.0
2013,11320,5,1.0,04/07/2013,670461,home,414,Miami (OH),10,9,1,0,0,0.0,0,14.0,10,9,3,2,0,0,5,0,11,3,0,1,63,51,4,2,4,0,16,12,1,0.0,100.77745383867833,1.0,1.9285714285714284,44.0,2.4872627797644613,1.0714285714285714,6.428571428571429,0.0,3.2142857142857144,7.071428571428571,2.2,5.7857142857142865
2013,11320,5,1.0,04/10/2013,671355,home,116,Canisius,5,8,0,1,0,0.0,0,5.0,9,8,4,0,0,0,4,0,1,2,0,0,30,24,3,3,0,0,5,8,0,0.0,100.77745383867833,0.0,7.2,164.0,5.544405636907319,2.6,16.2,0.0,7.2,1.8,0.25,14.4
2013,11320,5,1.0,04/12/2013,671443,away,519,Ohio,4,2,1,0,0,0.0,0,10.0,5,2,2,0,0,0,3,0,8,2,0,0,41,35,0,0,1,0,7,14,3,0.0,100.77745383867833,1.0,1.8,41.0,2.2444056369073184,0.8,4.5,0.0,2.6999999999999997,7.2,2.6666666666666665,1.8
2013,11320,5,1.0,04/13/2013,671673,away,519,Ohio,11,8,1,0,0,0.0,0,10.0,12,8,8,2,0,0,6,0,3,3,0,0,49,39,5,2,1,0,14,10,1,0.0,100.77745383867833,1.0,7.2,164.0,4.444405636907319,1.8,10.799999999999999,0.0,5.3999999999999995,2.6999999999999997,0.5,7.2
