season,season_id,school_id,division,date,game_id,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2014,11620,5,1.0,02/16/2014,587422,792,Winthrop,5,6,-1,3,0.0,0,1,0,0.0,0,9.0,12,6,5,3,0,2,2,0,5,0,0,0,41,38,0,0,0,1,8,13,1,0.0,0.0,5.0,83.0,4.602483824695076,1.5555555555555556,12.0,2.0,2.0,5.0,2.5,6.0
2014,11620,5,1.0,02/16/2014,587435,792,Winthrop,2,6,-4,3,0.0,0,1,0,0.0,0,8.0,9,6,6,2,1,0,3,0,3,0,1,0,33,30,0,0,0,0,8,10,2,0.0,0.0,6.75,61.0,2.533039380250631,1.5,10.125,0.0,3.375,3.375,1.0,6.75
2014,11620,5,1.0,02/21/2014,587938,609,Saint Louis,2,1,1,3,0.0,1,0,1,0.0,0,9.0,6,1,1,1,0,0,2,0,8,3,0,0,36,31,0,0,0,0,9,7,1,0.0,1.0,1.0,414.0,2.04692826913952,0.8888888888888888,6.0,0.0,2.0,8.0,4.0,1.0
2014,11620,5,1.0,02/22/2014,588347,340,La Salle,7,1,6,4,0.0,1,0,0,0.0,0,9.0,5,1,1,2,0,0,2,0,5,0,0,0,36,34,0,0,0,0,10,12,0,0.0,1.0,1.0,414.0,1.7135949358061866,0.7777777777777778,5.0,0.0,2.0,5.0,2.5,1.0
2014,11620,5,1.0,02/22/2014,3082673,340,La Salle,8,7,1,4,0.0,1,0,0,0.0,0,9.0,7,7,4,1,0,0,5,0,3,3,0,0,44,34,0,0,2,0,11,12,0,0.0,1.0,4.0,103.0,4.1580393802506315,1.3333333333333333,7.0,0.0,5.0,3.0,0.6,7.0
2014,11620,5,1.0,02/23/2014,588453,193,Duke,2,5,-3,5,0.0,0,1,0,0.0,0,8.0,11,5,5,2,0,0,2,0,6,1,1,0,35,32,0,0,0,0,8,7,0,0.0,0.0,5.625,74.0,1.783039380250631,1.625,12.375,0.0,2.25,6.75,3.0,5.625
2014,11620,5,1.0,03/01/2014,589177,178,Delaware St.,0,4,-4,3,0.0,0,1,0,0.0,0,8.0,14,4,2,5,0,0,2,0,3,1,1,0,40,37,4,0,0,0,9,11,0,0.0,0.0,2.25,184.0,2.533039380250631,2.0,15.75,0.0,2.25,3.375,1.5,4.5
2014,11620,5,1.0,03/02/2014,589787,178,Delaware St.,1,13,-12,3,0.0,0,1,0,0.0,0,8.0,13,13,13,6,0,1,6,0,4,2,0,0,44,35,1,1,1,0,9,9,2,0.0,0.0,14.625,28.0,5.7830393802506315,2.375,14.625,1.125,6.75,4.5,0.6666666666666666,14.625
2014,11620,5,1.0,03/02/2014,589802,178,Delaware St.,11,10,1,3,0.0,1,0,0,0.0,0,8.0,13,10,6,2,0,3,4,0,8,1,1,0,45,37,2,2,2,1,11,4,3,0.0,1.0,6.75,61.0,6.9080393802506315,2.125,14.625,3.375,4.5,9.0,2.0,11.25
2014,11620,5,1.0,03/07/2014,590377,43,Austin Peay,10,0,10,4,0.0,1,0,0,0.0,0,9.0,7,0,0,1,1,0,4,0,6,0,0,0,34,30,0,0,0,0,7,10,3,0.0,1.0,0.0,inf,2.158039380250631,1.2222222222222223,7.0,0.0,4.0,6.0,1.5,0.0
2014,11620,5,1.0,03/08/2014,590889,797,Milwaukee,4,10,-6,4,0.0,0,1,0,0.0,0,9.0,14,10,8,2,2,3,5,0,7,1,0,0,47,40,0,0,0,1,10,9,2,0.0,0.0,8.0,52.0,6.935817158028408,2.111111111111111,14.0,3.0,5.0,7.0,1.4,10.0
