season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2020,15204,2,1.0,02/14/2020,1830342,home,30024,Utah Valley,3,2,1,0,0,0,0.0,0,1.6666666666666665,3,2,1,3,0,0,0,0,2,0,0,0,9,9,0,0,0,0,1,2,0,0.0,,5.4,87.0,0.5237469655861773,1.8000000000000003,16.200000000000003,0.0,0.0,10.8,inf,10.8
2020,15204,2,1.0,02/14/2020,4926860,home,30024,Utah Valley,3,2,1,1,0,0,0.0,0,7.333333333333334,4,0,0,0,0,0,1,0,11,1,0,0,28,26,1,1,0,0,3,7,6,0.0,1.0,0.0,inf,0.741928783767996,0.6818181818181818,4.909090909090908,0.0,1.227272727272727,13.499999999999998,11.0,0.0
2020,15204,2,1.0,02/15/2020,1830550,home,30024,Utah Valley,10,1,9,1,0,1,0.0,0,9.0,7,1,1,2,0,0,1,0,8,1,0,0,36,33,0,0,0,1,7,12,4,0.0,1.0,1.0,471.0,1.8126358544750665,0.8888888888888888,7.0,0.0,1.0,8.0,8.0,1.0
2020,15204,2,1.0,02/15/2020,1848761,home,30024,Utah Valley,10,3,7,1,0,0,0.0,0,9.0,9,3,3,3,0,0,2,0,8,0,1,3,37,35,1,1,0,0,12,6,2,0.0,1.0,3.0,157.0,1.8126358544750665,1.2222222222222223,9.0,0.0,2.0,8.0,4.0,3.0
2020,15204,2,1.0,02/16/2020,1830897,home,30024,Utah Valley,4,3,1,0,0,0,0.0,0,7.333333333333333,11,3,3,4,0,0,2,0,11,1,0,1,37,34,2,0,0,0,5,7,3,0.0,,3.681818181818182,128.0,1.151019692858905,1.7727272727272727,13.5,0.0,2.454545454545455,13.5,5.5,3.681818181818182
2020,15204,2,1.0,02/16/2020,4930086,home,30024,Utah Valley,4,3,1,1,0,0,0.0,0,3.6666666666666665,1,0,0,0,0,0,1,1,5,0,0,2,13,12,2,0,0,0,3,3,0,0.0,1.0,0.0,inf,1.0146560564952685,0.5454545454545455,2.454545454545455,0.0,2.454545454545455,12.272727272727273,5.0,0.0
2020,15204,2,1.0,02/18/2020,1831035,away,698,TCU,4,14,-10,0,1,0,0.0,0,8.0,13,14,12,4,1,4,5,0,11,1,0,1,47,41,0,0,0,0,8,6,0,0.0,0.0,13.5,35.0,8.923746965586178,2.25,14.625,4.5,5.625,12.375,2.2,15.75
2020,15204,2,1.0,02/21/2020,1831129,away,104,UC Santa Barbara,0,7,-7,0,0,0,0.0,0,4.0,4,3,3,0,0,1,3,0,3,1,0,0,19,15,0,0,0,0,3,5,0,0.0,,6.75,70.0,7.673746965586178,1.75,9.0,2.25,6.75,6.75,1.0,6.75
2020,15204,2,1.0,02/21/2020,4938727,away,104,UC Santa Barbara,0,7,-7,0,1,0,0.0,0,4.0,5,4,0,0,1,1,1,0,2,0,0,0,20,19,0,0,0,0,4,4,0,0.0,0.0,0.0,inf,5.923746965586178,1.5,11.25,2.25,2.25,4.5,2.0,9.0
2020,15204,2,1.0,02/22/2020,1831410,away,104,UC Santa Barbara,1,6,-5,0,1,0,0.0,0,8.0,11,6,5,3,0,1,1,0,5,0,0,1,34,32,0,0,0,1,9,8,1,0.0,0.0,5.625,84.0,3.6737469655861776,1.5,12.375,1.125,1.125,5.625,5.0,6.75
2020,15204,2,1.0,02/23/2020,1831786,away,104,UC Santa Barbara,5,4,1,0,0,1,0.0,0,5.666666666666667,4,1,0,1,0,0,1,0,4,1,0,0,22,20,0,0,0,0,6,6,2,0.0,,0.0,inf,2.5708057891155893,0.8823529411764706,6.352941176470588,0.0,1.588235294117647,6.352941176470588,4.0,1.588235294117647
2020,15204,2,1.0,02/23/2020,4937939,away,104,UC Santa Barbara,5,4,1,1,0,0,0.0,0,3.3333333333333335,4,3,3,0,0,0,1,0,5,0,0,0,14,13,0,0,0,0,3,1,0,0.0,1.0,8.1,58.0,0.8237469655861775,1.5,10.799999999999999,0.0,2.6999999999999997,13.5,5.0,8.1
2020,15204,2,1.0,02/27/2020,1832281,home,817,Youngstown St.,5,2,3,0,0,0,0.0,0,3.0,1,2,2,0,0,1,1,0,1,0,0,0,11,10,0,0,0,0,4,4,0,0.0,,6.0,79.0,7.590413632252845,0.6666666666666666,3.0,3.0,3.0,3.0,1.0,6.0
2020,15204,2,1.0,02/27/2020,4941333,home,817,Youngstown St.,5,2,3,1,0,0,0.0,0,6.0,0,0,0,0,0,0,0,0,8,1,0,0,21,20,0,0,0,0,4,6,2,0.0,1.0,0.0,inf,0.7570802989195111,0.0,0.0,0.0,0.0,12.0,inf,0.0
2020,15204,2,1.0,02/28/2020,1832555,home,817,Youngstown St.,2,4,-2,0,1,0,0.0,0,9.0,8,4,4,1,0,1,6,1,10,1,0,2,41,34,1,1,0,0,7,9,2,0.0,0.0,4.0,118.0,4.479302521141733,1.5555555555555556,8.0,1.0,6.0,10.0,1.6666666666666667,4.0
