season,season_id,school_id,stats_player_seq,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2023,16340,2,2309437,13.0,13,0,0,0,0,0,0,0,0,1.0,
2023,16340,2,2347974,6.0,6,0,0,0,0,0,0,0,0,1.0,
2023,16340,2,2347976,0.0,0,0,0,0,0,2,1,0,0,,0.5
2023,16340,2,2494397,10.0,10,0,0,0,0,0,0,0,0,1.0,
2023,16340,2,2678263,1.0,1,0,0,0,0,0,0,0,0,1.0,
2023,16340,2,2678295,41.0,39,2,0,0,0,2,1,0,0,1.0,0.5
2023,16340,2,2826910,1.0,0,1,0,0,0,0,0,0,0,1.0,
2023,16340,2,2826933,5.0,2,3,0,0,0,0,0,0,0,1.0,
2023,16340,2,2826936,15.0,5,10,0,0,0,0,0,1,0,1.0,
2023,16340,2,2826937,1.0,1,0,0,0,0,0,0,0,0,1.0,
2023,16340,2,2826939,23.0,23,0,0,0,0,0,0,1,0,1.0,
2023,16340,2,2826941,17.0,8,9,0,0,0,0,0,1,0,1.0,
2023,16340,5,1981115,15.0,6,6,3,0,0,0,0,0,0,0.8,
2023,16340,5,2308200,15.0,7,7,1,0,0,0,0,1,0,0.9333333333333333,
2023,16340,5,2328921,0.0,0,0,0,0,0,1,0,0,0,,0.0
2023,16340,5,2496157,9.0,9,0,0,0,0,0,0,0,0,1.0,
2023,16340,5,2496195,1.0,0,1,0,0,0,0,0,0,0,1.0,
2023,16340,5,2673188,2.0,0,1,1,0,0,0,0,0,0,0.5,
2023,16340,5,2673267,15.0,5,10,0,0,0,0,0,1,0,1.0,
2023,16340,5,2673312,13.0,12,0,1,0,0,0,0,0,0,0.9230769230769231,
2023,16340,5,2673313,0.0,0,0,0,0,0,2,0,0,0,,0.0
2023,16340,5,2673314,11.0,11,0,0,0,0,0,0,2,0,1.0,
2023,16340,5,2673316,22.0,21,1,0,0,0,1,1,0,0,1.0,1.0
2023,16340,5,2673317,5.0,3,2,0,0,1,2,0,0,0,1.0,0.0
