season,season_id,school_id,stats_player_seq,division,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,3,1537972,2.0,74.0,151,66,11,0,0,0,0,18,0,0.9517543859649122,
2017,12560,3,1537987,2.0,0.0,2,2,0,0,0,1,1,0,0,1.0,1.0
2017,12560,3,1537989,2.0,57.0,61,2,2,0,0,0,0,0,0,0.9692307692307692,
2017,12560,3,1537990,2.0,0.0,2,2,0,0,0,1,0,0,0,1.0,0.0
2017,12560,3,1537991,2.0,7.0,17,8,2,0,0,5,0,1,0,0.9259259259259259,0.0
2017,12560,3,1537992,2.0,72.0,226,146,8,0,0,0,0,26,0,0.9789473684210527,
2017,12560,3,1537995,2.0,277.0,299,19,3,0,0,0,0,28,0,0.9906542056074766,
2017,12560,3,1653690,2.0,216.0,244,23,5,1,6,19,11,1,0,0.9816176470588235,0.5789473684210527
2017,12560,3,1653697,2.0,59.0,168,98,11,0,0,0,0,19,0,0.9602888086642599,
2017,12560,3,1653698,2.0,45.0,50,4,1,0,0,4,2,1,0,0.9818181818181818,0.5
2017,12560,3,1653701,2.0,1.0,3,2,0,0,0,1,1,0,0,1.0,1.0
2017,12560,3,1653702,2.0,0.0,0,0,0,0,0,0,0,0,0,,
2017,12560,3,1653703,2.0,0.0,9,8,1,0,0,3,1,0,0,0.9444444444444444,0.3333333333333333
2017,12560,3,1653705,2.0,64.0,71,7,0,0,1,12,1,0,0,1.0,0.08333333333333333
2017,12560,3,1771379,2.0,71.0,75,3,1,0,0,0,0,1,0,0.9873417721518988,
2017,12560,3,1771380,2.0,34.0,36,2,0,0,0,0,0,0,0,1.0,
2017,12560,3,1771381,2.0,18.0,56,36,2,0,0,0,0,6,0,0.9787234042553191,
2017,12560,3,1771383,2.0,15.0,15,0,0,0,0,1,0,0,0,1.0,0.0
2017,12560,3,1771384,2.0,6.0,12,5,1,0,0,2,4,0,0,0.9444444444444444,2.0
2017,12560,3,1771385,2.0,0.0,3,3,0,0,0,3,0,0,0,1.0,0.0
2017,12560,3,1771386,2.0,2.0,22,20,0,0,0,5,3,0,0,1.0,0.6
2017,12560,3,1771389,2.0,1.0,4,3,0,0,0,3,1,0,0,1.0,0.3333333333333333
