season,season_id,school_id,stats_player_seq,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2013,11320,2,999823,0.0,77,2,1,0,0,0,0,3,0,0.9875,
2013,11320,2,1077034,0.0,90,17,3,0,0,0,0,3,0,0.9727272727272728,
2013,11320,2,1077038,0.0,1,6,0,0,0,4,2,0,0,1.0,0.5
2013,11320,2,1215881,0.0,15,0,1,0,0,0,0,0,0,0.9375,
2013,11320,2,1215886,0.0,1,7,0,0,0,4,1,0,0,1.0,0.25
2013,11320,2,1311149,0.0,12,22,1,0,0,0,0,6,0,0.9714285714285714,
2013,11320,2,1311150,0.0,94,23,2,0,5,12,12,1,0,0.9831932773109243,1.0
2013,11320,2,1311152,0.0,347,16,7,0,0,0,0,28,0,0.981081081081081,
2013,11320,2,1311154,0.0,0,0,0,0,0,0,0,0,0,,
2013,11320,2,1311155,0.0,73,158,7,0,0,0,0,30,0,0.9705882352941176,
2013,11320,2,1311156,0.0,246,34,3,0,4,29,4,0,0,0.9893992932862191,0.13793103448275862
2013,11320,2,1311157,0.0,1,7,0,0,0,8,6,0,0,1.0,0.75
2013,11320,2,1311161,0.0,1,5,3,0,0,3,0,0,0,0.6666666666666666,0.0
2013,11320,2,1311164,0.0,62,2,2,0,0,0,0,0,0,0.9696969696969697,
2013,11320,2,1311169,0.0,2,0,0,0,0,0,0,0,0,1.0,
2013,11320,2,1311192,0.0,0,0,0,0,0,0,0,0,0,,
2013,11320,2,1311193,0.0,0,0,0,0,0,0,0,0,0,,
2013,11320,2,1420610,0.0,1,1,0,0,0,0,0,0,0,1.0,
2013,11320,2,1420611,0.0,50,13,1,0,0,10,5,0,0,0.984375,0.5
2013,11320,2,1420612,0.0,163,119,7,0,0,0,0,26,0,0.9757785467128027,
2013,11320,2,1420613,0.0,20,88,7,0,0,0,0,3,0,0.9391304347826087,
2013,11320,2,1420626,0.0,0,1,0,0,0,0,0,0,0,1.0,
2013,11320,2,1420627,0.0,0,1,0,0,0,3,1,0,0,1.0,0.3333333333333333
