season,season_id,school_id,stats_player_seq,division,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2024,16580,2,2309301,1.0,4.0,0,4,0,0,0,4,0,0,0,1.0,0.0
2024,16580,2,2336904,1.0,216.0,153,58,5,0,0,0,0,9,0,0.9768518518518519,
2024,16580,2,2347974,1.0,92.0,89,2,1,0,0,0,0,0,0,0.9891304347826086,
2024,16580,2,2347980,1.0,8.0,4,3,1,0,0,12,2,1,0,0.875,0.16666666666666666
2024,16580,2,2662408,1.0,79.0,76,3,0,0,0,0,0,4,0,1.0,
2024,16580,2,2668086,1.0,3.0,0,3,0,0,0,3,0,0,0,1.0,0.0
2024,16580,2,2678263,1.0,57.0,49,7,1,0,3,1,0,4,0,0.9824561403508771,0.0
2024,16580,2,2678291,1.0,56.0,55,1,0,0,0,0,0,1,0,1.0,
2024,16580,2,2826910,1.0,6.0,3,3,0,0,0,5,0,0,0,1.0,0.0
2024,16580,2,2826918,1.0,142.0,68,65,9,0,0,0,0,9,0,0.9366197183098591,
2024,16580,2,2826927,1.0,1.0,0,1,0,0,0,2,0,0,0,1.0,0.0
2024,16580,2,2826928,1.0,12.0,11,0,1,0,0,0,0,0,0,0.9166666666666666,
2024,16580,2,2826929,1.0,0.0,0,0,0,0,0,1,0,0,0,,0.0
2024,16580,2,2826931,1.0,1.0,0,1,0,0,0,1,0,0,0,1.0,0.0
2024,16580,2,2826933,1.0,414.0,341,65,8,0,24,39,12,4,0,0.9806763285024155,0.3076923076923077
2024,16580,2,2826935,1.0,4.0,2,2,0,0,0,1,0,0,0,1.0,0.0
2024,16580,2,2826937,1.0,59.0,59,0,0,0,0,0,0,0,0,1.0,
2024,16580,2,2826941,1.0,285.0,211,69,5,0,0,0,0,24,0,0.9824561403508771,
2024,16580,2,2827826,1.0,52.0,24,23,5,0,0,2,0,1,0,0.9038461538461539,0.0
2024,16580,2,2827832,1.0,0.0,0,0,0,0,0,1,0,0,0,,0.0
2024,16580,2,2923072,1.0,3.0,1,2,0,0,0,2,0,0,0,1.0,0.0
2024,16580,2,2923078,1.0,81.0,78,0,3,0,0,0,0,0,0,0.9629629629629629,
2024,16580,2,2923082,1.0,10.0,1,9,0,0,0,3,1,0,0,1.0,0.3333333333333333
2024,16580,2,2923127,1.0,0.0,0,0,0,0,0,4,0,0,0,,0.0
2024,16580,2,2923133,1.0,8.0,1,5,2,0,0,14,0,0,0,0.75,0.0
2024,16580,2,2923139,1.0,7.0,1,6,0,0,0,4,1,0,0,1.0,0.25
2024,16580,2,2923163,1.0,153.0,140,9,4,1,4,22,2,0,0,0.9738562091503268,0.09090909090909091
2024,16580,2,2923171,1.0,206.0,71,121,14,0,0,0,0,21,0,0.9320388349514563,
2024,16580,2,2923174,1.0,38.0,37,1,0,0,0,0,0,1,0,1.0,
