season,season_id,school_id,stats_player_seq,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2018,12973,2,1659965,4.0,2,2,0,0,0,1,0,1,0,1.0,0.0
2018,12973,2,1767864,97.0,84,8,5,0,0,3,1,0,0,0.9484536082474226,0.3333333333333333
2018,12973,2,1767887,5.0,1,4,0,0,0,5,1,1,0,1.0,0.2
2018,12973,2,1767888,13.0,7,5,1,0,0,12,1,0,0,0.9230769230769231,0.08333333333333333
2018,12973,2,1884436,41.0,32,7,2,0,0,0,0,3,0,0.9512195121951219,
2018,12973,2,1884456,185.0,174,10,1,0,0,3,0,23,0,0.9945945945945946,0.0
2018,12973,2,1884461,199.0,180,17,2,0,9,37,7,0,0,0.9899497487437185,0.1891891891891892
2018,12973,2,1997672,1.0,0,1,0,0,0,2,0,0,0,1.0,0.0
2018,12973,2,1997673,129.0,122,4,3,0,0,0,0,0,0,0.9767441860465116,
2018,12973,2,1997674,8.0,8,0,0,0,0,5,0,0,0,1.0,0.0
2018,12973,2,1997675,146.0,44,91,11,0,0,0,0,22,0,0.9246575342465754,
2018,12973,2,1997676,0.0,0,0,0,0,0,1,0,0,0,,0.0
2018,12973,2,1997693,13.0,1,9,3,0,0,6,6,0,0,0.7692307692307693,1.0
2018,12973,2,1997694,13.0,3,10,0,0,0,8,0,1,0,1.0,0.0
2018,12973,2,1997695,4.0,3,1,0,0,0,1,0,0,0,1.0,0.0
2018,12973,2,1997696,13.0,6,6,1,0,0,0,0,0,0,0.9230769230769231,
2018,12973,2,1997697,374.0,344,28,2,0,0,0,0,27,0,0.9946524064171123,
2018,12973,2,1997698,214.0,81,126,7,0,0,0,0,34,0,0.9672897196261683,
2018,12973,2,1997699,52.0,46,3,3,0,0,0,0,0,0,0.9423076923076923,
2018,12973,2,1997700,11.0,4,7,0,0,0,9,1,0,0,1.0,0.1111111111111111
2018,12973,2,1997701,34.0,31,0,3,0,0,0,0,0,0,0.9117647058823529,
2018,12973,2,1997702,21.0,5,16,0,0,0,8,3,0,0,1.0,0.375
2018,12973,2,1997703,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,2,1997704,123.0,107,13,3,0,8,39,6,0,0,0.975609756097561,0.15384615384615385
2018,12973,2,1997705,60.0,57,2,1,0,4,10,1,1,0,0.9833333333333333,0.1
2018,12973,2,1997706,13.0,3,10,0,0,0,18,6,0,0,1.0,0.3333333333333333
2018,12973,2,1997707,1.0,0,1,0,0,0,2,0,1,0,1.0,0.0
2018,12973,2,1997708,29.0,3,17,9,0,0,0,0,2,0,0.6896551724137931,
2018,12973,2,1997709,158.0,48,108,2,0,0,0,0,25,0,0.9873417721518988,
2018,12973,2,1997710,124.0,28,80,16,0,0,0,0,6,0,0.8709677419354839,
2018,12973,2,2005161,13.0,5,8,0,0,0,12,0,1,0,1.0,0.0
2018,12973,4,1663963,377.0,342,28,7,0,15,41,8,3,0,0.9814323607427056,0.1951219512195122
2018,12973,4,1664109,21.0,3,17,1,0,0,5,0,1,0,0.9523809523809523,0.0
2018,12973,4,1777568,11.0,5,5,1,0,0,0,0,1,0,0.9090909090909091,
2018,12973,4,1777569,2.0,2,0,0,0,0,0,0,0,0,1.0,
2018,12973,4,1777571,88.0,29,48,11,0,0,0,0,5,0,0.875,
2018,12973,4,1777574,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,1777575,1.0,0,1,0,0,0,2,0,0,0,1.0,0.0
2018,12973,4,1777576,181.0,61,102,18,0,0,0,0,13,0,0.9005524861878453,
2018,12973,4,1783574,2.0,0,0,2,0,0,3,2,0,0,0.0,0.6666666666666666
2018,12973,4,1891427,342.0,318,21,3,0,0,0,0,25,0,0.9912280701754386,
2018,12973,4,1891428,1.0,1,0,0,0,0,1,0,0,0,1.0,0.0
2018,12973,4,1891431,22.0,7,10,5,0,0,8,3,0,0,0.7727272727272727,0.375
2018,12973,4,1891432,75.0,68,4,3,0,0,0,0,0,0,0.96,
2018,12973,4,1891434,1.0,0,0,1,0,0,0,0,0,0,0.0,
2018,12973,4,1891438,83.0,80,1,2,0,0,0,0,1,0,0.9759036144578314,
2018,12973,4,1891440,54.0,15,31,8,0,0,0,0,3,0,0.8518518518518519,
2018,12973,4,1891441,9.0,2,7,0,0,0,2,2,0,0,1.0,1.0
2018,12973,4,1896506,3.0,0,2,1,0,0,5,1,0,0,0.6666666666666666,0.2
2018,12973,4,2003420,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003421,29.0,26,3,0,0,0,4,2,0,0,1.0,0.5
2018,12973,4,2003422,2.0,2,0,0,0,0,2,0,0,0,1.0,0.0
2018,12973,4,2003424,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003445,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003446,2.0,1,1,0,0,0,1,0,0,0,1.0,0.0
2018,12973,4,2003448,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003452,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003457,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003459,61.0,22,34,5,0,0,0,0,5,0,0.9180327868852459,
2018,12973,4,2003461,8.0,6,1,1,0,0,0,0,0,0,0.875,
2018,12973,4,2003469,12.0,11,1,0,0,0,0,0,1,0,1.0,
2018,12973,4,2003475,0.0,0,0,0,0,0,0,0,0,0,,
2018,12973,4,2003477,0.0,0,0,0,0,0,1,0,0,0,,0.0
2018,12973,4,2003479,12.0,3,8,1,0,0,10,2,0,0,0.9166666666666666,0.2
