season,season_id,school_id,stats_player_seq,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2016,12360,2,1420630,0.0,4,8,1,0,0,10,0,1,0,0.9230769230769231,0.0
2016,12360,2,1420632,0.0,99,4,3,0,0,0,0,9,0,0.9716981132075472,
2016,12360,2,1547018,0.0,48,99,14,0,0,0,0,12,0,0.9130434782608695,
2016,12360,2,1547029,0.0,151,53,13,0,0,0,0,18,0,0.9400921658986175,
2016,12360,2,1547031,0.0,17,0,0,0,0,0,0,0,0,1.0,
2016,12360,2,1547054,0.0,0,0,0,0,0,3,0,0,0,,0.0
2016,12360,2,1547057,0.0,0,0,0,0,0,0,0,0,0,,
2016,12360,2,1547059,0.0,5,17,2,0,0,14,3,0,0,0.9166666666666666,0.21428571428571427
2016,12360,2,1547060,0.0,3,8,1,0,0,12,2,0,0,0.9166666666666666,0.16666666666666666
2016,12360,2,1547062,0.0,0,0,0,0,0,0,0,0,0,,
2016,12360,2,1659958,0.0,215,31,4,0,5,64,13,1,0,0.984,0.203125
2016,12360,2,1659959,0.0,24,52,3,0,0,19,3,7,0,0.9620253164556962,0.15789473684210525
2016,12360,2,1659965,0.0,1,5,0,0,0,11,1,0,0,1.0,0.09090909090909091
2016,12360,2,1659966,0.0,2,21,0,0,0,9,2,1,0,1.0,0.2222222222222222
2016,12360,2,1659975,0.0,0,0,0,0,0,0,1,0,0,,
2016,12360,2,1767862,0.0,9,15,0,0,0,0,0,1,0,1.0,
2016,12360,2,1767863,0.0,0,0,0,0,0,0,0,0,0,,
2016,12360,2,1767864,0.0,71,0,2,0,0,0,0,0,0,0.9726027397260274,
2016,12360,2,1767865,0.0,148,10,7,0,0,0,0,3,0,0.9575757575757575,
2016,12360,2,1767866,0.0,2,0,0,0,0,0,0,0,0,1.0,
2016,12360,2,1767867,0.0,58,148,12,0,0,0,0,21,0,0.944954128440367,
2016,12360,2,1767868,0.0,17,28,3,0,0,0,0,2,0,0.9375,
2016,12360,2,1767869,0.0,1,3,0,0,0,4,0,0,0,1.0,0.0
2016,12360,2,1767870,0.0,1,2,1,0,0,0,0,0,0,0.75,
2016,12360,2,1767871,0.0,2,0,0,0,0,0,0,0,0,1.0,
2016,12360,2,1767883,0.0,85,1,0,0,0,0,0,1,0,1.0,
2016,12360,2,1767884,0.0,79,3,1,0,0,0,0,0,0,0.9879518072289156,
2016,12360,2,1767885,0.0,43,12,2,0,1,12,1,0,0,0.9649122807017544,0.08333333333333333
2016,12360,2,1767886,0.0,33,1,1,0,4,11,0,0,0,0.9714285714285714,0.0
2016,12360,2,1767887,0.0,252,12,2,0,0,0,0,6,0,0.9924812030075187,
2016,12360,2,1767888,0.0,0,0,0,0,0,2,0,0,0,,0.0
2016,12360,2,1767889,0.0,18,2,2,1,1,1,0,0,0,0.9090909090909091,0.0
2016,12360,2,1767891,0.0,1,1,0,0,0,4,3,0,0,1.0,0.75
2016,12360,4,1434144,0.0,6,6,0,0,0,5,0,1,0,1.0,0.0
2016,12360,4,1448955,0.0,80,1,3,0,0,0,0,0,0,0.9642857142857143,
2016,12360,4,1449370,0.0,32,80,10,0,0,0,0,4,0,0.9180327868852459,
2016,12360,4,1549581,0.0,2,0,0,0,0,0,0,0,0,1.0,
2016,12360,4,1556318,0.0,73,149,8,0,0,0,0,27,0,0.9652173913043478,
2016,12360,4,1557011,0.0,102,1,7,0,0,0,0,0,0,0.9363636363636364,
2016,12360,4,1557012,0.0,56,2,1,0,0,0,0,4,0,0.9830508474576272,
2016,12360,4,1558661,0.0,0,12,2,0,0,4,1,0,0,0.8571428571428571,0.25
2016,12360,4,1558776,0.0,1,8,1,0,0,3,6,0,0,0.9,2.0
2016,12360,4,1559643,0.0,97,28,0,0,3,6,10,0,0,1.0,1.6666666666666667
2016,12360,4,1663959,0.0,51,3,1,0,0,0,0,0,0,0.9818181818181818,
2016,12360,4,1663960,0.0,128,3,4,0,0,0,0,7,0,0.9703703703703703,
2016,12360,4,1663962,0.0,178,18,0,0,0,0,0,18,0,1.0,
