season,season_id,school_id,stats_player_seq,division,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2016,12360,2,1420630,1.0,0.0,4,8,1,0,0,10,0,1,0,0.9230769230769231,0.0
2016,12360,2,1420632,1.0,0.0,99,4,3,0,0,0,0,9,0,0.9716981132075472,
2016,12360,2,1547018,1.0,0.0,48,99,14,0,0,0,0,12,0,0.9130434782608695,
2016,12360,2,1547029,1.0,0.0,151,53,13,0,0,0,0,18,0,0.9400921658986175,
2016,12360,2,1547031,1.0,0.0,17,0,0,0,0,0,0,0,0,1.0,
2016,12360,2,1547054,1.0,0.0,0,0,0,0,0,3,0,0,0,,0.0
2016,12360,2,1547057,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2016,12360,2,1547059,1.0,0.0,5,17,2,0,0,14,3,0,0,0.9166666666666666,0.21428571428571427
2016,12360,2,1547060,1.0,0.0,3,8,1,0,0,12,2,0,0,0.9166666666666666,0.16666666666666666
2016,12360,2,1547062,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2016,12360,2,1659958,1.0,0.0,215,31,4,0,5,64,13,1,0,0.984,0.203125
2016,12360,2,1659959,1.0,0.0,24,52,3,0,0,19,3,7,0,0.9620253164556962,0.15789473684210525
2016,12360,2,1659965,1.0,0.0,1,5,0,0,0,11,1,0,0,1.0,0.09090909090909091
2016,12360,2,1659966,1.0,0.0,2,21,0,0,0,9,2,1,0,1.0,0.2222222222222222
2016,12360,2,1659975,1.0,0.0,0,0,0,0,0,0,1,0,0,,
2016,12360,2,1767862,1.0,0.0,9,15,0,0,0,0,0,1,0,1.0,
2016,12360,2,1767863,1.0,0.0,0,0,0,0,0,0,0,0,0,,
2016,12360,2,1767864,1.0,0.0,71,0,2,0,0,0,0,0,0,0.9726027397260274,
2016,12360,2,1767865,1.0,0.0,148,10,7,0,0,0,0,3,0,0.9575757575757575,
2016,12360,2,1767866,1.0,0.0,2,0,0,0,0,0,0,0,0,1.0,
