season,season_id,school_id,stats_player_seq,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2019,14781,2,1659965,5.0,2,2,1,0,0,3,2,1,0,0.8,0.6666666666666666
2019,14781,2,1767864,130.0,125,2,3,0,0,3,3,1,0,0.9769230769230769,1.0
2019,14781,2,1767887,3.0,1,2,0,0,0,3,1,0,0,1.0,0.3333333333333333
2019,14781,2,1884436,115.0,110,2,3,0,0,0,0,2,0,0.9739130434782609,
2019,14781,2,1884443,182.0,154,26,2,0,2,33,13,2,0,0.989010989010989,0.3939393939393939
2019,14781,2,1884456,199.0,175,21,3,0,0,0,0,17,0,0.9849246231155779,
2019,14781,2,1884461,202.0,180,21,1,0,10,37,11,0,0,0.995049504950495,0.2972972972972973
2019,14781,2,1997672,3.0,1,2,0,0,0,1,0,0,0,1.0,0.0
2019,14781,2,1997673,37.0,35,1,1,0,0,0,0,0,0,0.972972972972973,
2019,14781,2,1997674,1.0,1,0,0,0,0,0,0,0,0,1.0,
2019,14781,2,1997675,6.0,4,2,0,0,0,1,2,0,0,1.0,2.0
2019,14781,2,1997676,8.0,2,6,0,0,0,8,2,0,0,1.0,0.25
2019,14781,2,1997693,12.0,6,3,3,0,0,7,4,1,0,0.75,0.5714285714285714
2019,14781,2,1997696,151.0,123,26,2,0,0,0,0,15,0,0.9867549668874173,
2019,14781,2,1997697,121.0,116,4,1,0,0,0,0,7,0,0.9917355371900827,
2019,14781,2,1997698,272.0,108,152,12,0,0,0,0,33,0,0.9558823529411765,
2019,14781,2,1997699,78.0,75,2,1,0,0,0,0,0,0,0.9871794871794872,
2019,14781,2,1997701,0.0,0,0,0,0,0,0,0,0,0,,
2019,14781,2,1997702,13.0,4,7,2,0,0,3,2,2,0,0.8461538461538461,0.6666666666666666
2019,14781,2,1997704,0.0,0,0,0,0,0,0,0,0,0,,
2019,14781,2,1997705,12.0,12,0,0,0,2,2,0,0,0,1.0,0.0
2019,14781,2,1997706,8.0,2,4,2,0,0,18,2,1,0,0.75,0.1111111111111111
2019,14781,2,1997707,5.0,2,2,1,0,0,5,2,0,0,0.8,0.4
2019,14781,2,1997709,81.0,29,46,6,0,0,0,0,8,0,0.9259259259259259,
2019,14781,2,1997710,86.0,23,56,7,0,0,0,0,1,0,0.9186046511627907,
2019,14781,2,2133278,4.0,2,2,0,0,0,3,0,0,0,1.0,0.0
2019,14781,2,2133281,0.0,0,0,0,0,0,1,0,0,0,,0.0
2019,14781,2,2133283,8.0,6,2,0,0,0,0,0,1,0,1.0,
2019,14781,2,2133293,0.0,0,0,0,0,0,0,0,0,0,,
2019,14781,2,2133294,0.0,0,0,0,0,0,0,0,0,0,,
2019,14781,2,2133295,15.0,15,0,0,0,0,0,0,0,0,1.0,
2019,14781,2,2133297,8.0,4,3,1,0,0,0,2,0,0,0.875,
2019,14781,2,2133302,177.0,67,102,8,0,0,0,0,25,0,0.9548022598870056,
