season,season_id,school_id,stats_player_seq,division,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2023,16340,2,1997675,1.0,3.0,1,2,0,0,0,2,0,0,0,1.0,0.0
2023,16340,2,2136723,1.0,4.0,1,3,0,0,0,6,1,0,0,1.0,0.16666666666666666
2023,16340,2,2309437,1.0,122.0,116,5,1,0,0,0,0,2,0,0.9918032786885246,
2023,16340,2,2347974,1.0,17.0,17,0,0,0,0,0,0,0,0,1.0,
2023,16340,2,2347976,1.0,8.0,3,5,0,0,0,8,2,0,0,1.0,0.25
2023,16340,2,2347980,1.0,9.0,5,4,0,0,0,10,0,0,0,1.0,0.0
2023,16340,2,2494396,1.0,104.0,41,61,2,0,0,0,0,14,0,0.9807692307692307,
2023,16340,2,2494397,1.0,76.0,73,2,1,0,0,0,0,1,0,0.9868421052631579,
2023,16340,2,2494398,1.0,6.0,0,6,0,0,0,5,2,1,0,1.0,0.4
2023,16340,2,2678254,1.0,10.0,4,6,0,0,0,0,0,1,0,1.0,
2023,16340,2,2678258,1.0,1.0,1,0,0,0,0,1,0,0,0,1.0,0.0
2023,16340,2,2678259,1.0,13.0,8,5,0,0,0,10,2,0,0,1.0,0.2
2023,16340,2,2678263,1.0,94.0,88,4,2,0,0,0,0,5,0,0.9787234042553191,
2023,16340,2,2678268,1.0,15.0,4,11,0,0,0,0,0,1,0,1.0,
2023,16340,2,2678272,1.0,1.0,0,1,0,0,0,4,0,1,0,1.0,0.0
2023,16340,2,2678273,1.0,4.0,3,1,0,0,0,1,0,0,0,1.0,0.0
2023,16340,2,2678295,1.0,435.0,408,23,4,1,15,61,8,2,0,0.9908045977011494,0.13114754098360656
2023,16340,2,2826901,1.0,5.0,2,3,0,0,0,6,1,0,0,1.0,0.16666666666666666
2023,16340,2,2826910,1.0,2.0,1,1,0,0,0,0,0,0,0,1.0,
2023,16340,2,2826914,1.0,0.0,0,0,0,0,0,1,0,0,0,,0.0
2023,16340,2,2826927,1.0,7.0,2,4,1,0,0,8,1,0,0,0.8571428571428571,0.125
2023,16340,2,2826933,1.0,111.0,47,59,5,0,0,1,1,3,0,0.954954954954955,1.0
2023,16340,2,2826936,1.0,234.0,81,146,7,0,0,0,0,24,0,0.9700854700854701,
2023,16340,2,2826937,1.0,58.0,57,1,0,0,0,0,0,0,0,1.0,
2023,16340,2,2826939,1.0,142.0,125,16,1,0,0,0,0,10,0,0.9929577464788732,
2023,16340,2,2826941,1.0,293.0,208,79,6,0,0,0,0,27,0,0.9795221843003413,
2023,16340,3,2112590,2.0,4.0,1,0,3,0,0,1,0,0,0,0.25,0.0
2023,16340,3,2112592,2.0,78.0,76,0,2,0,0,0,0,0,0,0.9743589743589743,
2023,16340,3,2112596,2.0,97.0,94,1,2,0,0,0,0,0,0,0.979381443298969,
2023,16340,3,2147319,2.0,2.0,0,2,0,0,0,3,0,1,0,1.0,0.0
2023,16340,3,2331354,2.0,2.0,0,2,0,0,0,1,2,0,0,1.0,2.0
2023,16340,3,2331355,2.0,4.0,0,4,0,0,0,4,2,0,0,1.0,0.5
2023,16340,3,2331356,2.0,11.0,8,2,1,0,0,0,0,0,0,0.9090909090909091,
2023,16340,3,2331358,2.0,0.0,0,0,0,0,0,2,2,0,0,,1.0
2023,16340,3,2331362,2.0,139.0,64,69,6,0,0,0,0,17,0,0.9568345323741008,
2023,16340,3,2331368,2.0,212.0,178,28,6,0,4,23,18,0,0,0.9716981132075472,0.782608695652174
2023,16340,3,2331391,2.0,1.0,0,1,0,0,0,2,0,0,0,1.0,0.0
2023,16340,3,2331403,2.0,2.0,0,2,0,0,0,2,0,0,0,1.0,0.0
2023,16340,3,2331404,2.0,15.0,14,0,1,0,0,1,0,0,0,0.9333333333333333,0.0
2023,16340,3,2359686,2.0,72.0,67,4,1,0,0,0,0,0,0,0.9861111111111112,
2023,16340,3,2459034,2.0,2.0,0,2,0,0,0,2,1,0,0,1.0,0.5
2023,16340,3,2469145,2.0,6.0,0,6,0,0,0,10,1,0,0,1.0,0.1
2023,16340,3,2469148,2.0,272.0,258,10,4,0,0,0,0,17,0,0.9852941176470589,
2023,16340,3,2469157,2.0,2.0,1,1,0,0,0,0,0,0,0,1.0,
2023,16340,3,2469159,2.0,5.0,5,0,0,0,0,0,0,0,0,1.0,
2023,16340,3,2469161,2.0,7.0,0,5,2,0,0,0,0,0,0,0.7142857142857143,
2023,16340,3,2469163,2.0,1.0,1,0,0,0,0,0,0,0,0,1.0,
2023,16340,3,2469166,2.0,27.0,26,0,1,0,0,0,0,0,0,0.9629629629629629,
2023,16340,3,2469169,2.0,35.0,16,17,2,0,0,0,0,1,0,0.9428571428571428,
2023,16340,3,2648604,2.0,29.0,29,0,0,0,0,0,0,0,0,1.0,
2023,16340,3,2648607,2.0,9.0,2,6,1,0,0,8,5,1,0,0.8888888888888888,0.625
2023,16340,3,2648610,2.0,1.0,1,0,0,0,0,2,0,0,0,1.0,0.0
2023,16340,3,2648611,2.0,189.0,169,17,3,0,5,35,8,0,0,0.9841269841269841,0.22857142857142856
2023,16340,3,2648612,2.0,7.0,7,0,0,0,0,0,0,0,0,1.0,
2023,16340,3,2648614,2.0,154.0,58,88,8,0,0,0,0,16,0,0.948051948051948,
2023,16340,3,2648615,2.0,10.0,2,7,1,0,0,8,4,0,0,0.9,0.5
2023,16340,3,2664612,2.0,2.0,1,1,0,0,0,2,0,1,0,1.0,0.0
2023,16340,3,2670275,2.0,3.0,0,3,0,0,0,3,1,0,0,1.0,0.3333333333333333
2023,16340,3,2670276,2.0,3.0,0,0,3,0,0,0,0,0,0,0.0,
2023,16340,4,2347649,3.0,113.0,104,7,2,0,0,0,0,6,0,0.9823008849557522,
2023,16340,4,2347651,3.0,5.0,2,3,0,0,0,10,0,0,0,1.0,0.0
2023,16340,4,2347658,3.0,1.0,0,1,0,0,0,2,0,0,0,1.0,0.0
2023,16340,4,2347680,3.0,3.0,1,1,1,0,0,4,0,0,0,0.6666666666666666,0.0
2023,16340,4,2497452,3.0,2.0,1,1,0,0,0,3,0,0,0,1.0,0.0
2023,16340,4,2497456,3.0,61.0,54,3,4,0,0,0,0,0,0,0.9344262295081968,
2023,16340,4,2524809,3.0,36.0,15,20,1,0,0,0,0,1,0,0.9722222222222222,
2023,16340,4,2677584,3.0,62.0,23,35,4,0,0,0,0,4,0,0.9354838709677419,
2023,16340,4,2677596,3.0,15.0,13,1,1,0,0,0,0,0,0,0.9333333333333333,
2023,16340,4,2677609,3.0,12.0,12,0,0,0,0,0,0,0,0,1.0,
2023,16340,4,2677611,3.0,3.0,3,0,0,0,0,0,0,0,0,1.0,
2023,16340,4,2677612,3.0,78.0,62,11,5,0,0,7,1,1,0,0.9358974358974359,0.14285714285714285
2023,16340,4,2677613,3.0,3.0,3,0,0,0,0,0,0,0,0,1.0,
2023,16340,4,2677614,3.0,22.0,22,0,0,0,0,0,0,0,0,1.0,
2023,16340,4,2677616,3.0,96.0,20,68,8,0,0,0,0,4,0,0.9166666666666666,
2023,16340,4,2677618,3.0,53.0,50,2,1,0,5,8,0,1,0,0.9811320754716981,0.0
2023,16340,4,2677620,3.0,188.0,175,13,0,0,9,36,6,0,0,1.0,0.16666666666666666
2023,16340,4,2677621,3.0,1.0,0,1,0,0,0,0,0,0,0,1.0,
2023,16340,4,2677633,3.0,67.0,26,38,3,0,0,0,0,4,0,0.9552238805970149,
2023,16340,4,2677664,3.0,13.0,1,8,4,0,0,15,2,0,0,0.6923076923076923,0.13333333333333333
2023,16340,4,2677684,3.0,3.0,1,2,0,0,0,8,3,0,0,1.0,0.375
2023,16340,5,1981115,1.0,178.0,51,108,19,0,0,0,0,5,0,0.8932584269662921,
2023,16340,5,2308162,1.0,7.0,7,0,0,0,0,0,0,1,0,1.0,
2023,16340,5,2308188,1.0,15.0,2,11,2,0,0,13,1,0,0,0.8666666666666667,0.07692307692307693
