"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"02/26/2022","Hattiesburg, Miss.",NA,"1","top","0-0","Jacksonville St.","Southern Miss.","MANERS grounded out to 3b (3-2 FBBKB)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","top","0-0","Jacksonville St.","Southern Miss.","RAMIREZ grounded out to 2b (0-0)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","top","0-0","Jacksonville St.","Southern Miss.","CROWE struck out looking (2-2 KKBBK)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","bot","0-0","Southern Miss.","Jacksonville St.","G Montenegro flied out to ss (1-2 FBS)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","bot","0-0","Southern Miss.","Jacksonville St.","Dickerson singled through the right side (1-1 BK)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","bot","0-0","Southern Miss.","Jacksonville St.","D. Lynch flied out to cf (1-0 B)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","bot","0-0","Southern Miss.","Jacksonville St.","Sargent struck out (1-2 KBSS)."
"02/26/2022","Hattiesburg, Miss.",NA,"1","bot","0-0","Southern Miss.","Jacksonville St.","H: 1 LOB: 1"
"02/26/2022","Hattiesburg, Miss.",NA,"2","top","0-0","Jacksonville St.","Southern Miss.","STRACHAN grounded out to p (1-1 KB)."
"02/26/2022","Hattiesburg, Miss.",NA,"2","top","0-0","Jacksonville St.","Southern Miss.","NORTON grounded out to 3b (1-0 B)."
"02/26/2022","Hattiesburg, Miss.",NA,"2","top","0-0","Jacksonville St.","Southern Miss.","REEVES grounded out to p (1-2 KKB)."
"02/26/2022","Hattiesburg, Miss.",NA,"2","bot","0-0","Southern Miss.","Jacksonville St.","R. Ewing flied out to cf (3-2 BBBKK)."
"02/26/2022","Hattiesburg, Miss.",NA,"2","bot","0-0","Southern Miss.","Jacksonville St.","Wilks singled to center field (0-0)."
"02/26/2022","Hattiesburg, Miss.",NA,"2","bot","0-0","Southern Miss.","Jacksonville St.","Wilks out at second c to 2b, caught stealing."
"02/26/2022","Hattiesburg, Miss.",NA,"2","bot","0-0","Southern Miss.","Jacksonville St.","McGillis struck out (3-2 BBFFFBS)."
"02/26/2022","Hattiesburg, Miss.",NA,"2","bot","0-0","Southern Miss.","Jacksonville St.","H: 1"
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-0","Jacksonville St.","Southern Miss.","BRYAN grounded out to 3b (1-1 BF)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-0","Jacksonville St.","Southern Miss.","JACKSON singled to right field (3-2 FBFBBF)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-0","Jacksonville St.","Southern Miss.","ALEXANDER singled to right field (1-2 KFB)3a JACKSON advanced to second."
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-0","Jacksonville St.","Southern Miss.","MANERS struck out looking (1-2 FSBK)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-0","Jacksonville St.","Southern Miss.","RAMIREZ grounded out to ss (2-1 BKB)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-1","Jacksonville St.","Southern Miss.","H: 2 LOB: 2"
"02/26/2022","Hattiesburg, Miss.",NA,"3","bot","0-1","Southern Miss.","Jacksonville St.","Paetow homered to left field, RBI (0-1 F)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","bot","0-1","Southern Miss.","Jacksonville St.","R.Montenegro grounded out to 1b unassisted (3-2 BKFBB)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","bot","0-1","Southern Miss.","Jacksonville St.","G Montenegro out at first 1b to p (0-1 K)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","bot","0-1","Southern Miss.","Jacksonville St.","Dickerson flied out to cf (1-0 B)."
"02/26/2022","Hattiesburg, Miss.",NA,"3","top","0-1","Jacksonville St.","Southern Miss.","R: 1 H: 1"
"02/26/2022","Hattiesburg, Miss.",NA,"4","top","0-1","Jacksonville St.","Southern Miss.","CROWE flied out to 3b (1-0 B)."
"02/26/2022","Hattiesburg, Miss.",NA,"4","top","0-1","Jacksonville St.","Southern Miss.","STRACHAN singled to left field (0-1 K)."
