"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"02/14/2020","Natchitoches, La.",NA,"1","top","0-0","Wichita St.","Northwestern St.","Sigrist struck out swinging (1-2 BKKS)."
"02/14/2020","Natchitoches, La.",NA,"1","top","0-0","Wichita St.","Northwestern St.","Jackson grounded out to 2b (1-2 KSBF)."
"02/14/2020","Natchitoches, La.",NA,"1","top","0-0","Wichita St.","Northwestern St.","Cadena flied out to rf (1-1 BK)."
"02/14/2020","Natchitoches, La.",NA,"1","bot","0-0","Northwestern St.","Wichita St.","Sibley, C. walked (3-0 BBBB)."
"02/14/2020","Natchitoches, La.",NA,"1","bot","0-0","Northwestern St.","Wichita St.","Elkins, J. walked (3-0 BBBB)3a Sibley, C. advanced to second."
"02/14/2020","Natchitoches, La.",NA,"1","bot","0-0","Northwestern St.","Wichita St.","Kunert, L. struck out looking (1-2 BKSK)."
"02/14/2020","Natchitoches, La.",NA,"1","bot","0-0","Northwestern St.","Wichita St.","Smith, T. struck out swinging (0-2 SKS)."
"02/14/2020","Natchitoches, La.",NA,"1","bot","0-0","Northwestern St.","Wichita St.","Skinner, M. struck out swinging (0-2 FFS)."
"02/14/2020","Natchitoches, La.",NA,"2","top","0-0","Wichita St.","Northwestern St.","Kocis struck out looking (0-2 KFK)."
"02/14/2020","Natchitoches, La.",NA,"2","top","0-0","Wichita St.","Northwestern St.","Katzfey flied out to lf (0-1 F)."
"02/14/2020","Natchitoches, La.",NA,"2","top","0-0","Wichita St.","Northwestern St.","Gibson struck out swinging (1-2 KFBS)."
"02/14/2020","Natchitoches, La.",NA,"2","bot","0-0","Northwestern St.","Wichita St.","Brown, Hi. walked (3-2 BBSKBB)."
"02/14/2020","Natchitoches, La.",NA,"2","bot","0-0","Northwestern St.","Wichita St.","Stuart, D. struck out swinging (3-2 BBBKSS)."
"02/14/2020","Natchitoches, La.",NA,"2","bot","0-0","Northwestern St.","Wichita St.","Brown, Hi. advanced to second on a wild pitch."
"02/14/2020","Natchitoches, La.",NA,"2","bot","0-0","Northwestern St.","Wichita St.","Davis, P. struck out swinging (2-2 KKBBS)."
"02/14/2020","Natchitoches, La.",NA,"2","bot","0-0","Northwestern St.","Wichita St.","Fontenot, L. struck out swinging (3-2 BKKBBS)."
"02/14/2020","Natchitoches, La.",NA,"3","top","0-0","Wichita St.","Northwestern St.","Clemons singled to shortstop (0-0)."
"02/14/2020","Natchitoches, La.",NA,"3","top","0-0","Wichita St.","Northwestern St.","Shaver struck out swinging (2-2 KBBFS)."
"02/14/2020","Natchitoches, La.",NA,"3","top","0-0","Wichita St.","Northwestern St.","Cornblum flied out to cf (1-0 B)."
"02/14/2020","Natchitoches, La.",NA,"3","top","0-0","Wichita St.","Northwestern St.","Sigrist flied out to rf (0-0)."
"02/14/2020","Natchitoches, La.",NA,"3","bot","0-0","Northwestern St.","Wichita St.","Sibley, C. flied out to rf (0-0)."
"02/14/2020","Natchitoches, La.",NA,"3","bot","0-0","Northwestern St.","Wichita St.","Elkins, J. walked (3-2 KSBBBB)."
"02/14/2020","Natchitoches, La.",NA,"3","bot","0-0","Northwestern St.","Wichita St.","Kunert, L. struck out swinging (2-2 BBSFS)."
"02/14/2020","Natchitoches, La.",NA,"3","bot","0-0","Northwestern St.","Wichita St.","Smith, T. hit by pitch (1-1 FB)3a Elkins, J. advanced to second."
"02/14/2020","Natchitoches, La.",NA,"3","bot","0-0","Northwestern St.","Wichita St.","Skinner, M. struck out swinging (0-2 FKS)."
"02/14/2020","Natchitoches, La.",NA,"4","top","0-0","Wichita St.","Northwestern St.","Jackson grounded out to ss (1-2 FBF)."
"02/14/2020","Natchitoches, La.",NA,"4","top","0-0","Wichita St.","Northwestern St.","Cadena flied out to rf (1-0 B)."
"02/14/2020","Natchitoches, La.",NA,"4","top","0-0","Wichita St.","Northwestern St.","Kocis fouled out to c (2-0 BB)."
"02/14/2020","Natchitoches, La.",NA,"4","bot","0-0","Northwestern St.","Wichita St.","Brown, Hi. struck out looking (3-2 SBBBKK)."
"02/14/2020","Natchitoches, La.",NA,"4","bot","0-0","Northwestern St.","Wichita St.","Stuart, D. struck out looking (3-2 KBBBFK)."
"02/14/2020","Natchitoches, La.",NA,"4","bot","0-0","Northwestern St.","Wichita St.","Davis, P. struck out swinging (2-2 KBFBS)."
"02/14/2020","Natchitoches, La.",NA,"5","top","0-0","Wichita St.","Northwestern St.","Katzfey flied out to cf (0-0)."
"02/14/2020","Natchitoches, La.",NA,"5","top","0-0","Wichita St.","Northwestern St.","Gibson grounded out to ss (2-2 KBFB)."
"02/14/2020","Natchitoches, La.",NA,"5","top","0-0","Wichita St.","Northwestern St.","Clemons struck out swinging (1-2 SKBFS)."
"02/14/2020","Natchitoches, La.",NA,"5","bot","0-0","Northwestern St.","Wichita St.","Fontenot, L. struck out looking (0-2 FSFK)."
"02/14/2020","Natchitoches, La.",NA,"5","bot","0-0","Northwestern St.","Wichita St.","Sibley, C. struck out swinging (1-2 FSFBS)."
"02/14/2020","Natchitoches, La.",NA,"5","bot","0-0","Northwestern St.","Wichita St.","Elkins, J. lined out to 2b (2-1 KBB)."
"02/14/2020","Natchitoches, La.",NA,"6","top","0-0","Wichita St.","Northwestern St.","Shaver struck out swinging (1-2 BFKFS)."
"02/14/2020","Natchitoches, La.",NA,"6","top","0-0","Wichita St.","Northwestern St.","Cornblum struck out swinging (2-2 BKFBS)."
"02/14/2020","Natchitoches, La.",NA,"6","top","0-0","Wichita St.","Northwestern St.","Sigrist walked (3-2 BBFBFFB)."
"02/14/2020","Natchitoches, La.",NA,"6","top","0-0","Wichita St.","Northwestern St.","Sigrist out at second c to ss, caught stealing."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-0","Northwestern St.","Wichita St.","Kunert, L. walked (3-1 BBBKB)."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-0","Northwestern St.","Wichita St.","Haase to p for Hamilton."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-0","Northwestern St.","Wichita St.","Smith, T. singled through the right side (1-0 B)3a Kunert, L. advanced to third."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-3","Northwestern St.","Wichita St.","Skinner, M. homered to right field, 3 RBI (0-0)3a Smith, T. scored3a Kunert, L. scored."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-3","Northwestern St.","Wichita St.","Brown, Hi. flied out to lf (3-1 FBBB)."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-3","Northwestern St.","Wichita St.","Stuart, D. walked (3-2 FBBSFBFB)."
"02/14/2020","Natchitoches, La.",NA,"6","bot","0-3","Northwestern St.","Wichita St.","Davis, P. singled through the left side (0-0)3a Stuart, D. advanced to second."
