"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-0","Kansas St.","Nebraska","Johnson, D. singled to second base (0-2 KS)."
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-0","Kansas St.","Nebraska","Johnson, D. stole second."
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-0","Kansas St.","Nebraska","Day, B. struck out swinging (2-2 BSBFS)."
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-0","Kansas St.","Nebraska","Nicoloff, J. grounded out to 3b (3-1 KBBB)."
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-0","Kansas St.","Nebraska","Phillips, D. popped up to 2b (0-1 K)."
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-2","Kansas St.","Nebraska","H: 1 LOB: 1"
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-0","Nebraska","Kansas St.","Chick, C. hit by pitch (1-1 BK)."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-0","Nebraska","Kansas St.","Anglim, G. struck out swinging (1-2 BKSS)."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-0","Nebraska","Kansas St.","Chick, C. stole second."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-0","Nebraska","Kansas St.","Everitt, G. walked (3-2 BBKBSB)."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-0","Nebraska","Kansas St.","Everitt, G. stole second3a Chick, C. stole third."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Anderson, M. singled to left field, 2 RBI (0-1 K)3a Everitt, G. scored3a Chick, C. scored."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Anderson, M. stole second."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Anderson, M. stole third."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Banjoff, L. struck out swinging (3-2 SBBSBS)."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Matthews, B. walked (3-2 BBBKSFB)."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Matthews, B. stole second."
"04/26/2022","Lincoln, Neb.",NA,"1","bot","0-2","Nebraska","Kansas St.","Swansen, G. struck out swinging (1-2 SFBS)."
"04/26/2022","Lincoln, Neb.",NA,"1","top","0-2","Kansas St.","Nebraska","R: 2 H: 1 LOB: 2"
"04/26/2022","Lincoln, Neb.",NA,"2","top","0-2","Kansas St.","Nebraska","Goodwin, N. struck out swinging (3-2 KFBBFBS)."
"04/26/2022","Lincoln, Neb.",NA,"2","top","0-2","Kansas St.","Nebraska","Heinrich, J. struck out swinging (2-2 SKBBS)."
"04/26/2022","Lincoln, Neb.",NA,"2","top","0-2","Kansas St.","Nebraska","Johnson, C. flied out to rf (0-2 KSF)."
"04/26/2022","Lincoln, Neb.",NA,"2","bot","0-2","Nebraska","Kansas St.","Jackson, C. struck out swinging (0-2 KFS)."
"04/26/2022","Lincoln, Neb.",NA,"2","bot","0-2","Nebraska","Kansas St.","Cervantes, E walked (3-1 BBKBB)."
"04/26/2022","Lincoln, Neb.",NA,"2","bot","0-2","Nebraska","Kansas St.","Chick, C. struck out looking (1-2 FBKK)."
"04/26/2022","Lincoln, Neb.",NA,"2","bot","0-2","Nebraska","Kansas St.","Anglim, G. hit by pitch (0-1 S)3a Cervantes, E advanced to second."
