"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"04/25/2021","Corpus Christi, TX",NA,"1","top","0-0","Houston Baptist","A&M-Corpus Christi","L. Botkin walked (3-0)."
"04/25/2021","Corpus Christi, TX",NA,"1","top","0-0","Houston Baptist","A&M-Corpus Christi","L. Botkin advanced to second on a throwing error by p, advanced to third."
"04/25/2021","Corpus Christi, TX",NA,"1","top","0-0","Houston Baptist","A&M-Corpus Christi","J. Miller struck out looking (1-2)."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","B. Bales singled to center field, RBI (2-2)3a L. Botkin scored."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","B. Bales interference."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","B. Bales advanced to second, interference."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","B. Bales out at second p to 2b, picked off."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","B. Bena doubled down the lf line (3-1)."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","Shy, C. to p for Johnson, Dy.."
"04/25/2021","Corpus Christi, TX",NA,"1","top","1-0","Houston Baptist","A&M-Corpus Christi","T. Jackson grounded out to 3b (1-2)."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-0","A&M-Corpus Christi","Houston Baptist","Marbach, L. singled to shortstop (2-2)."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-0","A&M-Corpus Christi","Houston Baptist","Burts, I. walked (3-0)3a Marbach, L. advanced to second."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-0","A&M-Corpus Christi","Houston Baptist","Williams, M. lined out to ss (1-1)."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-1","A&M-Corpus Christi","Houston Baptist","Caraway, J. doubled down the rf line, RBI (3-2)3a Burts, I. advanced to third3a Marbach, L. scored."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-3","A&M-Corpus Christi","Houston Baptist","Ryan, B. singled up the middle, 2 RBI (3-1)3a Caraway, J. scored3a Burts, I. scored."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-3","A&M-Corpus Christi","Houston Baptist","Ryan, B. advanced to second on a throwing error by p."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-3","A&M-Corpus Christi","Houston Baptist","Hastings, S. struck out swinging (1-2)."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-3","A&M-Corpus Christi","Houston Baptist","Welch, T. walked (3-0)."
"04/25/2021","Corpus Christi, TX",NA,"1","bot","1-3","A&M-Corpus Christi","Houston Baptist","Fluta, C. grounded out to p (0-1)."
"04/25/2021","Corpus Christi, TX",NA,"2","top","1-3","Houston Baptist","A&M-Corpus Christi","S. Trinidad grounded out to 3b (1-2)."
"04/25/2021","Corpus Christi, TX",NA,"2","top","1-3","Houston Baptist","A&M-Corpus Christi","M. Solomon struck out looking (2-2)."
"04/25/2021","Corpus Christi, TX",NA,"2","top","1-3","Houston Baptist","A&M-Corpus Christi","C. Talbot grounded out to p, bunt (0-1)."
"04/25/2021","Corpus Christi, TX",NA,"2","bot","1-3","A&M-Corpus Christi","Houston Baptist","Rivera, S. out at first 1b to p (1-2)."
"04/25/2021","Corpus Christi, TX",NA,"2","bot","1-3","A&M-Corpus Christi","Houston Baptist","Marbach, L. flied out to rf (0-0)."
"04/25/2021","Corpus Christi, TX",NA,"2","bot","1-3","A&M-Corpus Christi","Houston Baptist","Burts, I. struck out swinging (3-2)."
