"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"02/19/2022","Greenville, N.C.",NA,"1","top","0-0","Bryant","East Carolina","WOODS grounded out to 2b (1-1 KB)."
"02/19/2022","Greenville, N.C.",NA,"1","top","0-0","Bryant","East Carolina","RODRIGUEZ doubled to left center (1-1 KB)."
"02/19/2022","Greenville, N.C.",NA,"1","top","0-0","Bryant","East Carolina","TUCCILLO struck out looking (2-2 BFBFFK)."
"02/19/2022","Greenville, N.C.",NA,"1","top","0-0","Bryant","East Carolina","SMITH, D. struck out looking (0-2 SKK)."
"02/19/2022","Greenville, N.C.",NA,"1","top","0-1","Bryant","East Carolina","H: 1 LOB: 1"
"02/19/2022","Greenville, N.C.",NA,"1","bot","0-0","East Carolina","Bryant","CUNNINGHAM struck out looking (3-2 FSBBFBFK)."
"02/19/2022","Greenville, N.C.",NA,"1","bot","0-0","East Carolina","Bryant","AGNOS, Z. doubled to center field (1-0 B)."
"02/19/2022","Greenville, N.C.",NA,"1","bot","0-0","East Carolina","Bryant","MOYLAN, J. reached on a fielding error by 2b (0-1 S)3a AGNOS, Z. advanced to third."
"02/19/2022","Greenville, N.C.",NA,"1","bot","0-1","East Carolina","Bryant","MAKAREWICZ singled to right field, RBI (2-2 BFBF)3a MOYLAN, J. advanced to second3a AGNOS, Z. scored."
"02/19/2022","Greenville, N.C.",NA,"1","bot","0-1","East Carolina","Bryant","GILES, R. struck out swinging (3-2 BBSBKS)."
"02/19/2022","Greenville, N.C.",NA,"1","bot","0-1","East Carolina","Bryant","WORRELL, B. lined out to ss (0-0)."
"02/19/2022","Greenville, N.C.",NA,"1","top","0-1","Bryant","East Carolina","R: 1 H: 2 E: 1 LOB: 2"
"02/19/2022","Greenville, N.C.",NA,"2","top","0-1","Bryant","East Carolina","LANE struck out swinging, out at first c to 1b (1-2 KFBS)."
"02/19/2022","Greenville, N.C.",NA,"2","top","0-1","Bryant","East Carolina","PHINNEY grounded out to ss (1-1 BK)."
"02/19/2022","Greenville, N.C.",NA,"2","top","0-1","Bryant","East Carolina","DEMARTINIS struck out looking (2-2 BKBFK)."
"02/19/2022","Greenville, N.C.",NA,"2","bot","0-1","East Carolina","Bryant","JNKS-COWART grounded out to 2b (0-0)."
"02/19/2022","Greenville, N.C.",NA,"2","bot","0-1","East Carolina","Bryant","BERINI, J. grounded out to 3b (1-2 KBF)."
"02/19/2022","Greenville, N.C.",NA,"2","bot","0-1","East Carolina","Bryant","NEWTON, B. flied out to rf (2-1 BFB)."
"02/19/2022","Greenville, N.C.",NA,"3","top","0-1","Bryant","East Carolina","DITULLIO struck out swinging (1-2 KKFFBFS)."
"02/19/2022","Greenville, N.C.",NA,"3","top","0-1","Bryant","East Carolina","ALLEN singled to center field (1-1 KB)."
"02/19/2022","Greenville, N.C.",NA,"3","top","0-1","Bryant","East Carolina","WOODS singled through the right side (0-0)3a ALLEN advanced to second."
"02/19/2022","Greenville, N.C.",NA,"3","top","0-1","Bryant","East Carolina","RODRIGUEZ reached on a fielder's choice (0-0)3a WOODS out at second 1b to ss3a ALLEN advanced to third."
"02/19/2022","Greenville, N.C.",NA,"3","top","1-1","Bryant","East Carolina","TUCCILLO reached on a throwing error by ss (2-2 BBFK)3a RODRIGUEZ advanced to second3a ALLEN scored, unearned."
"02/19/2022","Greenville, N.C.",NA,"3","top","1-1","Bryant","East Carolina","SMITH, D. walked (3-1 BSBBB)3a TUCCILLO advanced to second3a RODRIGUEZ advanced to third."
