"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"03/08/2022","Louisville, Ky.",NA,"1","top","0-0","TCU","Louisville","Nunez struck out looking (3-2 BKBBFFFK)."
"03/08/2022","Louisville, Ky.",NA,"1","top","0-0","TCU","Louisville","Boyers struck out looking (2-2 BKBFK)."
"03/08/2022","Louisville, Ky.",NA,"1","top","0-0","TCU","Louisville","Taylor flied out to lf (0-0)."
"03/08/2022","Louisville, Ky.",NA,"1","bot","0-0","Louisville","TCU","Knapczyk walked (3-0 BBBB)."
"03/08/2022","Louisville, Ky.",NA,"1","bot","0-0","Louisville","TCU","Metzinger grounded out to 3b (1-1 KB)3a Knapczyk advanced to second."
"03/08/2022","Louisville, Ky.",NA,"1","bot","0-0","Louisville","TCU","Masterman flied out to rf (1-0 B)."
"03/08/2022","Louisville, Ky.",NA,"1","bot","0-0","Louisville","TCU","Knapczyk advanced to third on a wild pitch."
"03/08/2022","Louisville, Ky.",NA,"1","bot","0-0","Louisville","TCU","Rushing flied out to cf (3-2 BKBBF)."
"03/08/2022","Louisville, Ky.",NA,"1","bot","0-0","Louisville","TCU","LOB: 1"
"03/08/2022","Louisville, Ky.",NA,"2","top","0-0","TCU","Louisville","Bishop struck out swinging (2-2 KBFFFFBS)."
"03/08/2022","Louisville, Ky.",NA,"2","top","0-0","TCU","Louisville","Sacco popped up to ss (3-2 BKBFFFB)."
"03/08/2022","Louisville, Ky.",NA,"2","top","0-0","TCU","Louisville","Byrne grounded out to 3b (0-1 K)."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-0","Louisville","TCU","J. Payton singled to center field (1-1 BF)."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-0","Louisville","TCU","J. Payton advanced to second on a wild pitch."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-0","Louisville","TCU","Humphrey flied out to lf (2-0 BB)."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-1","Louisville","TCU","Bianco singled up the middle, RBI (1-1 KB)3a J. Payton scored."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-1","Louisville","TCU","Usher singled to center field (1-2 BFF)3a Bianco advanced to second."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-2","Louisville","TCU","Beard singled through the left side, RBI (2-2 FBBSF)3a Usher advanced to second3a Bianco scored."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-2","Louisville","TCU","Knapczyk struck out swinging (1-2 FKBS)."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-2","Louisville","TCU","Metzinger fouled out to c (3-2 BBBKKF)."
"03/08/2022","Louisville, Ky.",NA,"2","bot","0-2","Louisville","TCU","R: 2 H: 4 LOB: 2"
"03/08/2022","Louisville, Ky.",NA,"3","top","0-2","TCU","Louisville","Brown singled to right field (2-1 KBB)."
"03/08/2022","Louisville, Ky.",NA,"3","top","0-2","TCU","Louisville","Teplanszky walked (3-2 BKBKBB)3a Brown advanced to second."
