season,season_id,school_id,division,home_runs_scored,home_runs_allowed,home_G,home_AB,H_x,home_2B,home_3B,home_HR,home_BB,home_K,away_runs_scored,away_runs_allowed,away_G,away_AB,H_y,away_2B,away_3B,away_HR,away_BB,away_K,PF
2022,15860,2,1.0,10098,9044,1258,1035,323,73,6,45,136,271,4998.0,4454.0,748.0,635.0,160.0,33.0,3.0,23.0,76.0,195.0,120.4160995527902
2022,15860,5,1.0,3648,6496,832,729,196,43,6,19,65,157,3776.0,9088.0,928.0,859.0,211.0,24.0,5.0,13.0,110.0,236.0,87.95445847684653
2022,15860,6,1.0,3840,6390,750,599,139,15,8,10,70,191,3240.0,5850.0,660.0,515.0,131.0,18.0,4.0,8.0,66.0,150.0,99.03630363036304
2022,15860,7,1.0,8910,5016,1089,1105,341,66,11,24,167,262,5775.0,6336.0,858.0,904.0,242.0,34.0,4.0,29.0,133.0,205.0,90.59532656262901
2022,15860,8,1.0,7192,5518,1147,963,276,52,6,29,113,212,3193.0,3565.0,651.0,584.0,149.0,28.0,2.0,21.0,64.0,170.0,106.74435903793702
2022,15860,9,1.0,5828,5022,930,758,216,31,4,23,116,179,4650.0,5115.0,806.0,734.0,191.0,32.0,3.0,18.0,80.0,198.0,96.29629629629629
2022,15860,14,1.0,3753,3753,513,476,127,13,4,11,59,120,5562.0,4698.0,756.0,696.0,207.0,46.0,5.0,24.0,94.0,182.0,107.81163434903047
2022,15860,17,1.0,1254,4972,308,420,111,17,4,2,41,99,1760.0,8778.0,572.0,717.0,145.0,23.0,1.0,9.0,56.0,221.0,109.72263644497467
2022,15860,27,1.0,3600,5100,625,724,192,36,8,13,89,140,3000.0,4125.0,700.0,854.0,206.0,44.0,1.0,14.0,84.0,223.0,136.7578947368421
2022,15860,28,1.0,6575,6125,900,1015,312,72,8,38,104,194,2850.0,4575.0,550.0,626.0,176.0,38.0,2.0,15.0,65.0,127.0,104.5267489711934
2022,15860,29,1.0,7946,7018,1189,1258,354,62,19,34,148,324,4234.0,3828.0,667.0,736.0,199.0,39.0,3.0,29.0,93.0,183.0,104.12353044393754
2022,15860,30,1.0,3616,5056,768,764,169,28,3,14,108,193,3808.0,7008.0,800.0,854.0,228.0,36.0,2.0,25.0,101.0,224.0,83.51824457593689
2022,15860,31,1.0,10590,5430,1470,1059,280,64,6,49,180,244,3570.0,3270.0,540.0,406.0,110.0,19.0,0.0,18.0,52.0,114.0,86.03651987110635
2022,15860,32,1.0,5768,5432,896,960,293,62,6,21,99,228,2436.0,5068.0,532.0,586.0,140.0,29.0,4.0,12.0,52.0,158.0,88.61940298507463
2022,15860,37,1.0,9952,6400,1376,1158,330,67,7,31,139,280,4608.0,4096.0,704.0,633.0,156.0,31.0,3.0,14.0,65.0,156.0,96.11833105335157
2022,15860,43,1.0,6360,7230,930,842,242,57,1,18,98,194,4620.0,6660.0,750.0,696.0,186.0,41.0,0.0,16.0,91.0,175.0,97.16026080988333
2022,15860,47,1.0,7227,5214,957,933,290,54,14,42,118,178,6732.0,4026.0,990.0,985.0,276.0,48.0,14.0,27.0,121.0,187.0,119.6319018404908
2022,15860,48,1.0,8470,7805,1120,931,254,60,1,22,149,194,5145.0,7175.0,770.0,696.0,207.0,35.0,4.0,23.0,81.0,139.0,90.8203125
