PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
2,0,2.0,0,0,0,0,0,0,0,02/27/2024,home,16580,1004,Central Ark.,12,True,4,8,-4,loss,4527540,30,2669113,2024,1.0
3,0,3.0,0,0,0,0,0,0,0,03/01/2024,away,16580,669,Missouri St.,9,True,2,8,-6,loss,4527915,30,2669113,2024,1.0
1,0,1.0,0,0,0,0,0,0,0,03/02/2024,away,16580,669,Missouri St.,9,True,14,12,2,win,4528343,30,2669113,2024,1.0
3,0,3.0,0,0,0,0,0,0,0,03/05/2024,away,16580,454,Murray St.,9,True,7,12,-5,loss,4528833,30,2669113,2024,1.0
3,0,4.0,1,0,0,0,0,0,0,02/16/2024,away,16580,228,Florida A&M,9,True,5,6,-1,loss,4525657,201,2798840,2024,1.0
1,0,1.0,0,0,0,0,0,0,0,02/18/2024,away,16580,228,Florida A&M,9,True,0,4,-4,loss,4525954,201,2798840,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,02/23/2024,away,16580,483,Nicholls,9,True,6,9,-3,loss,4526554,201,2798840,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,03/02/2024,away,16580,488,N.C. A&T,9,True,3,10,-7,loss,4527803,201,2798840,2024,1.0
3,2,5.0,0,0,0,0,0,1,0,02/16/2024,home,16580,505,Northern Ky.,9,True,4,15,-11,loss,4525518,695,2469801,2024,1.0
1,5,6.0,0,0,0,0,0,1,0,02/16/2024,home,16580,30024,Utah Valley,9,True,10,6,4,win,4525630,101,2330285,2024,1.0
2,2,4.0,0,0,0,0,0,0,0,02/17/2024,home,16580,30024,Utah Valley,9,True,5,6,-1,loss,4525999,101,2330285,2024,1.0
1,1,2.0,0,0,0,0,0,0,0,02/18/2024,home,16580,30024,Utah Valley,9,True,6,10,-4,loss,4526253,101,2330285,2024,1.0
4,5,10.0,1,0,0,0,0,2,0,02/23/2024,away,16580,30095,Utah Tech,9,True,14,5,9,win,4526754,101,2330285,2024,1.0
1,2,3.0,0,0,0,0,0,1,0,02/24/2024,away,16580,30095,Utah Tech,9,True,7,1,6,win,4527129,101,2330285,2024,1.0
3,4,7.0,0,0,0,0,0,0,0,02/27/2024,home,16580,627,San Diego,9,True,7,4,3,win,4527524,101,2330285,2024,1.0
2,2,4.0,0,0,0,0,0,0,0,02/29/2024,home,16580,466,Nevada,9,True,6,4,2,win,5250451,101,2330285,2024,1.0
1,3,4.0,0,0,0,0,0,1,0,03/01/2024,home,16580,466,Nevada,9,True,16,1,15,win,4527776,101,2330285,2024,1.0
1,0,1.0,0,0,0,0,0,0,0,03/03/2024,home,16580,466,Nevada,10,True,6,5,1,win,4528051,101,2330285,2024,1.0
0,2,2.0,0,0,0,0,0,0,0,03/07/2024,away,16580,528,Oregon St.,9,True,2,9,-7,loss,4529148,101,2330285,2024,1.0
9,0,9.0,0,0,0,1,0,0,0,02/24/2024,neutral,16580,236,Fordham,9,True,16,2,14,win,4527039,380,2661229,2024,1.0
2,0,2.0,0,0,0,3,0,0,0,02/25/2024,neutral,16580,725,Army West Point,9,True,2,8,-6,loss,4527286,380,2661229,2024,1.0
7,0,7.0,0,0,0,0,0,0,0,03/02/2024,away,16580,792,Winthrop,9,True,3,10,-7,loss,5250482,380,2661229,2024,1.0
5,0,5.0,0,0,0,1,0,0,0,03/03/2024,away,16580,792,Winthrop,9,True,4,15,-11,loss,4528422,380,2661229,2024,1.0
8,3,11.0,0,0,0,6,1,0,0,02/18/2024,away,16580,225,Ferrum,9,True,11,20,-9,loss,4526171,30170,2799586,2024,3.0
0,1,1.0,0,0,0,0,1,0,0,02/25/2024,home,16580,539,Penn St.,9,True,9,5,4,win,4491808,674,2822053,2024,1.0
0,0,0.0,0,0,0,1,0,0,0,03/03/2024,away,16580,574,Rice,9,True,4,3,1,win,4528462,674,2822053,2024,1.0
8,0,8.0,0,0,0,1,0,0,0,02/17/2024,home,16580,1179,Linfield,9,True,7,4,3,win,4542633,549,2669675,2024,3.0
5,1,6.0,0,0,3,2,0,0,0,02/24/2024,home,16580,780,Whitman,9,True,3,9,-6,loss,4543513,549,2669675,2024,3.0
