PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,player_id,division
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,home,16340,1461,Wilmington (OH),9,True,12,2,10,win,2390821,21830,2336592,2023,2336592.0,3.0
11,0,11.0,0,0,0,0,0,1,0,02/18/2023,away,16340,10411,USC Upstate,9,True,2,9,-7,loss,2390532,711,2138513,2023,2138513.0,1.0
5,0,5.0,0,0,0,0,0,1,0,02/18/2023,neutral,16340,659,Southern Ill.,9,True,3,4,-1,loss,2390596,711,2138513,2023,2138513.0,1.0
6,0,6.0,0,0,0,0,0,1,0,02/19/2023,away,16340,10411,USC Upstate,9,True,2,10,-8,loss,2390854,711,2138513,2023,2138513.0,1.0
6,1,8.0,1,0,0,0,0,0,0,02/25/2023,away,16340,749,Wake Forest,9,True,1,18,-17,loss,2391983,711,2138513,2023,2138513.0,1.0
12,1,13.0,0,0,0,0,0,2,0,03/04/2023,home,16340,204,Eastern Mich.,9,True,0,9,-9,loss,2392983,711,2138513,2023,2138513.0,1.0
14,3,17.0,0,0,0,0,0,0,0,03/05/2023,home,16340,204,Eastern Mich.,11,True,6,11,-5,loss,2393358,711,2138513,2023,2138513.0,1.0
6,0,6.0,0,0,0,0,0,1,0,03/10/2023,away,16340,488,N.C. A&T,9,True,8,9,-1,loss,2394244,711,2138513,2023,2138513.0,1.0
8,0,8.0,0,0,0,0,0,1,0,03/11/2023,away,16340,488,N.C. A&T,9,True,10,3,7,win,2394550,711,2138513,2023,2138513.0,1.0
5,0,5.0,0,0,0,0,0,0,0,02/25/2023,away,16340,939,Anderson (IN),9,True,8,5,3,win,2391772,30037,2513561,2023,2513561.0,3.0
2,0,2.0,0,0,0,0,0,0,0,02/26/2023,away,16340,939,Anderson (IN),9,True,7,4,3,win,2392139,30037,2513561,2023,2513561.0,3.0
2,0,2.0,0,0,0,0,0,0,0,03/05/2023,neutral,16340,320,John Carroll,9,True,1,8,-7,loss,2393445,30037,2513561,2023,2513561.0,3.0
2,0,2.0,0,0,0,0,0,0,0,03/05/2023,neutral,16340,320,John Carroll,9,True,3,8,-5,loss,2408075,30037,2513561,2023,2513561.0,3.0
4,0,4.0,0,0,0,0,0,0,0,03/07/2023,neutral,16340,265,Grove City,9,True,4,11,-7,loss,2393802,30037,2513561,2023,2513561.0,3.0
4,0,4.0,0,0,0,0,0,0,0,03/08/2023,neutral,16340,1332,Dominican (IL),9,True,13,17,-4,loss,2394005,30037,2513561,2023,2513561.0,3.0
2,0,2.0,0,0,0,0,0,0,0,03/10/2023,neutral,16340,25719,Penn St.-Altoona,9,True,7,0,7,win,2394308,30037,2513561,2023,2513561.0,3.0
2,0,2.0,0,0,0,0,0,0,0,03/10/2023,neutral,16340,25719,Penn St.-Altoona,9,True,7,4,3,win,2408275,30037,2513561,2023,2513561.0,3.0
0,2,3.0,1,0,0,0,0,0,0,02/18/2023,away,16340,196,East Carolina,9,True,5,9,-4,loss,2390411,249,2307997,2023,2307997.0,1.0
2,1,4.0,1,0,0,0,0,0,0,02/18/2023,away,16340,196,East Carolina,9,True,3,11,-8,loss,2390731,249,2307997,2023,2307997.0,1.0
1,2,4.0,1,0,0,0,0,0,0,02/19/2023,away,16340,196,East Carolina,9,True,5,23,-18,loss,2390984,249,2307997,2023,2307997.0,1.0
1,2,3.0,0,0,0,0,0,1,0,02/22/2023,home,16340,393,UMES,9,True,11,9,2,win,2391211,249,2307997,2023,2307997.0,1.0
2,2,5.0,1,0,0,0,0,0,0,02/24/2023,home,16340,220,Fairfield,9,True,9,11,-2,loss,2391435,249,2307997,2023,2307997.0,1.0
2,2,4.0,0,0,0,0,0,0,0,02/26/2023,home,16340,220,Fairfield,9,True,4,2,2,win,2391837,249,2307997,2023,2307997.0,1.0
0,2,2.0,0,0,0,0,0,0,0,02/26/2023,home,16340,220,Fairfield,9,True,2,15,-13,loss,2392158,249,2307997,2023,2307997.0,1.0
2,3,5.0,0,0,0,0,0,0,0,02/28/2023,away,16340,317,James Madison,9,True,8,10,-2,loss,2392402,249,2307997,2023,2307997.0,1.0
2,5,7.0,0,0,0,0,0,1,0,03/03/2023,away,16340,402,McNeese,9,True,0,2,-2,loss,2392674,249,2307997,2023,2307997.0,1.0
2,2,4.0,0,0,0,0,0,0,0,03/04/2023,away,16340,402,McNeese,9,True,0,7,-7,loss,2392951,249,2307997,2023,2307997.0,1.0
0,3,3.0,0,0,0,0,0,0,0,03/05/2023,away,16340,402,McNeese,9,True,6,7,-1,loss,2393390,249,2307997,2023,2307997.0,1.0
1,6,8.0,1,0,0,0,0,1,0,03/07/2023,away,16340,180,Delaware,9,True,10,7,3,win,2393778,249,2307997,2023,2307997.0,1.0
4,2,6.0,0,0,0,0,0,1,0,03/08/2023,home,16340,711,Towson,9,True,11,21,-10,loss,2393984,249,2307997,2023,2307997.0,1.0
3,0,4.0,1,0,0,0,0,0,0,03/10/2023,home,16340,62,Binghamton,9,True,4,7,-3,loss,2394224,249,2307997,2023,2307997.0,1.0
2,5,7.0,0,0,0,0,0,2,0,03/11/2023,home,16340,62,Binghamton,9,True,4,3,1,win,2394536,249,2307997,2023,2307997.0,1.0
1,1,2.0,0,0,0,0,0,0,0,03/12/2023,home,16340,62,Binghamton,9,True,8,17,-9,loss,2394946,249,2307997,2023,2307997.0,1.0
2,1,4.0,1,0,0,0,0,0,0,03/14/2023,away,16340,746,Virginia,9,True,5,20,-15,loss,2395479,249,2307997,2023,2307997.0,1.0
