PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,player_id_x,player_id_y,division
1,0,1.0,0,0,0,0,0,0,0,02/17/2023,neutral,16340,740,VCU,9,True,14,8,6,win,2390330,419,2655205,2023,2655205.0,2655205.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/18/2023,away,16340,149,Coastal Carolina,9,True,3,11,-8,loss,2390498,419,2655205,2023,2655205.0,2655205.0,1.0
3,1,5.0,1,0,0,0,0,0,0,02/19/2023,neutral,16340,220,Fairfield,9,True,9,14,-5,loss,2390897,419,2655205,2023,2655205.0,2655205.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/17/2023,away,16340,678,Stetson,9,True,0,18,-18,loss,2390285,381,2474267,2023,2474267.0,2474267.0,1.0
2,0,2.0,0,0,0,0,0,0,0,02/18/2023,away,16340,678,Stetson,9,True,1,9,-8,loss,2390523,381,2474267,2023,2474267.0,2474267.0,1.0
2,4,6.0,0,0,0,0,0,0,0,02/19/2023,away,16340,678,Stetson,9,True,6,8,-2,loss,2390842,381,2474267,2023,2474267.0,2474267.0,1.0
3,2,5.0,0,0,0,0,0,1,0,02/17/2023,home,16340,659,Southern Ill.,9,True,4,9,-5,loss,2390443,2915,2653674,2023,2653674.0,2653674.0,1.0
1,4,5.0,0,0,0,0,0,1,0,02/18/2023,home,16340,659,Southern Ill.,9,True,8,7,1,win,2390724,2915,2653674,2023,2653674.0,2653674.0,1.0
1,1,2.0,0,0,0,0,0,0,0,02/19/2023,home,16340,659,Southern Ill.,9,True,5,4,1,win,2390971,2915,2653674,2023,2653674.0,2653674.0,1.0
0,2,2.0,0,0,0,0,0,0,0,02/21/2023,home,16340,456,UNC Asheville,9,True,4,0,4,win,2391183,2915,2653674,2023,2653674.0,2653674.0,1.0
0,0,0.0,0,0,0,1,0,0,0,02/17/2023,home,16340,248,George Mason,9,True,2,8,-6,loss,2390478,231,2678397,2023,2678397.0,2678397.0,1.0
10,1,11.0,0,0,0,0,0,2,0,02/17/2023,home,16340,334,Kentucky,9,True,2,0,2,win,2390294,1068,2476316,2023,2476316.0,2476316.0,1.0
10,0,10.0,0,0,0,0,0,0,0,02/18/2023,home,16340,334,Kentucky,9,True,1,5,-4,loss,2390531,1068,2476316,2023,2476316.0,2476316.0,1.0
10,1,11.0,0,0,0,0,0,0,0,02/19/2023,home,16340,334,Kentucky,9,True,0,4,-4,loss,2390853,1068,2476316,2023,2476316.0,2476316.0,1.0
1,2,3.0,0,0,0,0,0,1,0,02/17/2023,home,16340,503,NIU,9,True,16,2,14,win,2390373,527,2334418,2023,2334418.0,2334418.0,1.0
2,2,4.0,0,0,0,0,0,2,0,02/18/2023,home,16340,503,NIU,9,True,8,2,6,win,2390764,527,2334418,2023,2334418.0,2334418.0,1.0
3,3,6.0,0,0,0,0,0,1,0,02/18/2023,home,16340,503,NIU,10,True,3,2,1,win,2408283,527,2334418,2023,2334418.0,2334418.0,1.0
1,0,2.0,1,0,0,0,0,0,0,02/17/2023,away,16340,716,Troy,9,True,7,12,-5,loss,2390462,219,2681040,2023,2681040.0,2681040.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/19/2023,away,16340,716,Troy,9,True,10,11,-1,loss,2391015,219,2681040,2023,2681040.0,2681040.0,1.0
0,1,2.0,1,0,0,1,0,0,0,02/18/2023,neutral,16340,388,Marshall,9,True,4,8,-4,loss,2390584,609,2798263,2023,2798263.0,2798263.0,1.0
0,1,2.0,1,0,0,0,0,0,0,02/19/2023,home,16340,334,Kentucky,9,True,0,4,-4,loss,2390853,1068,2476302,2023,2476302.0,2476302.0,1.0
11,1,12.0,0,0,0,1,1,0,0,02/17/2023,away,16340,254,Georgia St.,9,True,2,12,-10,loss,2390375,140,2460206,2023,2460206.0,2460206.0,1.0
