PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
2,0,2.0,0,0,0,0,0,0,0,02/16/2024,away,16580,610,Saint Mary's (CA),9,True,5,0,5,win,4525618,514,2676930,2024,1.0
1,0,1.0,0,0,0,0,0,0,0,02/29/2024,away,16580,140,Cincinnati,9,True,6,9,-3,loss,5250303,514,2676930,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,03/09/2024,away,16580,536,UTRGV,9,True,11,6,5,win,4529794,514,2676930,2024,1.0
1,0,1.0,0,0,0,0,0,0,0,03/10/2024,away,16580,536,UTRGV,9,True,3,8,-5,loss,4530112,514,2676930,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,03/12/2024,home,16580,0,Rochester Univ. (MI),9,True,20,4,16,win,4530373,514,2676930,2024,1.0
0,0,0.0,0,0,0,3,1,0,0,02/02/2024,neutral,16580,1314,Pittsburg St.,9,True,2,9,-7,loss,4524940,8965,2319872,2024,2.0
1,1,2.0,0,0,0,3,0,0,0,02/10/2024,home,16580,9011,Fort Hays St.,9,True,1,5,-4,loss,4543163,8965,2319872,2024,2.0
0,2,2.0,0,0,0,0,1,0,0,03/09/2024,home,16580,8744,Southwestern Okla.,9,True,2,12,-10,loss,5252572,8965,2319872,2024,2.0
1,0,1.0,0,0,0,2,0,0,0,03/16/2024,away,16580,1289,Ouachita Baptist,9,True,0,13,-13,loss,4530997,8965,2319872,2024,2.0
1,5,6.0,0,0,0,0,0,1,0,02/09/2024,home,16580,21,Alma,9,True,5,4,1,win,5067804,30111,2957303,2024,3.0
2,0,2.0,0,0,0,0,0,0,0,02/09/2024,home,16580,21,Alma,9,True,6,10,-4,loss,4525160,30111,2957303,2024,3.0
1,2,3.0,0,0,0,0,0,0,0,02/10/2024,home,16580,21,Alma,9,True,6,11,-5,loss,4543138,30111,2957303,2024,3.0
1,4,5.0,0,0,0,0,0,0,0,02/17/2024,home,16580,496,North Park,9,True,1,9,-8,loss,4544930,30111,2957303,2024,3.0
2,1,4.0,1,0,0,0,0,0,0,02/23/2024,home,16580,411,Messiah,9,True,6,2,4,win,4526491,30111,2957303,2024,3.0
1,1,4.0,2,0,0,0,0,0,0,02/24/2024,home,16580,411,Messiah,9,True,8,12,-4,loss,4543481,30111,2957303,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,03/02/2024,away,16580,217,Emory,9,True,2,7,-5,loss,4528094,30111,2957303,2024,3.0
0,1,1.0,0,0,0,0,0,1,0,03/04/2024,home,16580,217,Emory,9,True,10,16,-6,loss,4527766,30111,2957303,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,03/06/2024,away,16580,28593,Birmingham-So.,9,True,9,4,5,win,4536365,30111,2957303,2024,3.0
1,3,4.0,0,0,0,0,0,1,0,03/09/2024,home,16580,431,MUW,9,True,14,4,10,win,4529601,30111,2957303,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,03/09/2024,home,16580,431,MUW,9,True,3,13,-10,loss,4543317,30111,2957303,2024,3.0
0,2,2.0,0,0,0,0,0,0,0,03/12/2024,away,16580,2713,Oglethorpe,11,True,3,4,-1,loss,4530522,30111,2957303,2024,3.0
0,0,1.0,1,0,0,0,0,0,0,03/19/2024,home,16580,2713,Oglethorpe,9,True,16,15,1,win,4531950,30111,2957303,2024,3.0
7,2,9.0,0,0,0,0,0,2,0,02/16/2024,away,16580,674,Stanford,9,True,4,0,4,win,4525623,97,2801637,2024,1.0
3,2,5.0,0,0,0,0,0,0,0,02/18/2024,away,16580,674,Stanford,9,True,1,4,-3,loss,4526249,97,2801637,2024,1.0
0,4,4.0,0,0,0,0,0,1,0,02/23/2024,home,16580,96,Fresno St.,9,True,0,8,-8,loss,4526760,97,2801637,2024,1.0
1,2,3.0,0,0,0,0,0,0,0,02/24/2024,home,16580,96,Fresno St.,9,True,5,4,1,win,4527156,97,2801637,2024,1.0
0,3,3.0,0,0,0,0,0,1,0,02/25/2024,home,16580,96,Fresno St.,9,True,1,2,-1,loss,4527424,97,2801637,2024,1.0
4,3,8.0,1,0,0,0,0,1,0,02/27/2024,home,16580,370,LMU (CA),9,True,6,4,2,win,4527574,97,2801637,2024,1.0
2,3,5.0,0,0,0,0,0,2,0,03/02/2024,away,16580,196,East Carolina,11,True,1,2,-1,loss,4528030,97,2801637,2024,1.0
2,0,3.0,1,0,0,0,0,0,0,03/03/2024,neutral,16580,559,Purdue,9,True,3,11,-8,loss,4492425,97,2801637,2024,1.0
1,3,4.0,0,0,0,0,0,1,0,03/05/2024,home,16580,657,Southern California,9,True,5,6,-1,loss,4528841,97,2801637,2024,1.0
1,1,2.0,0,0,0,0,0,0,0,03/08/2024,home,16580,316,Jacksonville,9,True,12,2,10,win,4529287,97,2801637,2024,1.0
0,1,1.0,0,0,0,0,0,0,0,03/09/2024,home,16580,316,Jacksonville,9,True,13,2,11,win,4529633,97,2801637,2024,1.0
0,1,1.0,0,0,0,0,0,0,0,03/13/2024,home,16580,518,Ohio St.,9,True,10,13,-3,loss,4493128,97,2801637,2024,1.0
1,1,3.0,1,0,0,0,0,0,0,03/15/2024,away,16580,112,UC San Diego,9,True,2,1,1,win,4530874,97,2801637,2024,1.0
1,1,2.0,0,0,0,0,0,1,0,03/17/2024,away,16580,112,UC San Diego,9,True,2,4,-2,loss,4531601,97,2801637,2024,1.0
0,2,2.0,0,0,0,0,0,0,0,03/19/2024,home,16580,627,San Diego,9,True,2,7,-5,loss,4531895,97,2801637,2024,1.0
0,0,0.0,0,0,0,1,0,0,0,02/25/2024,home,16580,450,Mount St. Mary's,9,True,9,8,1,win,4527246,575,2826288,2024,1.0
0,1,1.0,0,0,0,1,0,0,0,03/01/2024,home,16580,67,Boston College,9,True,2,7,-5,loss,4527812,575,2826288,2024,1.0
0,0,0.0,0,0,0,1,0,0,0,03/10/2024,home,16580,386,Marist,9,True,1,4,-3,loss,4529569,575,2826288,2024,1.0
0,0,0.0,0,0,0,1,0,0,0,03/16/2024,home,16580,167,Cornell,9,True,3,9,-6,loss,4531165,575,2826288,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,03/01/2024,away,16580,433,Ole Miss,9,True,13,7,6,win,4492953,312,2655131,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,03/05/2024,home,16580,620,St. Thomas (MN),9,True,9,3,6,win,4492956,312,2655131,2024,1.0
3,0,4.0,1,1,0,1,0,0,0,03/08/2024,away,16580,315,Jacksonville St.,9,True,4,5,-1,loss,5252670,312,2655131,2024,1.0
5,0,5.0,0,0,0,0,0,0,0,03/09/2024,away,16580,315,Jacksonville St.,9,True,20,1,19,win,5252665,312,2655131,2024,1.0
3,0,3.0,0,0,0,0,0,0,0,03/15/2024,home,16580,771,Western Ill.,9,True,11,1,10,win,4492961,312,2655131,2024,1.0
1,0,1.0,0,0,0,0,0,0,0,03/16/2024,home,16580,771,Western Ill.,9,True,19,9,10,win,4492963,312,2655131,2024,1.0
8,0,8.0,0,0,0,0,0,0,0,03/19/2024,home,16580,0,Grand View,9,True,25,3,22,win,5254324,312,2655131,2024,1.0
