PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,player_id,division
0,1,1.0,0,0,0,0,0,0,0,02/25/2023,away,16340,505,Northern Ky.,10,True,7,9,-2,loss,2391841,774,2813141,2023,2813141.0,1.0
0,1,1.0,0,0,0,0,0,0,0,03/05/2023,away,16340,488,N.C. A&T,9,True,10,1,9,win,2393388,774,2813141,2023,2813141.0,1.0
1,0,1.0,0,0,0,0,0,0,0,03/11/2023,away,16340,47,Ball St.,9,True,3,15,-12,loss,2423978,774,2813141,2023,2813141.0,1.0
2,4,6.0,0,0,0,0,0,1,0,02/03/2023,home,16340,598,St. Cloud St.,9,True,2,1,1,win,2389673,9012,2667597,2023,2667597.0,2.0
1,2,3.0,0,0,0,0,0,2,0,02/04/2023,home,16340,2755,Southwest Baptist,9,True,12,2,10,win,2389740,9012,2667597,2023,2667597.0,2.0
3,3,7.0,1,0,0,0,0,2,0,02/05/2023,home,16340,598,St. Cloud St.,9,True,11,9,2,win,2389821,9012,2667597,2023,2667597.0,2.0
2,2,4.0,0,0,0,0,0,0,0,02/05/2023,home,16340,2755,Southwest Baptist,9,True,12,2,10,win,2389822,9012,2667597,2023,2667597.0,2.0
1,4,5.0,0,0,0,0,0,0,0,02/09/2023,away,16340,1123,Henderson St.,9,True,4,3,1,win,2389920,9012,2667597,2023,2667597.0,2.0
2,3,5.0,0,0,0,0,0,1,0,02/10/2023,away,16340,181,Delta St.,9,True,6,12,-6,loss,2389936,9012,2667597,2023,2667597.0,2.0
4,1,5.0,0,0,0,0,0,1,0,02/11/2023,away,16340,181,Delta St.,9,True,5,4,1,win,2390030,9012,2667597,2023,2667597.0,2.0
0,3,3.0,0,0,0,0,0,0,0,02/11/2023,away,16340,181,Delta St.,9,True,2,3,-1,loss,2408917,9012,2667597,2023,2667597.0,2.0
2,4,6.0,0,0,0,0,0,2,0,02/14/2023,home,16340,8965,East Central,9,True,20,1,19,win,2390193,9012,2667597,2023,2667597.0,2.0
1,1,2.0,0,0,0,0,0,0,0,02/17/2023,home,16340,30138,McKendree,9,True,12,2,10,win,2390416,9012,2667597,2023,2667597.0,2.0
3,0,3.0,0,0,0,0,0,0,0,02/18/2023,home,16340,30050,Ill. Springfield,9,True,8,10,-2,loss,2390510,9012,2667597,2023,2667597.0,2.0
0,2,2.0,0,0,0,0,0,0,0,02/19/2023,home,16340,383,Minnesota St.,9,True,7,9,-2,loss,2390827,9012,2667597,2023,2667597.0,2.0
1,0,1.0,0,0,0,0,0,0,0,02/21/2023,home,16340,1057,Drury,9,True,13,5,8,win,2391090,9012,2667597,2023,2667597.0,2.0
4,1,5.0,0,0,0,0,0,0,0,02/24/2023,away,16340,1314,Pittsburg St.,9,True,3,8,-5,loss,2421465,9012,2667597,2023,2667597.0,2.0
1,2,3.0,0,0,0,0,0,0,0,02/25/2023,away,16340,1314,Pittsburg St.,9,True,20,16,4,win,2392309,9012,2667597,2023,2667597.0,2.0
1,0,1.0,0,0,0,0,0,1,0,02/26/2023,away,16340,1314,Pittsburg St.,9,True,19,14,5,win,2392034,9012,2667597,2023,2667597.0,2.0
0,1,1.0,0,0,0,2,0,0,0,03/03/2023,home,16340,204,Eastern Mich.,9,True,10,11,-1,loss,2392639,711,2499197,2023,2499197.0,1.0
0,2,2.0,0,0,0,0,0,1,0,03/08/2023,away,16340,249,George Washington,9,True,21,11,10,win,2393984,711,2499197,2023,2499197.0,1.0
2,0,2.0,0,0,0,0,0,0,0,03/07/2023,home,16340,553,Prairie View,9,True,17,4,13,win,2393765,288,2809119,2023,2809119.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/04/2023,neutral,16340,1376,Southern Ark.,9,True,4,5,-1,loss,2389801,507,2663929,2023,2663929.0,2.0
1,0,1.0,0,0,0,0,0,0,0,02/05/2023,neutral,16340,1371,Southeastern Okla.,9,True,5,2,3,win,2389839,507,2663929,2023,2663929.0,2.0
3,0,3.0,0,0,0,0,0,0,0,02/25/2023,away,16340,130,Central Mo.,9,True,5,6,-1,loss,2392220,507,2663929,2023,2663929.0,2.0
0,1,1.0,0,0,0,1,0,0,0,02/04/2023,away,16340,30013,Lee,9,True,3,1,2,win,2408204,280,2303580,2023,2303580.0,2.0
0,0,0.0,0,0,0,2,0,0,0,02/11/2023,neutral,16340,30221,Davenport,9,True,2,5,-3,loss,2390092,280,2303580,2023,2303580.0,2.0
0,1,1.0,0,0,0,1,0,0,0,02/26/2023,neutral,16340,757,Wayne St. (MI),9,True,2,5,-3,loss,2392096,280,2303580,2023,2303580.0,2.0
3,0,3.0,0,0,0,0,0,0,0,02/17/2023,away,16340,26172,A&M-Corpus Christi,9,True,6,11,-5,loss,2390382,702,2475659,2023,2475659.0,1.0
1,0,1.0,0,0,0,0,0,0,0,02/18/2023,away,16340,26172,A&M-Corpus Christi,9,True,1,6,-5,loss,2390746,702,2475659,2023,2475659.0,1.0
