PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,4,4.0,0,0,0,0,0,0,0,03/23/2024,home,16580,507,Northwest Mo. St.,9,True,8,3,5,win,4532840,30180,2952299,2024,2.0
2,0,2.0,0,0,0,0,0,0,0,02/01/2024,away,16580,30028,UT Tyler,9,True,3,9,-6,loss,5015892,30179,2827174,2024,2.0
1,0,1.0,0,0,0,0,0,0,0,02/17/2024,away,16580,1009,Central Okla.,9,True,3,4,-1,loss,4526003,30179,2827174,2024,2.0
0,0,1.0,1,0,0,0,0,0,0,02/25/2024,away,16580,1346,St. Mary's (TX),9,True,12,18,-6,loss,4527412,30179,2827174,2024,2.0
3,0,3.0,0,0,0,0,0,0,0,03/01/2024,home,16580,30177,Lubbock Christian,9,True,6,12,-6,loss,4527980,30179,2827174,2024,2.0
0,0,1.0,1,0,0,0,0,0,0,03/02/2024,home,16580,30177,Lubbock Christian,9,True,4,10,-6,loss,4543550,30179,2827174,2024,2.0
2,0,2.0,0,0,0,0,0,0,0,03/10/2024,away,16580,25,Angelo St.,9,True,1,15,-14,loss,4529964,30179,2827174,2024,2.0
3,0,3.0,0,0,0,0,0,0,0,03/15/2024,home,16580,30090,Tex. A&M Int'l,10,True,6,5,1,win,4531046,30179,2827174,2024,2.0
2,0,2.0,0,0,0,0,0,0,0,03/16/2024,home,16580,30090,Tex. A&M Int'l,9,True,9,1,8,win,4531478,30179,2827174,2024,2.0
3,0,3.0,0,0,0,0,0,0,0,03/16/2024,home,16580,30090,Tex. A&M Int'l,9,True,5,4,1,win,4544997,30179,2827174,2024,2.0
0,1,1.0,0,0,0,0,0,0,0,02/24/2024,neutral,16580,496,North Park,9,True,4,6,-2,loss,4526942,160,2809289,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,03/03/2024,neutral,16580,30114,Penn St.-Abington,9,True,12,11,1,win,4528527,160,2809289,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,02/27/2024,home,16580,573,Rhodes,9,True,9,5,4,win,4527603,30197,2965353,2024,3.0
1,1,2.0,0,0,0,0,0,0,0,03/02/2024,neutral,16580,263,Greensboro,9,True,8,10,-2,loss,4528225,30197,2965353,2024,3.0
0,0,0.0,0,0,0,1,0,0,0,03/07/2024,home,16580,1115,Hanover,9,True,3,5,-2,loss,4529435,30197,2965353,2024,3.0
0,0,0.0,0,0,0,1,0,0,0,03/23/2024,home,16580,396,Maryville (TN),9,True,3,8,-5,loss,4543129,30197,2965353,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,03/26/2024,away,16580,426,Millsaps,9,True,19,6,13,win,4528797,30197,2965353,2024,3.0
0,1,1.0,0,0,0,0,0,0,0,02/18/2024,home,16580,572,Rhode Island,9,True,13,3,10,win,4526176,536,2828521,2024,1.0
0,1,1.0,0,0,0,0,0,0,0,02/24/2024,home,16580,797,Milwaukee,9,True,3,1,2,win,4527166,536,2828521,2024,1.0
0,2,2.0,0,0,0,0,0,0,0,03/01/2024,home,16580,43,Austin Peay,9,True,11,12,-1,loss,4527903,536,2828521,2024,1.0
0,2,2.0,0,0,0,1,0,0,0,03/08/2024,home,16580,514,Oakland,9,True,6,4,2,win,4529498,536,2828521,2024,1.0
1,1,2.0,0,0,0,0,0,0,0,03/15/2024,away,16580,1356,Seattle U,9,True,3,4,-1,loss,4531071,536,2828521,2024,1.0
0,0,0.0,0,0,0,1,0,0,0,03/13/2024,away,16580,591,Saginaw Valley,9,True,4,10,-6,loss,4530665,280,2455619,2024,2.0
1,0,1.0,0,0,0,0,0,0,0,03/12/2024,away,16580,700,Texas Tech,9,True,7,13,-6,loss,4530326,472,2668252,2024,1.0
2,0,2.0,0,0,0,0,0,0,0,03/08/2024,neutral,16580,602,Saint John's (MN),9,True,1,5,-4,loss,4529407,58,2835216,2024,3.0
1,0,1.0,0,0,0,0,0,0,0,03/09/2024,neutral,16580,987,Bluffton,9,True,6,11,-5,loss,5249304,58,2835216,2024,3.0
5,0,5.0,0,0,0,0,0,0,0,03/11/2024,neutral,16580,1315,Pitt.-Bradford,9,True,1,4,-3,loss,5253198,58,2835216,2024,3.0
1,0,1.0,0,0,0,0,0,0,0,03/11/2024,home,16580,1315,Pitt.-Bradford,9,True,5,12,-7,loss,4791244,58,2835216,2024,3.0
3,0,3.0,0,0,0,0,0,0,0,03/15/2024,home,16580,478,SUNY Maritime,9,True,3,7,-4,loss,4531016,58,2835216,2024,3.0
4,0,4.0,0,0,0,0,0,0,0,03/19/2024,home,16580,319,New Jersey City,9,True,6,11,-5,loss,4531984,58,2835216,2024,3.0
8,0,8.0,0,0,0,0,0,0,0,02/16/2024,away,16580,28593,Birmingham-So.,9,True,2,4,-2,loss,4525666,424,2671703,2024,3.0
9,0,9.0,0,0,0,0,0,1,0,02/17/2024,neutral,16580,1062,East Tex. Baptist,9,True,5,6,-1,loss,4525877,424,2671703,2024,3.0
6,0,6.0,0,0,0,0,0,0,0,02/18/2024,neutral,16580,374,Lynchburg,9,True,9,10,-1,loss,4526132,424,2671703,2024,3.0
