PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,player_id,division
0,0,,0,0,0,0,0,0,0,02/15/2013,home,11320,659,Southern Ill.,9,True,4,5,-1,loss,657946,9,1215579,2013,1215579.0,1.0
13,0,,0,0,0,0,0,2,0,02/16/2013,home,11320,659,Southern Ill.,9,True,1,0,1,win,658193,9,1215579,2013,1215579.0,1.0
5,0,,0,0,0,0,0,0,0,02/17/2013,home,11320,659,Southern Ill.,9,True,3,1,2,win,658511,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,02/19/2013,away,11320,315,Jacksonville St.,9,True,0,7,-7,loss,658693,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,02/20/2013,home,11320,315,Jacksonville St.,9,True,4,7,-3,loss,658802,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,02/22/2013,home,11320,812,Xavier,9,True,4,3,1,win,658997,9,1215579,2013,1215579.0,1.0
11,0,,0,0,0,0,0,2,0,02/23/2013,home,11320,812,Xavier,9,True,4,2,2,win,659184,9,1215579,2013,1215579.0,1.0
1,0,,1,0,0,0,0,0,0,02/24/2013,home,11320,812,Xavier,9,True,4,12,-8,loss,659590,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,03/01/2013,away,11320,257,Georgia,9,True,2,14,-12,loss,660158,9,1215579,2013,1215579.0,1.0
5,3,,0,0,0,0,0,0,0,03/02/2013,away,11320,257,Georgia,9,True,2,6,-4,loss,660394,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,03/03/2013,away,11320,257,Georgia,9,True,2,13,-11,loss,660879,9,1215579,2013,1215579.0,1.0
7,0,,0,0,0,0,0,0,0,03/05/2013,home,11320,606,Saint Joseph's,9,True,11,3,8,win,661447,9,1215579,2013,1215579.0,1.0
9,0,,0,0,0,0,0,1,0,03/06/2013,home,11320,606,Saint Joseph's,9,True,2,1,1,win,661619,9,1215579,2013,1215579.0,1.0
12,1,,0,0,0,0,0,1,0,03/08/2013,away,11320,30,Arkansas St.,11,True,1,2,-1,loss,661846,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,03/09/2013,away,11320,30,Arkansas St.,9,True,1,8,-7,loss,662323,9,1215579,2013,1215579.0,1.0
10,1,,0,0,0,0,0,2,0,03/09/2013,away,11320,30,Arkansas St.,9,True,4,2,2,win,662439,9,1215579,2013,1215579.0,1.0
11,0,,0,0,0,0,0,1,0,03/12/2013,away,11320,716,Troy,9,True,9,3,6,win,663163,9,1215579,2013,1215579.0,1.0
11,0,,0,0,0,0,0,0,0,03/15/2013,neutral,11320,735,Valparaiso,9,True,1,0,1,win,664031,9,1215579,2013,1215579.0,1.0
9,1,,1,0,0,0,0,0,0,03/16/2013,neutral,11320,306,Indiana,9,True,3,12,-9,loss,664657,9,1215579,2013,1215579.0,1.0
10,0,,0,0,0,0,0,0,0,03/17/2013,neutral,11320,172,Dartmouth,9,True,0,4,-4,loss,664997,9,1215579,2013,1215579.0,1.0
5,0,,0,0,0,0,0,2,0,03/22/2013,home,11320,128,UCF,9,True,0,8,-8,loss,665578,9,1215579,2013,1215579.0,1.0
8,0,,0,0,0,0,0,1,0,03/23/2013,home,11320,128,UCF,9,True,1,6,-5,loss,665905,9,1215579,2013,1215579.0,1.0
10,1,,1,0,0,0,0,1,0,03/24/2013,home,11320,128,UCF,10,True,10,12,-2,loss,666536,9,1215579,2013,1215579.0,1.0
11,1,,0,0,0,0,0,0,0,03/26/2013,neutral,11320,8,Alabama,9,True,1,0,1,win,667019,9,1215579,2013,1215579.0,1.0
11,0,,0,0,0,0,0,1,0,03/29/2013,away,11320,388,Marshall,9,True,10,6,4,win,667442,9,1215579,2013,1215579.0,1.0
11,1,,0,0,0,0,0,0,0,03/30/2013,away,11320,388,Marshall,9,True,1,3,-2,loss,668330,9,1215579,2013,1215579.0,1.0
9,0,,0,0,0,0,0,0,0,03/30/2013,away,11320,388,Marshall,9,True,12,4,8,win,668517,9,1215579,2013,1215579.0,1.0
8,0,,0,0,0,0,0,1,0,04/03/2013,home,11320,315,Jacksonville St.,9,True,8,2,6,win,669053,9,1215579,2013,1215579.0,1.0
12,0,,0,0,0,0,0,1,0,04/05/2013,home,11320,632,Savannah St.,9,True,12,3,9,win,669444,9,1215579,2013,1215579.0,1.0
14,1,,0,0,0,0,0,0,0,04/06/2013,home,11320,632,Savannah St.,9,True,1,5,-4,loss,669686,9,1215579,2013,1215579.0,1.0
13,1,,0,0,0,0,0,0,0,04/07/2013,home,11320,632,Savannah St.,9,True,7,1,6,win,670506,9,1215579,2013,1215579.0,1.0
7,0,,0,0,0,0,0,0,0,04/09/2013,away,11320,625,Samford,9,True,4,11,-7,loss,670883,9,1215579,2013,1215579.0,1.0
8,2,,1,0,0,0,0,0,0,04/10/2013,away,11320,315,Jacksonville St.,9,True,2,8,-6,loss,671191,9,1215579,2013,1215579.0,1.0
15,1,,0,0,0,0,0,3,0,04/12/2013,home,11320,404,Memphis,9,True,3,6,-3,loss,671498,9,1215579,2013,1215579.0,1.0
10,1,,1,0,0,0,0,2,0,04/13/2013,home,11320,404,Memphis,9,True,1,7,-6,loss,672075,9,1215579,2013,1215579.0,1.0
9,0,,0,0,0,0,0,2,0,04/13/2013,home,11320,404,Memphis,9,True,9,8,1,win,672173,9,1215579,2013,1215579.0,1.0
6,0,,0,0,0,0,0,0,0,04/16/2013,away,11320,8,Alabama,9,True,4,7,-3,loss,672945,9,1215579,2013,1215579.0,1.0
4,0,,0,0,0,0,0,0,0,04/19/2013,home,11320,196,East Carolina,9,True,4,5,-1,loss,673558,9,1215579,2013,1215579.0,1.0
10,1,,0,0,0,0,0,1,0,04/20/2013,home,11320,196,East Carolina,9,True,1,4,-3,loss,673762,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,04/21/2013,home,11320,196,East Carolina,9,True,5,9,-4,loss,674476,9,1215579,2013,1215579.0,1.0
11,0,,0,0,0,0,0,0,0,04/23/2013,away,11320,7,Alabama St.,9,True,1,7,-6,loss,674990,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,04/24/2013,home,11320,7,Alabama St.,9,True,7,0,7,win,675222,9,1215579,2013,1215579.0,1.0
12,0,,0,0,0,0,0,1,0,04/26/2013,away,11320,664,Southern Miss.,9,True,3,13,-10,loss,675554,9,1215579,2013,1215579.0,1.0
4,0,,1,0,0,0,0,1,0,04/27/2013,away,11320,664,Southern Miss.,9,True,6,21,-15,loss,676081,9,1215579,2013,1215579.0,1.0
12,1,,0,0,0,0,0,1,0,04/27/2013,away,11320,664,Southern Miss.,9,True,4,5,-1,loss,676532,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,04/30/2013,home,11320,625,Samford,9,True,3,4,-1,loss,677071,9,1215579,2013,1215579.0,1.0
10,1,,0,0,0,0,0,1,0,05/03/2013,home,11320,574,Rice,9,True,10,9,1,win,677517,9,1215579,2013,1215579.0,1.0
9,0,,0,0,0,0,0,1,0,05/04/2013,home,11320,574,Rice,9,True,4,5,-1,loss,677769,9,1215579,2013,1215579.0,1.0
12,2,,0,0,0,0,0,1,0,05/05/2013,home,11320,574,Rice,9,True,3,7,-4,loss,678227,9,1215579,2013,1215579.0,1.0
8,1,,0,0,0,0,0,0,0,05/10/2013,away,11320,288,Houston,9,True,8,7,1,win,678799,9,1215579,2013,1215579.0,1.0
9,2,,0,0,0,0,0,0,0,05/11/2013,away,11320,288,Houston,9,True,2,11,-9,loss,679006,9,1215579,2013,1215579.0,1.0
12,0,,0,0,0,0,0,1,0,05/12/2013,away,11320,288,Houston,9,True,4,9,-5,loss,679241,9,1215579,2013,1215579.0,1.0
2,0,,0,0,0,0,0,0,0,05/14/2013,home,11320,716,Troy,9,True,6,4,2,win,679444,9,1215579,2013,1215579.0,1.0
7,1,,0,0,0,0,0,0,0,05/16/2013,away,11320,718,Tulane,9,True,3,15,-12,loss,679523,9,1215579,2013,1215579.0,1.0
9,2,,0,0,0,0,0,1,0,05/17/2013,away,11320,718,Tulane,9,True,4,2,2,win,679697,9,1215579,2013,1215579.0,1.0
11,0,,0,0,0,0,0,1,0,05/18/2013,away,11320,718,Tulane,9,True,6,3,3,win,679898,9,1215579,2013,1215579.0,1.0
9,0,,1,0,0,0,0,1,0,05/22/2013,away,11320,574,Rice,9,True,1,3,-2,loss,680166,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,05/23/2013,neutral,11320,404,Memphis,9,True,5,6,-1,loss,680238,9,1215579,2013,1215579.0,1.0
14,1,,0,0,0,0,0,3,0,05/24/2013,neutral,11320,128,UCF,9,True,5,1,4,win,680317,9,1215579,2013,1215579.0,1.0
0,0,,0,0,0,0,0,0,0,02/15/2013,home,11320,72,Bradley,9,True,10,5,5,win,657854,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/16/2013,home,11320,72,Bradley,9,True,10,1,9,win,658112,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/17/2013,home,11320,72,Bradley,9,True,12,2,10,win,658434,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/19/2013,away,11320,404,Memphis,10,True,3,2,1,win,658695,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/23/2013,home,11320,771,Western Ill.,10,True,3,2,1,win,658695,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/23/2013,home,11320,771,Western Ill.,9,True,1,2,-1,loss,659181,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/24/2013,home,11320,771,Western Ill.,9,True,14,6,8,win,659586,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,02/26/2013,away,11320,736,Vanderbilt,9,True,3,7,-4,loss,659922,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/01/2013,away,11320,624,Sam Houston,9,True,5,3,2,win,660161,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/02/2013,away,11320,624,Sam Houston,9,True,1,8,-7,loss,660397,30,1419656,2013,1419656.0,1.0
4,0,,0,0,0,0,0,0,0,03/03/2013,away,11320,624,Sam Houston,9,True,6,11,-5,loss,660882,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/05/2013,home,11320,695,UT Martin,9,True,9,0,9,win,661488,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/08/2013,home,11320,9,UAB,11,True,2,1,1,win,661846,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/09/2013,home,11320,9,UAB,9,True,8,1,7,win,662323,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/09/2013,home,11320,9,UAB,9,True,2,4,-2,loss,662439,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/12/2013,home,11320,669,Missouri St.,11,True,2,6,-4,loss,663238,30,1419656,2013,1419656.0,1.0
2,0,,0,0,0,0,0,0,0,03/13/2013,home,11320,669,Missouri St.,9,True,7,5,2,win,663458,30,1419656,2013,1419656.0,1.0
0,0,,0,0,0,0,0,0,0,03/15/2013,away,11320,32,Little Rock,9,True,6,3,3,win,663742,30,1419656,2013,1419656.0,1.0
