season,season_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B,3B,Bk,HR,WP,HB,IBB,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,CG,pickoffs,PI,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2013,11320,2,122,423.0,456,246,207,140,348,2,1868,1637,81,16,14,38,5,55,4,69,28,27,9,464,377,29,24,9,106,0.0,0.0,2884.0,0.5471698113207547,4.404255319148936,1.408983451536643,9.702127659574469,0.8085106382978724,2.978723404255319,7.404255319148936,2.4857142857142858,5.234042553191489
2013,11320,5,185,458.6666666666667,527,322,255,184,233,0,2154,1797,75,14,24,46,8,93,4,104,43,46,34,485,569,15,37,8,74,0.0,0.0,5676.0,0.28846153846153844,5.003633720930232,1.5501453488372092,10.340843023255813,0.9026162790697674,3.6104651162790695,4.571947674418604,1.266304347826087,6.3183139534883725
2013,11320,6,127,389.3333333333333,572,488,389,269,206,0,2089,1667,121,27,28,56,14,70,0,63,43,31,51,363,537,8,36,2,68,0.0,0.0,2093.0,0.18181818181818182,8.992294520547945,2.1601027397260273,13.222602739726028,1.2945205479452055,6.218321917808219,4.761986301369864,0.7657992565055762,11.28082191780822
2013,11320,7,233,486.6666666666667,469,293,234,227,435,3,2170,1819,88,20,9,56,7,71,1,114,46,37,15,474,443,31,25,7,127,0.0,0.0,6628.0,0.5535714285714286,4.3273972602739725,1.4301369863013698,8.673287671232877,1.0356164383561643,4.197945205479452,8.044520547945206,1.9162995594713657,5.418493150684931
2013,11320,8,203,574.0,545,278,236,259,438,1,2475,2092,95,8,24,52,7,54,14,114,38,46,21,641,499,35,28,21,171,0.0,0.0,7721.0,0.5555555555555556,3.7003484320557494,1.4006968641114983,8.545296167247386,0.8153310104529617,4.060975609756098,6.867595818815331,1.691119691119691,4.358885017421603
2013,11320,9,186,512.3333333333334,543,352,301,225,357,1,2346,1979,117,19,28,47,5,76,20,109,47,44,22,611,472,23,36,10,122,0.0,0.0,4154.0,0.3898305084745763,5.287573194534807,1.4990240728692257,9.538711776187377,0.8256343526350033,3.9525048796356534,6.271307742355237,1.5866666666666667,6.183474300585556
2013,11320,14,138,403.6666666666667,394,275,219,201,319,1,1853,1534,64,12,18,50,3,62,4,68,31,29,27,370,467,23,25,12,106,0.0,0.0,2292.0,0.4791666666666667,4.882741535920726,1.4739884393063583,8.784475639966969,1.1147811725846408,4.481420313790256,7.112303881090008,1.5870646766169154,6.131296449215524
2013,11320,17,164,489.0,609,459,383,345,295,1,2467,1950,98,14,21,71,10,83,4,81,38,51,36,477,578,16,41,8,102,0.0,0.0,3655.0,0.2807017543859649,7.049079754601227,1.950920245398773,11.208588957055214,1.3067484662576687,6.3496932515337425,5.429447852760736,0.855072463768116,8.447852760736197
2013,11320,27,179,478.6666666666667,527,308,257,215,369,2,2196,1876,90,12,33,47,10,58,0,89,32,31,16,584,401,30,24,10,106,0.0,0.0,6761.0,0.5555555555555556,4.832172701949861,1.5501392757660166,9.908774373259053,0.8837047353760445,4.0424791086350975,6.938022284122563,1.716279069767442,5.79108635097493
2013,11320,28,228,542.3333333333334,536,307,254,239,388,2,2426,2021,81,8,12,37,10,79,1,131,49,59,26,635,495,36,22,15,102,0.0,0.0,3632.0,0.6206896551724138,4.215119852489243,1.4290104486785493,8.894898586355255,0.6140135218192992,3.96619545175169,6.438844499078057,1.6234309623430963,5.094652735095267
