season,season_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B,3B,Bk,HR,WP,HB,IBB,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,CG,pickoffs,PI,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2015,12080,2,87,286.0,370,206,161,106,220,1,1342,1170,71,15,15,20,4,28,0,18,8,27,11,281,306,9,25,1,54,0.0,0.0,4474.0,0.2647058823529412,5.066433566433567,1.6643356643356644,11.643356643356643,0.6293706293706294,3.335664335664336,6.923076923076923,2.0754716981132075,6.4825174825174825
2015,12080,3,15,26.666666666666668,47,32,25,10,16,0,139,122,4,3,3,0,1,3,0,7,1,3,1,29,28,1,4,0,6,0.0,0.0,458.0,0.2,8.4375,2.1374999999999997,15.862499999999999,0.0,3.375,5.3999999999999995,1.6,10.799999999999999
2015,12080,4,39,70.66666666666667,79,40,28,28,54,0,324,281,14,2,1,10,0,7,1,18,6,8,0,81,64,6,3,5,21,0.0,0.0,471.0,0.6666666666666666,3.5660377358490565,1.5141509433962264,10.06132075471698,1.2735849056603774,3.5660377358490565,6.877358490566037,1.9285714285714286,5.09433962264151
2015,12080,5,87,214.33333333333334,241,118,94,60,170,0,951,861,45,4,13,19,2,15,1,34,16,10,5,240,193,13,12,13,42,0.0,0.0,2144.0,0.52,3.947122861586314,1.4043545878693624,10.119751166407465,0.7978227060653188,2.519440124416796,7.138413685847588,2.8333333333333335,4.954898911353032
2015,12080,6,105,240.66666666666666,296,202,163,113,204,0,1144,967,49,10,19,18,5,37,1,45,24,16,11,222,244,10,13,0,56,0.0,0.0,1649.0,0.43478260869565216,6.095567867036011,1.6994459833795015,11.069252077562327,0.6731301939058172,4.225761772853185,7.628808864265928,1.8053097345132743,7.554016620498615
2015,12080,7,71,237.66666666666666,280,151,125,91,218,0,1086,945,55,5,14,14,4,20,0,34,15,17,13,242,206,18,9,0,64,0.0,0.0,3174.0,0.6666666666666666,4.733520336605891,1.5610098176718092,10.603085553997195,0.5301542776998598,3.4460028050490887,8.255259467040673,2.3956043956043955,5.718092566619916
2015,12080,8,111,329.6666666666667,293,149,136,143,295,0,1401,1203,54,6,20,30,2,23,3,79,29,25,7,328,300,19,17,8,66,0.0,0.0,4337.0,0.5277777777777778,3.7128412537917086,1.3225480283114257,7.998988877654195,0.8190091001011122,3.903943377148635,8.053589484327603,2.062937062937063,4.067745197168858
2015,12080,9,147,368.3333333333333,337,178,150,153,295,0,1593,1361,48,11,20,19,3,51,16,101,28,18,8,417,310,21,17,14,95,0.0,0.0,5254.0,0.5526315789473685,3.665158371040724,1.3303167420814481,8.234389140271494,0.4642533936651584,3.7384615384615385,7.208144796380091,1.9281045751633987,4.349321266968325
2015,12080,10,33,57.333333333333336,54,25,23,22,63,0,246,213,4,2,4,5,0,4,1,32,14,4,3,46,53,7,2,10,20,0.0,0.0,643.0,0.7777777777777778,3.6104651162790695,1.3255813953488371,8.476744186046512,0.7848837209302326,3.4534883720930227,9.88953488372093,2.8636363636363638,3.9244186046511627
2015,12080,13,97,233.33333333333334,298,248,178,155,160,0,1216,979,75,10,10,26,5,50,3,60,35,12,18,221,287,13,18,1,55,0.0,0.0,447.0,0.41935483870967744,6.865714285714285,1.9414285714285713,11.494285714285715,1.0028571428571427,5.978571428571429,6.171428571428572,1.032258064516129,9.565714285714284
2015,12080,14,23,37.333333333333336,45,27,21,18,22,0,178,147,7,1,0,4,1,5,0,12,6,3,5,43,37,3,2,0,6,0.0,0.0,358.0,0.6,5.0625,1.6875,10.848214285714285,0.9642857142857142,4.3392857142857135,5.303571428571429,1.2222222222222223,6.508928571428571
2015,12080,15,62,155.33333333333334,189,142,95,86,117,0,783,645,39,5,6,19,1,26,0,12,5,15,9,170,148,10,11,8,33,0.0,0.0,55.0,0.47619047619047616,5.504291845493562,1.7703862660944205,10.950643776824032,1.1008583690987124,4.982832618025751,6.778969957081545,1.3604651162790697,8.227467811158798
2015,12080,16,92,166.66666666666666,209,124,99,71,110,0,797,680,32,8,7,21,1,23,0,71,33,8,15,183,174,6,13,6,40,0.0,0.0,1638.0,0.3157894736842105,5.346000000000001,1.6800000000000002,11.286,1.134,3.8340000000000005,5.94,1.5492957746478873,6.696
2015,12080,17,78,228.0,328,308,261,179,169,1,1240,978,52,12,26,34,4,47,0,32,23,10,26,216,260,13,23,3,45,0.0,0.0,1597.0,0.3611111111111111,10.302631578947368,2.223684210526316,12.947368421052632,1.3421052631578947,7.065789473684211,6.671052631578947,0.9441340782122905,12.157894736842104
2015,12080,19,52,158.0,175,124,91,57,117,1,731,636,38,5,8,16,3,23,3,30,12,5,9,190,145,10,7,5,37,0.0,0.0,1798.0,0.5882352941176471,5.1835443037974684,1.4683544303797469,9.968354430379746,0.9113924050632911,3.2468354430379747,6.664556962025316,2.0526315789473686,7.063291139240506
2015,12080,21,30,63.0,86,55,46,23,40,0,308,266,11,7,1,6,1,9,1,7,4,5,5,71,69,3,7,3,12,0.0,0.0,72.0,0.3,6.571428571428571,1.7301587301587302,12.285714285714286,0.8571428571428571,3.2857142857142856,5.7142857142857135,1.7391304347826086,7.857142857142858
2015,12080,22,61,257.6666666666667,261,156,111,86,154,0,1154,1003,42,3,15,29,6,29,2,19,14,21,15,288,284,15,16,4,60,0.0,0.0,2242.0,0.4838709677419355,3.877102199223803,1.3467011642949547,9.116429495472186,1.0129366106080206,3.003880983182406,5.379042690815006,1.7906976744186047,5.448900388098318
2015,12080,24,37,180.0,184,105,87,66,146,0,815,708,32,1,15,13,0,24,3,2,0,12,5,205,160,15,7,1,31,0.0,0.0,220.0,0.6818181818181818,4.35,1.3888888888888888,9.2,0.6499999999999999,3.3,7.3,2.212121212121212,5.25
2015,12080,25,41,150.66666666666666,116,42,31,42,158,0,610,548,25,4,3,10,1,8,0,9,1,10,2,145,126,11,1,3,40,0.0,0.0,1942.0,0.9166666666666666,1.8517699115044248,1.0486725663716814,6.92920353982301,0.5973451327433629,2.508849557522124,9.438053097345133,3.761904761904762,2.508849557522124
2015,12080,26,17,38.0,51,39,29,27,16,0,196,156,13,2,0,1,0,5,0,7,3,4,4,54,37,1,3,0,5,0.0,0.0,92.0,0.25,6.86842105263158,2.0526315789473686,12.078947368421051,0.23684210526315788,6.394736842105263,3.789473684210526,0.5925925925925926,9.23684210526316
