season,season_id,school_id,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2019,14781,2,1.0,773,52.0,26,26,12,0.0,0,463.0,497,342,285,95,14,46,194,5,349,72,9,37,2121,1799,125,53,31,25,461,508,104,0.0,110.82059533386965,0.5,5.539956803455723,98.0,4.5546522995694625,1.4924406047516199,9.660907127429805,0.8941684665226782,3.7710583153347734,6.784017278617711,1.7989690721649485,6.647948164146868
2019,14781,6,1.0,573,51.0,16,34,3,7.0,3,427.0,578,455,373,121,19,48,267,10,271,44,6,52,2191,1821,51,29,26,33,415,528,69,0.0,95.80931263858093,0.32,7.861826697892272,162.0,5.424142084648951,1.9789227166276346,12.182669789227166,1.0117096018735363,5.6276346604215455,5.711943793911008,1.0149812734082397,9.59016393442623
2019,14781,7,1.0,702,54.0,28,26,8,5.0,0,464.0,551,413,330,113,24,42,271,14,412,75,3,59,2277,1869,142,61,29,32,405,505,100,0.0,102.3749472647551,0.5185185185185185,6.400862068965517,124.0,4.685023938803841,1.771551724137931,10.6875,0.8146551724137931,5.256465517241379,7.991379310344828,1.5202952029520296,8.010775862068966
2019,14781,8,1.0,899,56.0,30,26,12,1.0,1,499.0,491,264,237,85,7,46,183,4,469,37,3,36,2178,1922,132,43,16,19,440,530,119,0.0,83.21168213514822,0.5357142857142857,4.274549098196393,99.0,3.6883754694513424,1.3507014028056112,8.85571142284569,0.8296593186372745,3.3006012024048093,8.458917835671343,2.5628415300546448,4.761523046092184
2019,14781,9,1.0,868,56.0,26,29,11,0.0,0,491.0,550,349,296,114,11,36,243,14,390,71,5,88,2289,1917,168,60,27,31,510,482,101,0.0,111.57755192222713,0.4727272727272727,5.425661914460285,95.0,4.330188627335339,1.615071283095723,10.081466395112017,0.659877800407332,4.454175152749491,7.14867617107943,1.6049382716049383,6.397148676171079
2019,14781,14,1.0,755,51.0,28,23,13,2.0,0,426.0,438,289,252,103,12,22,202,9,362,51,2,52,1951,1650,73,31,23,25,431,435,112,0.0,103.18623897874181,0.5490196078431373,5.323943661971831,102.0,3.8006140310816456,1.5023474178403755,9.253521126760564,0.46478873239436624,4.267605633802817,7.647887323943662,1.7920792079207921,6.105633802816902
2019,14781,17,1.0,586,45.0,14,31,6,2.0,0,373.3333333333333,507,448,398,100,25,39,295,8,314,75,14,51,1969,1546,83,39,19,34,338,386,81,0.0,119.50207468879668,0.3111111111111111,9.594642857142857,153.0,5.696200047178225,2.148214285714286,12.22232142857143,0.9401785714285714,7.111607142857143,7.569642857142857,1.064406779661017,10.799999999999999
2019,14781,27,1.0,806,53.0,22,31,10,1.0,1,459.3333333333333,469,330,280,97,12,57,237,6,406,59,7,35,2118,1763,90,45,31,28,412,493,110,0.0,108.63975423443219,0.41509433962264153,5.486211901306241,99.0,4.825757635816002,1.5370101596516692,9.189404934687953,1.1168359941944848,4.643686502177069,7.955007256894049,1.7130801687763713,6.46589259796807
2019,14781,28,1.0,844,57.0,38,19,12,2.0,0,517.0,542,316,283,97,10,52,260,13,485,59,6,49,2366,2004,156,59,22,21,510,486,141,0.0,93.76005721437511,0.6666666666666666,4.9264990328820115,104.0,4.329491356932301,1.551257253384913,9.435203094777563,0.9052224371373307,4.526112185686654,8.44294003868472,1.8653846153846154,5.500967117988394
2019,14781,29,1.0,908,56.0,32,24,9,2.0,1,489.6666666666667,565,404,339,110,17,43,290,30,409,63,4,79,2368,1967,210,84,20,27,451,538,113,0.0,113.88888888888889,0.5714285714285714,6.230769230769231,106.0,4.680857369943955,1.7460857726344452,10.384615384615383,0.7903335602450646,5.330156569094622,7.5173587474472425,1.410344827586207,7.425459496255956
