season,season_id,school_id,division,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HB,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2023,16340,2,1.0,3,0,1,0.0,0,37.0,30,17,17,3,0,5,23,1,40,5,1,5,164,133,9,3,0,3,29,37,15,0.0,1.0,4.135135135135135,1.4324324324324325,7.297297297297297,1.2162162162162162,5.594594594594595,9.72972972972973,1.7391304347826086,4.135135135135135
2023,16340,5,1.0,2,3,1,0.0,0,40.0,45,40,37,10,0,3,29,1,30,6,0,10,199,158,15,7,4,2,34,51,9,0.0,0.4,8.325000000000001,1.85,10.125,0.6749999999999999,6.5249999999999995,6.75,1.0344827586206897,9.0
2023,16340,6,1.0,1,0,0,0.0,0,10.666666666666666,18,22,17,6,3,2,13,0,7,1,1,6,67,51,6,5,2,0,16,8,1,0.0,1.0,14.34375,2.90625,15.1875,1.6875,10.96875,5.90625,0.5384615384615384,18.5625
2023,16340,7,1.0,3,1,1,0.0,0,41.333333333333336,29,24,21,8,2,2,23,0,37,3,1,5,178,151,11,7,0,1,28,53,11,0.0,0.75,4.57258064516129,1.2580645161290323,6.314516129032257,0.43548387096774194,5.008064516129032,8.056451612903226,1.608695652173913,5.225806451612902
2023,16340,8,1.0,5,0,1,0.0,0,41.0,27,9,6,1,0,4,15,0,45,1,0,3,166,148,0,0,1,1,37,37,9,0.0,1.0,1.3170731707317072,1.024390243902439,5.926829268292683,0.8780487804878049,3.292682926829268,9.878048780487806,3.0,1.975609756097561
2023,16340,9,1.0,1,2,1,0.0,0,23.0,29,21,19,7,1,3,12,0,19,7,0,2,112,87,12,5,4,2,23,22,6,0.0,0.3333333333333333,7.434782608695652,1.7826086956521738,11.347826086956522,1.1739130434782608,4.695652173913043,7.434782608695652,1.5833333333333333,8.217391304347826
2023,16340,28,1.0,5,0,2,0.0,0,45.0,38,15,14,10,1,0,19,0,43,9,0,4,199,171,17,5,0,0,45,40,8,0.0,1.0,2.8,1.2666666666666666,7.6,0.0,3.8,8.6,2.263157894736842,3.0
2023,16340,29,1.0,3,2,1,0.0,0,47.0,49,21,20,7,1,2,13,0,44,9,0,2,206,176,9,1,4,4,54,35,12,1.0,0.6,3.8297872340425534,1.3191489361702127,9.382978723404255,0.3829787234042553,2.4893617021276597,8.425531914893618,3.3846153846153846,4.0212765957446805
2023,16340,30,1.0,2,1,0,0.0,0,26.0,22,16,15,5,0,3,9,0,22,5,0,3,112,95,10,3,2,1,26,24,6,0.0,0.6666666666666666,5.192307692307692,1.1923076923076923,7.615384615384615,1.0384615384615385,3.1153846153846154,7.615384615384615,2.4444444444444446,5.538461538461538
2023,16340,31,1.0,1,1,0,0.0,0,18.0,31,25,25,3,0,2,14,0,19,3,1,1,99,79,16,6,1,2,17,15,5,0.0,0.5,12.5,2.5,15.5,1.0,7.0,9.5,1.3571428571428572,12.5
2023,16340,32,1.0,2,1,2,0.0,0,32.0,32,18,17,8,0,6,17,1,35,1,1,6,146,128,1,0,0,0,28,32,6,0.0,0.6666666666666666,4.78125,1.53125,9.0,1.6875,4.78125,9.84375,2.0588235294117645,5.0625
2023,16340,37,1.0,3,1,0,0.0,0,34.0,28,17,16,8,0,2,14,0,36,5,0,1,149,128,17,5,0,2,33,32,14,0.0,0.75,4.235294117647059,1.2352941176470589,7.411764705882352,0.5294117647058824,3.705882352941176,9.529411764705882,2.5714285714285716,4.5
2023,16340,43,1.0,2,2,1,0.0,0,36.0,43,40,33,7,1,7,22,0,40,5,0,6,175,143,17,5,2,3,33,29,13,0.0,0.5,8.25,1.8055555555555556,10.75,1.75,5.5,10.0,1.8181818181818181,10.0
2023,16340,47,1.0,1,3,0,0.0,0,27.0,25,38,36,4,0,2,50,0,33,8,0,11,163,103,14,11,1,1,18,28,12,0.0,0.25,12.0,2.7777777777777777,8.333333333333334,0.6666666666666666,16.666666666666668,11.0,0.66,12.666666666666668
2023,16340,48,1.0,1,3,0,0.0,0,29.333333333333336,40,38,24,14,2,2,21,0,27,4,2,5,152,126,6,6,0,1,17,39,11,0.0,0.25,7.363636363636363,2.0795454545454546,12.272727272727272,0.6136363636363635,6.4431818181818175,8.284090909090908,1.2857142857142858,11.659090909090908
2023,16340,51,1.0,2,2,0,0.0,0,34.666666666666664,31,26,18,8,0,4,22,1,45,3,0,3,158,130,7,4,2,1,30,26,18,1.0,0.5,4.673076923076923,1.528846153846154,8.048076923076923,1.0384615384615385,5.711538461538463,11.682692307692308,2.0454545454545454,6.75
2023,16340,52,1.0,2,0,1,0.0,0,20.0,19,8,8,3,1,2,9,0,25,3,0,4,87,72,5,3,1,2,18,13,4,0.0,1.0,3.6,1.4,8.549999999999999,0.9,4.05,11.25,2.7777777777777777,3.6
2023,16340,61,1.0,2,1,0,0.0,0,31.0,29,19,14,4,1,6,10,0,42,2,0,2,137,120,2,1,2,3,22,28,8,0.0,0.6666666666666666,4.064516129032258,1.2580645161290323,8.419354838709676,1.7419354838709677,2.903225806451613,12.193548387096774,4.2,5.516129032258065
2023,16340,62,1.0,0,1,0,0.0,0,8.0,9,6,6,3,0,1,9,0,4,2,0,1,43,32,1,0,0,0,5,14,1,0.0,0.0,6.75,2.25,10.125,1.125,10.125,4.5,0.4444444444444444,6.75
2023,16340,71,1.0,1,2,0,0.0,0,25.0,23,16,13,8,1,2,17,0,25,4,0,7,117,93,0,0,0,3,16,31,6,0.0,0.3333333333333333,4.68,1.6,8.280000000000001,0.72,6.12,9.0,1.4705882352941178,5.76
2023,16340,72,1.0,1,2,1,0.0,0,25.0,25,21,16,5,0,0,16,0,28,7,0,4,119,93,6,2,1,2,22,17,8,1.0,0.3333333333333333,5.76,1.64,9.0,0.0,5.76,10.080000000000002,1.75,7.56
2023,16340,77,1.0,0,2,0,0.0,0,21.666666666666664,20,14,12,6,0,1,12,0,30,2,0,2,97,80,4,4,2,1,15,14,5,0.0,0.0,4.984615384615385,1.476923076923077,8.307692307692308,0.4153846153846154,4.984615384615385,12.461538461538463,2.5,5.815384615384616
2023,16340,81,1.0,0,1,0,0.0,0,9.333333333333332,11,6,6,2,0,2,6,1,12,2,0,1,43,35,0,0,0,0,6,6,6,0.0,0.0,5.7857142857142865,1.8214285714285716,10.60714285714286,1.9285714285714288,5.7857142857142865,11.571428571428573,2.0,5.7857142857142865
2023,16340,83,1.0,0,3,0,0.0,0,24.0,29,23,22,2,1,4,18,0,17,8,0,5,119,93,4,2,0,0,27,20,6,1.0,0.0,8.25,1.9583333333333333,10.875,1.5,6.75,6.375,0.9444444444444444,8.625
2023,16340,90,1.0,1,1,0,0.0,0,18.0,24,16,16,8,0,3,6,0,29,1,0,1,83,75,4,4,0,1,9,15,6,0.0,0.5,8.0,1.6666666666666667,12.0,1.5,3.0,14.5,4.833333333333333,8.0
2023,16340,94,1.0,3,1,2,0.0,0,36.0,23,10,4,2,0,0,9,0,22,2,1,1,145,128,2,1,4,2,45,36,7,0.0,0.75,1.0,0.8888888888888888,5.75,0.0,2.25,5.5,2.4444444444444446,2.5
