season,season_id,school_id,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2017,12560,2,1.0,34,5.0,2,4,1,0.0,0,61.33333333333333,86,78,63,18,6,4,45,0,48,14,0,7,320,256,20,12,2,3,50,72,12,0.0,104.03726708074534,0.3333333333333333,9.244565217391305,180.0,5.166658957514396,2.1358695652173916,12.619565217391305,0.5869565217391304,6.603260869565218,7.043478260869565,1.0666666666666667,11.445652173913045
2017,12560,6,1.0,164,51.0,11,38,6,5.0,1,431.6666666666667,547,423,322,101,15,28,282,2,306,63,13,56,2194,1790,61,36,30,26,402,505,98,0.0,105.01776814611097,0.22448979591836735,6.713513513513513,130.0,4.821346719810854,1.9204633204633204,11.404633204633205,0.5837837837837838,5.879536679536679,6.379922779922779,1.0851063829787233,8.81930501930502
2017,12560,7,1.0,160,56.0,31,25,9,6.0,1,489.6666666666667,530,301,248,90,16,31,213,15,426,55,7,38,2240,1908,119,39,44,20,452,518,105,0.0,95.06560580681183,0.5535714285714286,4.558202859087815,97.0,3.72316367826498,1.517358747447243,9.741320626276377,0.5697753573859768,3.9149081007488085,7.829816201497617,2.0,5.532334921715453
2017,12560,8,1.0,176,54.0,19,34,9,0.0,0,464.0,487,285,243,78,5,26,250,16,405,33,9,84,2110,1776,129,48,26,22,487,416,99,0.0,90.55532994782828,0.3584905660377358,4.713362068965517,105.0,3.8106806966448303,1.5883620689655173,9.446120689655173,0.5043103448275862,4.849137931034483,7.855603448275861,1.62,5.5280172413793105
2017,12560,9,1.0,179,48.0,21,25,9,1.0,1,409.6666666666667,462,290,264,95,6,42,206,14,309,76,4,65,1926,1595,120,51,34,14,412,430,83,0.0,89.5071351480993,0.45652173913043476,5.799837266069975,130.0,4.887521624228231,1.6305939788445891,10.149715215622455,0.9227013832384052,4.525630593978844,6.788445890968267,1.5,6.371033360455655
2017,12560,14,1.0,191,52.0,26,26,10,1.0,0,430.0,488,291,239,73,16,26,201,7,283,50,5,30,2007,1691,97,46,40,25,443,489,92,0.0,94.6063943562067,0.5,5.0023255813953496,107.0,4.219110929202969,1.6023255813953488,10.213953488372093,0.5441860465116279,4.206976744186046,5.923255813953488,1.407960199004975,6.090697674418605
2017,12560,17,1.0,108,30.0,6,24,6,1.0,1,266.3333333333333,381,240,189,74,10,21,140,7,191,42,1,52,1353,1129,72,42,20,22,257,307,55,0.0,84.22814112397155,0.2,6.386733416770964,150.0,4.638981697896395,1.956195244055069,12.874843554443055,0.7096370463078849,4.730913642052567,6.454317897371715,1.3642857142857143,8.110137672090113
2017,12560,27,1.0,181,55.0,19,36,9,1.0,0,466.6666666666667,545,307,256,84,12,46,192,4,405,49,3,48,2139,1845,118,41,33,20,475,437,101,0.0,132.57088116166113,0.34545454545454546,4.937142857142858,68.0,4.09318069664483,1.5792857142857142,10.510714285714284,0.8871428571428571,3.702857142857143,7.810714285714285,2.109375,5.920714285714285
2017,12560,28,1.0,191,46.0,19,28,10,1.0,0,423.6666666666667,486,307,262,91,13,28,227,10,318,51,4,57,1994,1663,160,61,30,22,455,423,88,0.0,100.93708165997322,0.40425531914893614,5.565696302124311,112.0,4.324695252112965,1.6829268292682926,10.324154209284027,0.5948072383949645,4.822187254130606,6.755310778914241,1.4008810572687225,6.521636506687647
2017,12560,29,1.0,241,59.0,38,21,11,2.0,0,522.0,546,303,253,111,14,27,207,29,444,58,4,50,2349,2016,193,64,44,24,536,509,127,0.0,138.37016082504925,0.6440677966101694,4.362068965517241,55.0,3.492433570208049,1.4425287356321839,9.413793103448276,0.46551724137931033,3.5689655172413794,7.655172413793103,2.1449275362318843,5.224137931034483
2017,12560,30,1.0,144,46.0,18,24,3,0.0,0,379.0,409,289,240,75,10,24,238,7,339,45,7,54,1808,1481,69,40,22,21,347,392,108,0.0,109.76052693483884,0.42857142857142855,5.699208443271768,105.0,4.2725870290986565,1.7071240105540897,9.712401055408971,0.5699208443271768,5.651715039577836,8.050131926121372,1.4243697478991597,6.862796833773087
2017,12560,31,1.0,165,47.0,29,16,9,1.0,1,387.3333333333333,341,178,157,60,3,39,125,2,425,39,5,28,1643,1453,119,36,17,9,322,368,124,0.0,94.75248135133471,0.6444444444444445,3.6480206540447506,78.0,3.3828622801215946,1.2030981067125646,7.9234079173838206,0.9061962134251291,2.9044750430292603,9.875215146299485,3.4,4.135972461273666
2017,12560,32,1.0,276,55.0,21,32,3,1.0,0,481.0,468,291,253,80,9,27,234,10,453,51,8,42,2174,1833,224,78,38,17,484,444,119,0.0,93.89423669116776,0.39622641509433965,4.733887733887734,102.0,3.6218813203454543,1.4594594594594594,8.756756756756758,0.5051975051975053,4.378378378378379,8.476091476091476,1.935897435897436,5.444906444906445
2017,12560,37,1.0,208,60.0,36,24,14,2.0,0,530.6666666666666,518,280,252,100,7,40,167,9,463,43,5,40,2288,2015,131,41,40,21,546,514,110,0.0,110.36407145866507,0.6,4.273869346733669,78.0,3.4202912494086495,1.2908291457286434,8.785175879396986,0.678391959798995,2.8322864321608043,7.852386934673367,2.7724550898203595,4.748743718592966
2017,12560,43,1.0,229,57.0,28,30,11,1.0,1,519.6666666666666,596,415,367,115,8,84,242,13,466,50,4,50,2419,2069,136,63,34,22,481,541,143,0.0,128.346005705511,0.4827586206896552,6.355997434252727,93.0,4.991766328460097,1.6125721616420783,10.322001282873638,1.4547787042976268,4.191148171905068,8.070558050032073,1.9256198347107438,7.1872995509942275
2017,12560,47,1.0,181,58.0,30,28,14,2.0,1,507.6666666666667,501,292,255,67,14,26,259,9,486,59,7,62,2306,1925,128,50,38,24,448,519,139,0.0,118.13904713318028,0.5172413793103449,4.520682862770847,75.0,3.6285155620420726,1.4970453053184505,8.881812212738017,0.4609323703217334,4.591595535128036,8.615889691398555,1.8764478764478765,5.176625082074852
2017,12560,48,1.0,113,29.0,10,16,1,0.0,0,263.3333333333333,325,176,148,64,3,32,77,0,282,20,4,14,1195,1077,39,14,12,9,200,266,95,0.0,118.40811677189542,0.38461538461538464,5.058227848101266,84.0,3.541218671328375,1.5265822784810128,11.107594936708862,1.0936708860759494,2.631645569620253,9.637974683544305,3.6623376623376624,6.015189873417722
2017,12560,51,1.0,209,57.0,32,21,12,0.0,0,477.3333333333333,498,266,233,89,10,43,225,1,410,31,9,18,2108,1810,88,30,16,24,378,536,109,0.0,123.93030351837933,0.6037735849056604,4.393156424581005,68.0,4.060331534633657,1.5146648044692739,9.389664804469273,0.8107541899441342,4.24231843575419,7.730446927374302,1.8222222222222222,5.015363128491621
2017,12560,61,1.0,224,61.0,36,25,14,6.0,1,510.6666666666667,506,307,257,74,4,36,222,2,345,82,2,65,2303,1950,167,66,21,26,489,613,102,0.0,100.04874551971325,0.5901639344262295,4.529373368146214,92.0,4.349355631370679,1.4255874673629243,8.9177545691906,0.6344647519582245,3.912532637075718,6.080287206266319,1.554054054054054,5.410574412532636
2017,12560,62,1.0,145,43.0,30,13,9,2.0,2,370.6666666666667,334,170,144,58,10,28,134,4,275,26,5,21,1598,1405,43,17,24,9,391,405,75,0.0,93.78111695467068,0.6976744186046512,3.4964028776978413,76.0,3.7913461642707293,1.2625899280575539,8.109712230215827,0.6798561151079137,3.253597122302158,6.677158273381295,2.0522388059701493,4.127697841726619
2017,12560,67,1.0,181,52.0,25,27,7,1.0,1,430.0,430,283,254,87,6,38,218,9,320,57,12,43,1941,1613,81,31,26,27,396,488,94,0.0,106.61029015208715,0.4807692307692308,5.316279069767442,101.0,4.577250464086691,1.5069767441860464,9.0,0.7953488372093023,4.562790697674419,6.697674418604651,1.4678899082568808,5.923255813953488
2017,12560,71,1.0,179,49.0,15,32,6,1.0,0,418.6666666666667,482,328,268,100,13,42,212,5,276,47,4,33,1967,1650,126,56,34,24,425,478,77,0.0,96.78190520395074,0.3191489361702128,5.761146496815286,121.0,4.839741206198971,1.6576433121019107,10.361464968152866,0.9028662420382165,4.557324840764331,5.93312101910828,1.3018867924528301,7.050955414012738
2017,12560,72,1.0,140,47.0,19,25,2,3.0,1,382.0,447,316,286,104,8,55,193,4,249,43,6,44,1825,1537,76,43,33,18,342,508,72,0.0,92.24390243902438,0.4318181818181818,6.7382198952879575,148.0,5.419646665231218,1.675392670157068,10.531413612565446,1.2958115183246075,4.547120418848167,5.866492146596858,1.2901554404145077,7.445026178010471
2017,12560,77,1.0,174,36.0,27,18,11,1.0,0,395.3333333333333,427,230,196,72,16,26,153,1,309,33,10,48,1768,1544,121,44,20,18,418,395,96,0.0,138.33906088209253,0.6,4.462057335581788,56.0,3.701384743862368,1.4671163575042159,9.720910623946038,0.5919055649241146,3.483136593591906,7.034569983136594,2.019607843137255,5.236087689713322
2017,12560,80,1.0,114,37.0,13,23,6,7.0,0,304.3333333333333,328,176,146,47,4,31,103,1,243,31,3,21,1348,1190,37,13,16,8,342,280,69,0.0,110.08861622358555,0.3611111111111111,4.31763417305586,79.0,4.046373467729168,1.4162102957283682,9.699890470974807,0.9167579408543265,3.046002190580504,7.186199342825849,2.3592233009708736,5.2048192771084345
2017,12560,81,1.0,160,52.0,23,26,11,4.0,3,387.3333333333333,372,261,206,56,11,23,238,7,332,39,5,49,1796,1478,64,35,22,18,365,399,100,0.0,124.28108617054885,0.46938775510204084,4.7865748709122204,74.0,4.201278803357395,1.57487091222031,8.643717728055078,0.5344234079173839,5.53012048192771,7.714285714285715,1.3949579831932772,6.064543889845095
