season,season_id,school_id,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2018,12973,2,1.0,198,54.0,21,33,3,1.0,0,476.3333333333333,579,362,311,105,11,44,193,4,342,57,5,73,2220,1893,104,57,45,32,532,471,96,0.0,0.3888888888888889,5.8761371588523446,82.0,4.287722614071378,1.6207137858642409,10.939818054583625,0.8313505948215536,3.646606018194542,6.46186144156753,1.7720207253886011,6.839748075577328
2018,12973,6,1.0,159,49.0,12,37,3,5.0,0,407.3333333333333,539,404,340,102,13,46,283,2,228,53,6,66,2069,1676,91,54,26,31,393,517,61,0.0,0.24489795918367346,7.51227495908347,64.0,5.771565022723578,2.0180032733224222,11.909165302782325,1.0163666121112929,6.252864157119476,5.037643207855973,0.8056537102473498,8.926350245499183
2018,12973,7,1.0,112,26.0,17,17,11,2.0,1,303.0,374,229,184,64,6,18,136,5,248,40,3,30,1453,1235,98,50,22,20,314,296,64,0.0,0.5,5.465346534653466,89.0,3.82621222230442,1.683168316831683,11.10891089108911,0.5346534653465347,4.03960396039604,7.366336633663367,1.8235294117647058,6.801980198019803
2018,12973,8,1.0,192,56.0,27,25,5,1.0,1,452.3333333333333,475,250,208,67,4,39,168,1,340,24,6,34,1998,1757,101,39,27,19,451,495,106,0.0,0.5192307692307693,4.138540899042004,117.0,3.8392603215137515,1.421518054532056,9.45099484156227,0.7759764185703758,3.342667649226234,6.764922623434046,2.0238095238095237,4.974207811348563
2018,12973,9,1.0,194,49.0,21,29,10,1.0,0,457.0,444,270,221,76,13,38,194,10,374,80,2,50,2057,1737,156,55,27,19,430,489,115,0.0,0.42,4.352297592997812,111.0,4.1912128361513625,1.3960612691466083,8.74398249452954,0.74835886214442,3.820568927789934,7.365426695842451,1.9278350515463918,5.317286652078774
2018,12973,14,1.0,140,48.0,18,25,5,7.0,1,376.6666666666667,402,247,217,74,10,22,206,8,306,45,6,44,1765,1458,62,28,33,23,394,378,92,0.0,0.4186046511627907,5.184955752212389,93.0,4.081952752109613,1.6141592920353982,9.605309734513273,0.5256637168141592,4.92212389380531,7.311504424778761,1.4854368932038835,5.901769911504425
2018,12973,17,1.0,141,52.0,13,39,4,0.0,0,420.3333333333333,506,471,377,102,18,41,300,1,345,86,8,76,2143,1696,71,50,38,23,379,460,79,0.0,0.25,8.072164948453608,60.0,5.329767732494615,1.9175257731958764,10.834258524980175,0.8778747026169706,6.423473433782712,7.386994448850119,1.15,10.084853291038858
2018,12973,27,1.0,190,54.0,18,36,10,1.0,0,465.6666666666667,483,295,254,79,11,41,217,6,430,64,7,50,2122,1802,108,46,27,12,444,440,120,0.0,0.3333333333333333,4.909090909090908,99.0,4.056413195157611,1.5032211882605582,9.335003579098066,0.7924123120973514,4.193987115246958,8.310665712240516,1.9815668202764978,5.70150322118826
2018,12973,28,1.0,217,55.0,23,32,9,2.0,1,488.0,508,319,258,103,14,27,228,9,432,64,3,55,2239,1895,168,82,30,21,510,455,104,0.0,0.41818181818181815,4.758196721311475,102.0,3.6921768925419354,1.5081967213114753,9.368852459016393,0.4979508196721311,4.204918032786885,7.967213114754098,1.894736842105263,5.883196721311475
2018,12973,29,1.0,243,56.0,33,21,12,1.0,1,499.0,471,245,218,76,14,26,203,26,446,48,2,41,2182,1877,185,56,37,17,475,503,131,0.0,0.6111111111111112,3.9318637274549095,123.0,3.3471220287159227,1.3507014028056112,8.49498997995992,0.468937875751503,3.661322645290581,8.044088176352705,2.1970443349753697,4.4188376753507015
2018,12973,30,1.0,190,52.0,20,32,7,2.0,0,460.0,484,359,308,111,13,41,238,1,363,69,7,65,2146,1776,99,52,31,29,441,492,108,0.0,0.38461538461538464,6.026086956521739,80.0,4.530933129177716,1.5695652173913044,9.469565217391304,0.8021739130434783,4.656521739130435,7.102173913043478,1.5252100840336134,7.023913043478261
2018,12973,31,1.0,240,69.0,48,21,25,0.0,0,603.3333333333334,530,290,238,78,3,57,228,2,619,35,7,64,2561,2240,161,61,39,19,509,592,183,0.0,0.6956521739130435,3.5502762430939225,136.0,3.4323023340780283,1.2563535911602208,7.906077348066298,0.8502762430939226,3.4011049723756903,9.233701657458562,2.7149122807017543,4.3259668508287294
2018,12973,32,1.0,230,56.0,28,28,11,3.0,1,496.0,471,289,254,93,12,47,240,12,471,55,4,42,2218,1874,152,59,27,22,474,470,151,0.0,0.5,4.608870967741935,105.0,4.06525991739651,1.4334677419354838,8.546370967741936,0.8528225806451613,4.35483870967742,8.546370967741936,1.9625,5.243951612903226
2018,12973,37,1.0,206,64.0,43,23,17,3.0,1,564.6666666666666,519,280,247,116,11,54,216,3,581,30,6,33,2415,2131,135,55,21,17,518,529,144,0.0,0.6515151515151515,3.9368358913813464,123.0,3.4406502894877615,1.3016528925619835,8.272136953955137,0.860684769775679,3.442739079102716,9.260330578512397,2.689814814814815,4.462809917355372
2018,12973,43,1.0,190,48.0,29,22,12,0.0,0,439.0,517,353,301,108,2,64,228,14,397,32,4,48,2078,1779,137,55,16,22,391,474,105,0.0,0.5686274509803921,6.170842824601366,79.0,4.811650173844448,1.6970387243735763,10.599088838268793,1.3120728929384966,4.674259681093394,8.138952164009112,1.7412280701754386,7.236902050113895
2018,12973,47,1.0,184,50.0,29,23,6,3.0,1,460.6666666666667,404,268,232,64,8,32,293,6,498,57,3,64,2079,1694,161,57,24,11,403,388,131,0.0,0.5576923076923077,4.532561505065123,107.0,3.968584925566063,1.5130246020260492,7.892908827785818,0.6251808972503617,5.7243125904486245,9.729377713458756,1.6996587030716723,5.23589001447178
2018,12973,48,1.0,227,40.0,15,28,9,0.0,0,399.6666666666667,439,245,214,42,6,57,144,3,401,37,3,41,1803,1583,97,26,27,12,321,420,111,0.0,0.3488372093023256,4.819015846538782,101.0,4.154329437695684,1.4587155963302751,9.885738115095913,1.2835696413678064,3.2427022518765636,9.030025020850708,2.7847222222222223,5.517097581317764
2018,12973,51,1.0,187,42.0,32,17,13,2.0,2,437.3333333333333,388,185,153,68,11,31,158,1,392,26,4,18,1846,1625,75,22,24,12,388,464,109,0.0,0.6530612244897959,3.1486280487804876,154.0,3.339330531086518,1.2484756097560976,7.984756097560975,0.6379573170731708,3.251524390243903,8.067073170731707,2.481012658227848,3.8071646341463414
2018,12973,61,1.0,180,56.0,24,31,5,4.0,2,468.3333333333333,516,317,279,93,14,49,185,1,372,69,4,54,2142,1852,96,41,21,14,431,548,78,0.0,0.43636363636363634,5.361565836298933,90.0,4.346900945981059,1.4967971530249111,9.916014234875446,0.9416370106761566,3.5551601423487544,7.148754448398577,2.0108108108108107,6.091814946619217
2018,12973,62,1.0,153,48.0,17,30,8,3.0,2,391.3333333333333,391,228,196,89,19,20,169,3,315,53,4,32,1738,1470,66,27,34,12,417,365,87,0.0,0.3617021276595745,4.507666098807496,107.0,3.7047128491984553,1.4310051107325383,8.992333901192504,0.4599659284497445,3.8867120954003407,7.244463373083476,1.863905325443787,5.243611584327087
2018,12973,67,1.0,194,49.0,17,31,5,1.0,0,445.6666666666667,440,288,256,78,8,35,248,9,380,55,7,55,2042,1681,115,55,31,27,420,466,99,0.0,0.3541666666666667,5.169783096484667,94.0,4.3035974327775985,1.543754674644727,8.885564697083021,0.7068062827225131,5.008227374719521,7.673896783844428,1.532258064516129,5.81600598354525
2018,12973,71,1.0,185,50.0,11,37,8,0.0,0,423.6666666666667,543,368,316,111,6,40,231,2,294,70,5,35,2066,1690,142,72,39,36,402,481,87,0.0,0.22916666666666666,6.712824547600315,72.0,4.919213497254889,1.8269079464988198,11.535011801730919,0.8497246262785207,4.907159716758457,6.245476003147127,1.2727272727272727,7.817466561762391
2018,12973,72,1.0,173,51.0,32,19,9,0.0,0,439.3333333333333,448,276,238,101,8,40,209,1,379,36,4,41,1979,1697,72,26,20,17,387,484,112,0.0,0.6274509803921569,4.87556904400607,99.0,4.07958391759231,1.4954476479514416,9.177541729893779,0.819423368740516,4.281487101669196,7.764036418816389,1.813397129186603,5.65402124430956
2018,12973,77,1.0,149,33.0,14,21,6,0.0,0,291.3333333333333,338,210,172,75,3,20,151,3,218,43,3,33,1390,1156,113,51,23,17,316,298,70,0.0,0.4,5.31350114416476,91.0,4.34191711087108,1.6784897025171626,10.441647597254006,0.6178489702517163,4.664759725400458,6.7345537757437075,1.4437086092715232,6.4874141876430205
2018,12973,80,1.0,126,37.0,11,22,1,1.0,0,305.0,348,213,182,59,6,37,119,2,196,53,5,28,1409,1202,38,17,12,21,284,378,58,0.0,0.3333333333333333,5.370491803278688,90.0,4.9319309909025915,1.5311475409836066,10.268852459016394,1.0918032786885246,3.5114754098360654,5.783606557377049,1.6470588235294117,6.285245901639344
