season,season_id,school_id,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2023,16340,2,1.0,48,13.0,11,2,1,1.0,1,112.66666666666667,101,68,66,14,2,17,54,1,129,22,2,14,495,409,31,12,4,6,99,89,36,1.0,183.33333333333334,0.8461538461538461,5.272189349112426,15.0,4.828693900666483,1.3757396449704142,8.068047337278106,1.3579881656804733,4.313609467455621,10.30473372781065,2.388888888888889,5.431952662721893
2023,16340,5,1.0,45,13.0,4,9,2,0.0,0,104.0,136,123,111,29,4,15,67,1,71,31,1,16,543,431,40,17,7,7,93,134,23,2.0,,0.3076923076923077,9.60576923076923,,6.469966090015595,1.9519230769230769,11.76923076923077,1.298076923076923,5.798076923076923,6.144230769230769,1.0597014925373134,10.64423076923077
2023,16340,6,1.0,13,4.0,1,3,0,0.0,0,26.666666666666664,38,39,26,11,3,3,22,0,19,7,1,12,151,116,14,7,4,2,31,27,4,0.0,71.35922330097088,0.25,8.775,199.0,6.4334276284771335,2.25,12.825000000000001,1.0125000000000002,7.425000000000001,6.4125000000000005,0.8636363636363636,13.162500000000001
2023,16340,7,1.0,52,13.0,8,4,2,2.0,2,120.66666666666667,117,81,70,23,3,14,61,0,126,11,4,20,549,472,40,19,3,2,76,144,37,1.0,89.32584269662921,0.6666666666666666,5.220994475138121,102.0,4.343372379858349,1.4751381215469612,8.726519337016574,1.0441988950276242,4.5497237569060776,9.397790055248617,2.0655737704918034,6.041436464088398
2023,16340,8,1.0,64,17.0,15,2,5,0.0,0,143.0,125,67,53,20,1,13,63,0,176,15,3,15,626,538,20,14,5,5,116,121,50,1.0,84.16289592760181,0.8823529411764706,3.335664335664336,68.0,3.4900709851204903,1.3146853146853146,7.8671328671328675,0.8181818181818182,3.965034965034965,11.076923076923077,2.7936507936507935,4.216783216783217
2023,16340,9,1.0,49,8.0,1,5,1,0.0,0,64.33333333333333,68,41,38,10,4,5,29,0,50,15,0,9,295,237,32,10,7,7,62,69,16,0.0,77.64705882352942,0.16666666666666666,5.316062176165803,115.0,4.641199649202522,1.5077720207253886,9.512953367875648,0.6994818652849742,4.05699481865285,6.994818652849742,1.7241379310344827,5.735751295336788
2023,16340,28,1.0,65,14.0,7,7,2,0.0,0,116.66666666666667,121,92,78,20,4,13,60,1,107,23,1,12,550,456,37,17,3,8,126,101,25,0.0,90.74074074074075,0.5,6.017142857142858,116.0,4.881999057048562,1.5514285714285714,9.334285714285715,1.0028571428571427,4.628571428571428,8.254285714285714,1.7833333333333334,7.097142857142857
2023,16340,29,1.0,57,14.0,11,3,4,0.0,0,125.0,132,65,58,25,1,8,43,0,118,19,0,7,555,479,25,4,9,5,132,103,31,1.0,126.27551020408163,0.7857142857142857,4.176,54.0,3.5654276284771336,1.4,9.504000000000001,0.5760000000000001,3.0959999999999996,8.495999999999999,2.744186046511628,4.68
2023,16340,30,1.0,56,13.0,6,5,2,0.0,0,106.33333333333333,116,81,69,21,1,12,58,2,115,15,0,15,504,423,39,17,5,3,88,99,35,0.0,92.85714285714286,0.5454545454545454,5.84012539184953,110.0,4.497063992113498,1.6363636363636365,9.81818181818182,1.0156739811912225,4.90909090909091,9.733542319749215,1.9827586206896552,6.855799373040753
2023,16340,31,1.0,42,11.0,9,2,2,1.0,0,95.0,106,63,56,12,1,11,44,0,97,9,3,5,435,372,30,11,3,7,75,100,26,0.0,90.27777777777779,0.8181818181818182,5.3052631578947365,103.0,4.2702697337402915,1.5789473684210527,10.042105263157893,1.0421052631578946,4.168421052631579,9.189473684210526,2.2045454545454546,5.968421052631578
2023,16340,32,1.0,43,13.0,8,4,4,0.0,0,104.66666666666667,95,62,49,17,2,10,67,4,93,5,2,11,475,395,14,6,7,1,108,99,21,0.0,,0.6666666666666666,4.213375796178344,,4.662090048859299,1.5477707006369426,8.168789808917197,0.8598726114649681,5.761146496815286,7.996815286624203,1.3880597014925373,5.3312101910828025
2023,16340,37,1.0,65,15.0,12,3,6,0.0,0,138.66666666666666,133,75,68,27,1,13,61,0,149,15,0,12,620,532,53,23,5,7,121,137,44,1.0,120.9486166007905,0.8,4.413461538461538,62.0,3.847369936169441,1.3990384615384617,8.632211538461538,0.84375,3.959134615384616,9.670673076923077,2.442622950819672,4.867788461538463
2023,16340,43,1.0,76,16.0,6,9,3,0.0,0,130.0,158,122,106,24,6,21,74,1,157,22,3,16,633,524,47,18,7,6,118,93,45,1.0,146.2962962962963,0.4,7.338461538461538,70.0,5.033427628477133,1.7846153846153847,10.938461538461537,1.453846153846154,5.123076923076923,10.869230769230768,2.1216216216216215,8.446153846153846
