season,season_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B,3B,Bk,HR,WP,HB,IBB,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,CG,pickoffs,PI,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2019,14781,2,773,463.0,497,342,285,194,349,0,2121,1799,95,14,9,46,37,72,5,125,53,31,25,461,508,26,26,12,104,0.0,0.0,7787.0,0.5,5.539956803455723,1.4924406047516199,9.660907127429805,0.8941684665226782,3.7710583153347734,6.784017278617711,1.7989690721649485,6.647948164146868
2019,14781,3,677,387.0,331,186,148,192,352,1,1717,1444,45,8,2,19,36,51,3,88,24,16,14,390,353,34,9,16,110,1.0,0.0,2537.0,0.7906976744186046,3.441860465116279,1.351421188630491,7.6976744186046515,0.4418604651162791,4.465116279069767,8.186046511627907,1.8333333333333333,4.325581395348838
2019,14781,4,691,382.0,339,179,143,198,385,0,1699,1433,49,6,3,15,49,34,3,9,5,17,17,375,346,37,9,10,120,3.0,0.0,5782.0,0.8043478260869565,3.3691099476439788,1.405759162303665,7.986910994764398,0.35340314136125656,4.664921465968587,9.070680628272251,1.9444444444444444,4.217277486910995
2019,14781,6,573,427.0,578,455,373,267,271,3,2191,1821,121,19,6,48,52,44,10,51,29,26,33,415,528,16,34,3,69,7.0,0.0,3294.0,0.32,7.861826697892272,1.9789227166276346,12.182669789227166,1.0117096018735363,5.6276346604215455,5.711943793911008,1.0149812734082397,9.59016393442623
2019,14781,7,702,464.0,551,413,330,271,412,0,2277,1869,113,24,3,42,59,75,14,142,61,29,32,405,505,28,26,8,100,5.0,0.0,6033.0,0.5185185185185185,6.400862068965517,1.771551724137931,10.6875,0.8146551724137931,5.256465517241379,7.991379310344828,1.5202952029520296,8.010775862068966
2019,14781,8,899,499.0,491,264,237,183,469,1,2178,1922,85,7,3,46,36,37,4,132,43,16,19,440,530,30,26,12,119,1.0,0.0,7736.0,0.5357142857142857,4.274549098196393,1.3507014028056112,8.85571142284569,0.8296593186372745,3.3006012024048093,8.458917835671343,2.5628415300546448,4.761523046092184
2019,14781,9,868,491.0,550,349,296,243,390,0,2289,1917,114,11,5,36,88,71,14,168,60,27,31,510,482,26,29,11,101,0.0,0.0,6612.0,0.4727272727272727,5.425661914460285,1.615071283095723,10.081466395112017,0.659877800407332,4.454175152749491,7.14867617107943,1.6049382716049383,6.397148676171079
2019,14781,10,682,388.0,437,278,226,157,314,1,1819,1562,85,9,4,32,50,62,3,96,44,17,21,348,457,27,21,9,112,4.0,0.0,5109.0,0.5625,5.242268041237113,1.5309278350515463,10.13659793814433,0.7422680412371134,3.6417525773195876,7.283505154639175,2.0,6.448453608247423
2019,14781,13,765,406.0,388,258,207,216,348,1,1849,1544,71,8,5,28,62,47,5,46,25,17,25,328,473,32,20,7,100,4.0,0.0,2743.0,0.6153846153846154,4.588669950738916,1.4876847290640394,8.600985221674877,0.6206896551724138,4.788177339901478,7.7142857142857135,1.6111111111111112,5.719211822660099
2019,14781,14,755,426.0,438,289,252,202,362,0,1951,1650,103,12,2,22,52,51,9,73,31,23,25,431,435,28,23,13,112,2.0,0.0,5524.0,0.5490196078431373,5.323943661971831,1.5023474178403755,9.253521126760564,0.46478873239436624,4.267605633802817,7.647887323943662,1.7920792079207921,6.105633802816902
2019,14781,16,529,277.0,432,284,228,102,168,0,1392,1224,93,16,2,17,17,37,2,61,36,14,15,281,332,10,26,6,49,2.0,0.0,3044.0,0.2777777777777778,7.4079422382671485,1.9277978339350181,14.036101083032491,0.5523465703971119,3.3140794223826715,5.458483754512635,1.6470588235294117,9.227436823104693
2019,14781,17,586,373.3333333333333,507,448,398,295,314,0,1969,1546,100,25,14,39,51,75,8,83,39,19,34,338,386,14,31,6,81,2.0,0.0,4348.0,0.3111111111111111,9.594642857142857,2.148214285714286,12.22232142857143,0.9401785714285714,7.111607142857143,7.569642857142857,1.064406779661017,10.799999999999999
2019,14781,19,643,326.6666666666667,404,244,213,166,282,0,1573,1329,67,10,1,18,33,43,2,63,28,19,16,322,322,22,17,9,96,3.0,0.0,4806.0,0.5641025641025641,5.868367346938775,1.7448979591836733,11.130612244897959,0.4959183673469387,4.573469387755102,7.76938775510204,1.6987951807228916,6.722448979591836
2019,14781,20,631,343.3333333333333,391,252,208,163,252,0,1632,1368,74,7,7,16,53,48,5,75,33,32,21,335,381,23,18,5,67,4.0,0.0,4327.0,0.5609756097560976,5.4524271844660195,1.6135922330097088,10.249514563106796,0.41941747572815535,4.272815533980583,6.605825242718447,1.5460122699386503,6.605825242718447
