season,season_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B,3B,Bk,HR,WP,HB,IBB,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,CG,pickoffs,PI,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2021,15580,2,385,383.0,404,277,230,239,369,1,1810,1489,80,8,1,29,64,38,6,115,48,30,14,386,337,33,17,12,97,3.0,4.0,6326.0,0.66,5.404699738903394,1.678851174934726,9.493472584856397,0.6814621409921672,5.616187989556136,8.671018276762403,1.5439330543933054,6.509138381201044
2021,15580,3,322,146.33333333333334,159,112,85,87,142,0,705,583,30,1,6,11,22,22,0,15,7,5,8,126,147,9,10,2,40,0.0,0.0,2658.0,0.47368421052631576,5.227790432801822,1.6810933940774486,9.779043280182231,0.6765375854214123,5.350797266514806,8.733485193621867,1.632183908045977,6.888382687927106
2021,15580,4,153,46.666666666666664,41,27,26,21,41,0,214,174,5,1,4,1,1,15,0,8,3,2,2,44,44,2,2,0,11,0.0,1.0,529.0,0.5,5.014285714285714,1.3285714285714287,7.907142857142858,0.19285714285714287,4.05,7.907142857142858,1.9523809523809523,5.207142857142857
2021,15580,5,187,243.66666666666666,249,192,175,155,217,0,1174,938,47,5,3,25,48,42,3,38,23,24,15,250,238,11,20,4,50,3.0,3.0,2456.0,0.3548387096774194,6.46374829001368,1.6580027359781122,9.196990424076608,0.9233926128590971,5.7250341997264025,8.015047879616963,1.4,7.091655266757866
2021,15580,6,36,83.0,143,130,109,62,54,0,473,378,35,6,0,11,28,16,5,38,28,5,12,79,102,2,8,0,21,1.0,1.0,573.0,0.2,11.819277108433734,2.4698795180722892,15.506024096385543,1.1927710843373496,6.72289156626506,5.855421686746988,0.8709677419354839,14.096385542168674
2021,15580,7,195,222.0,200,143,109,128,254,1,1020,841,42,3,2,11,21,30,0,62,21,12,9,163,216,15,11,5,81,1.0,6.0,1555.0,0.5769230769230769,4.418918918918918,1.4774774774774775,8.108108108108109,0.44594594594594594,5.1891891891891895,10.297297297297298,1.984375,5.797297297297297
2021,15580,8,356,334.0,350,213,199,123,320,0,1469,1296,70,3,2,51,32,24,0,40,23,9,17,334,300,18,21,4,78,1.0,7.0,5421.0,0.46153846153846156,5.362275449101796,1.4161676646706587,9.431137724550897,1.374251497005988,3.31437125748503,8.622754491017965,2.6016260162601625,5.7395209580838324
2021,15580,9,181,236.66666666666666,256,178,142,114,160,1,1116,935,54,6,2,27,35,37,2,73,39,9,21,203,316,10,22,4,53,3.0,1.0,1570.0,0.3125,5.3999999999999995,1.563380281690141,9.735211267605635,1.0267605633802817,4.335211267605634,6.084507042253521,1.4035087719298245,6.769014084507043
2021,15580,10,179,94.66666666666667,94,70,51,47,86,0,436,372,19,4,1,5,30,11,2,42,10,3,3,77,105,6,3,4,24,0.0,2.0,1109.0,0.6666666666666666,4.848591549295774,1.4894366197183098,8.936619718309858,0.4753521126760563,4.468309859154929,8.176056338028168,1.8297872340425532,6.654929577464789
2021,15580,13,92,97.33333333333333,77,47,36,47,123,0,425,354,21,0,0,5,9,12,1,3,0,8,4,82,74,7,5,1,29,1.0,1.0,205.0,0.5833333333333334,3.3287671232876717,1.273972602739726,7.11986301369863,0.4623287671232877,4.345890410958905,11.373287671232877,2.617021276595745,4.345890410958905
