season,season_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B,3B,Bk,HR,WP,HB,IBB,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,CG,pickoffs,PI,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2020,15204,2,64,131.0,129,81,63,58,133,0,595,514,27,3,2,11,19,14,2,30,15,2,6,115,127,7,8,2,41,0.0,0.0,2264.0,0.4666666666666667,4.32824427480916,1.4274809160305344,8.862595419847327,0.7557251908396947,3.984732824427481,9.137404580152673,2.293103448275862,5.564885496183207
2020,15204,3,40,72.0,65,55,46,49,66,0,339,277,19,4,1,8,8,12,1,26,6,0,1,64,76,3,5,1,24,0.0,0.0,1220.0,0.375,5.75,1.5833333333333333,8.125,1.0,6.125,8.25,1.346938775510204,6.875
2020,15204,4,14,29.333333333333332,18,12,10,22,37,0,130,98,5,0,0,1,6,4,0,4,2,3,3,28,17,2,1,0,11,0.0,0.0,536.0,0.6666666666666666,3.0681818181818183,1.3636363636363638,5.5227272727272725,0.3068181818181819,6.75,11.352272727272728,1.6818181818181819,3.681818181818182
2020,15204,5,47,110.0,113,79,70,51,89,0,500,420,21,4,2,9,10,13,4,31,12,10,6,112,115,1,12,1,25,1.0,0.0,1311.0,0.07692307692307693,5.7272727272727275,1.490909090909091,9.245454545454546,0.7363636363636363,4.172727272727273,7.281818181818181,1.7450980392156863,6.463636363636363
2020,15204,6,60,141.33333333333334,174,173,142,108,131,0,738,582,38,6,3,12,16,27,0,36,19,9,12,136,136,3,13,2,41,1.0,0.0,310.0,0.1875,9.042452830188678,1.9952830188679245,11.080188679245284,0.7641509433962264,6.877358490566037,8.341981132075471,1.212962962962963,11.016509433962263
2020,15204,7,39,152.33333333333334,126,69,48,66,179,1,656,565,22,5,2,5,15,14,2,26,11,6,5,134,120,13,3,2,52,3.0,0.0,1250.0,0.8125,2.835886214442013,1.260393873085339,7.444201312910284,0.29540481400437635,3.899343544857768,10.575492341356675,2.712121212121212,4.076586433260394
2020,15204,8,67,157.0,126,48,39,49,185,0,635,571,20,1,2,6,9,6,1,14,4,8,1,138,122,16,1,2,45,0.0,0.0,2356.0,0.9411764705882353,2.2356687898089174,1.1146496815286624,7.222929936305733,0.34394904458598724,2.8089171974522293,10.605095541401273,3.7755102040816326,2.751592356687898
2020,15204,9,86,144.0,152,99,86,90,102,0,681,552,27,5,3,8,19,26,2,52,17,5,8,142,160,7,9,5,27,0.0,0.0,2310.0,0.4375,5.375,1.6805555555555556,9.5,0.5,5.625,6.375,1.1333333333333333,6.1875
2020,15204,10,62,149.66666666666666,147,90,74,57,138,1,668,573,26,2,2,10,18,19,0,30,17,11,8,142,146,15,5,2,51,2.0,0.0,2346.0,0.75,4.44988864142539,1.3630289532293987,8.839643652561248,0.601336302895323,3.4276169265033407,8.298440979955457,2.4210526315789473,5.412026726057907
2020,15204,13,50,151.0,126,70,53,66,138,0,671,567,22,2,0,6,17,26,3,14,4,8,4,147,148,8,10,4,36,1.0,0.0,165.0,0.4444444444444444,3.1589403973509933,1.271523178807947,7.509933774834438,0.3576158940397351,3.933774834437086,8.225165562913908,2.090909090909091,4.172185430463576
2020,15204,14,33,92.33333333333333,91,68,58,58,67,1,432,346,22,2,3,7,18,17,1,11,5,4,7,93,101,6,5,1,20,1.0,0.0,995.0,0.5454545454545454,5.653429602888087,1.6137184115523466,8.870036101083032,0.6823104693140795,5.653429602888087,6.530685920577617,1.1551724137931034,6.628158844765343
2020,15204,15,20,67.66666666666667,84,45,37,17,63,0,311,283,14,4,4,2,6,9,0,3,2,0,3,53,75,6,3,0,12,1.0,0.0,873.0,0.6666666666666666,4.921182266009852,1.4926108374384235,11.172413793103447,0.2660098522167488,2.2610837438423643,8.379310344827585,3.7058823529411766,5.985221674876847
2020,15204,16,18,43.333333333333336,49,28,23,18,37,0,202,172,7,1,0,2,4,8,0,2,1,3,1,49,34,3,2,1,10,1.0,0.0,770.0,0.6,4.776923076923077,1.546153846153846,10.176923076923076,0.41538461538461535,3.738461538461538,7.684615384615384,2.0555555555555554,5.815384615384614
