,0
372,Tampa
373,Rockhurst
374,Northwestern Okla.
375,Nova Southeastern
376,Delta St.
377,Jefferson
378,Saint Leo
379,Davenport
380,Washburn
381,Notre Dame  (MEC)
382,Cedarville
383,Purdue Northwest
384,Southeastern Okla.
385,UT Tyler
386,Saginaw Valley
387,Cal U  (PSAC)
388,Carson-Newman
389,AUM
390,Mount Olive
391,Central Wash.
392,Hillsdale
393,Wilmington  (CACC)
394,Cal St. Monterey Bay
395,West Ga.
396,Northwood
397,Missouri S&T
398,Franklin Pierce
399,McKendree
400,Grand Valley St.
401,Glenville St.
402,Cal St. San Marcos
403,Rollins
404,Adams St.
405,Wayne St.  (GLIAC)
406,Azusa Pacific
407,East Stroudsburg
408,Queens  (ECC)
409,Belmont Abbey
410,Wheeling
411,West Virginia St.
412,Tex. A&M Int'l
413,Lee
414,Kentucky St.
415,Arkansas Tech
416,Minot St.
417,Southern Nazarene
418,Southwest Minn. St.
419,Cal St. San B'dino
420,Union  (Gulf South)
421,Anderson  (SAC)
422,Southwestern Okla.
423,Seton Hill
424,Cal State LA
425,St. Mary's  (Lone Star)
426,Fresno Pacific
427,Cal St. Dom. Hills
428,Lewis
429,Henderson St.
430,Bloomsburg
431,West Chester
432,West Ala.
433,Bloomfield
434,Ouachita Baptist
435,Shorter
436,Minn. Duluth
437,King  (Conference Carolinas)
438,Central Okla.
439,Hawaii Pacific
440,Le Moyne
441,Mercyhurst
442,Newman
443,Southern Conn. St.
444,St. Thomas Aquinas
445,Walsh
446,Rogers St.
447,Augusta
448,Goldey-Beacom
449,Benedict
450,Hawaii Hilo
451,Lynn
452,Lock Haven
453,UIndy
454,Eckerd
455,Valdosta St.
456,Lincoln Memorial
457,Mansfield
458,Salem  (DII Independent)
459,Sioux Falls
460,Saint Rose
461,Shippensburg
462,Lane
463,Malone
464,Barry
465,Post
466,Caldwell
467,New Haven
468,American Int'l
469,Emory & Henry
470,Flagler
471,Harding
472,Tex. Permian Basin
473,Lander
474,Bluefield St.
475,Ark.-Monticello
476,Fairmont St.
477,Mercy
478,Claflin
479,North Georgia
480,Stonehill
481,Fla. Southern
482,Eastern N.M.
483,Morehouse
484,Cal St. East Bay
485,Northwest Nazarene
486,Southern Wesleyan
487,Okla. Christian
488,Sonoma St.
489,Southern Ind.
490,Mont. St. Billings
491,Ky. Wesleyan
492,Chowan
493,Assumption
494,Bentley
495,Lindenwood
496,Tusculum
497,Mo.-St. Louis
498,Cameron
499,St. Anselm
500,Ark.-Fort Smith
501,Ga. Southwestern
502,Gannon
503,West Florida
504,Christian Brothers
505,Wayne St.  (NSIC)
506,Mars Hill
507,Dominican  (CACC)
508,UVA Wise
509,Felician
510,USciences
511,Mary
512,Southwest Baptist
513,Emporia St.
514,Truman St.
515,CUI
516,Biola
517,Holy Names
518,Pitt.-Johnstown
519,Northwest Mo. St.
520,Missouri Western
521,Ohio Dominican
522,Shepherd
523,Embry-Riddle  (Sunshine State)
524,East Central
525,Catawba
526,USC Aiken
527,West Va. Wesleyan
528,Upper Iowa
529,Mississippi Col.
530,Saint Martin's
531,Findlay
532,Virginia St.
533,San Fran. St.
534,Stanislaus St.
535,Coker
536,Academy of Art
537,Bridgeport
538,Concordia-St. Paul
539,Western Ore.
540,Winona St.
541,Emmanuel  (Conference Carolinas)
542,Saint Michael's
543,LeMoyne-Owen
544,Palm Beach Atl.
545,West Liberty
546,Minn.-Crookston
547,Clark Atlanta
548,Alderson Broaddus
549,Northern St.
550,Bemidji St.
551,Limestone
552,Kutztown
553,Tuskegee
554,Fort Hays St.
555,Lincoln  (ECC)
556,Lake Erie
557,Clarion
558,Nyack
559,Wis.-Parkside
560,Davis & Elkins
561,Marietta
562,St. Joseph's  (Skyline)
563,Wilson
564,Baldwin Wallace
565,Penn St.-Abington
566,Randolph-Macon
567,Montclair St.
568,Rhode Island Col.
569,Middlebury
570,LaGrange
571,Eastern Conn. St.
572,Aurora
573,Kalamazoo
574,Widener
575,Gust. Adolphus
576,La Verne
577,Bethel  (MIAC)
578,Anna Maria
579,Birmingham-So.
580,Berry
581,Crown  (UMAC)
582,North Central  (CCIW)
583,Wilmington  (OAC)
584,McDaniel
585,Otterbein
586,Allegheny
587,Wm. Paterson
588,Earlham
589,Pomona-Pitzer
590,Fontbonne
591,Redlands
592,Denison
593,Chapman
594,CMSV
595,Webster
596,SUNY Cortland
597,Texas-Dallas
598,Centenary  (SCAC)
599,Methodist
600,Trinity  (SCAC)
601,DePauw
602,Lawrence
603,Rowan
604,Huntingdon
605,Ill. Wesleyan
606,Tufts
607,Adrian
608,Roanoke
609,Ithaca
610,Rhodes
611,Shenandoah
612,Salve Regina
613,Wooster
614,Penn St.-Behrend
615,William Peace
616,Wash. & Jeff.
617,Merchant Marine
618,Brandeis
619,Rochester  (Liberty League)
620,Suffolk
621,Kean
622,Stevens
623,Moravian
624,Arcadia
625,Wis.-Platteville
626,Wis.-Whitewater
627,Lebanon Valley
628,Plattsburgh St.
629,Oswego St.
630,Utica
631,Keystone
632,Springfield
633,Northwestern-St. Paul
634,Scranton
635,Buena Vista
636,East. Mennonite
637,Claremont-M-S
638,Maryville  (USA South)
639,Washington Col.
640,Pfeiffer
641,Penn St.-Altoona
642,Skidmore
643,Wash. & Lee
644,Immaculata
645,Union  (Liberty League)
646,DeSales
647,SUNY Brockport
648,Concordia-M'head
649,Old Westbury
650,Endicott
651,Grinnell
652,Wittenberg
653,Lynchburg
654,N.C. Wesleyan
655,Gettysburg
656,Franklin
657,Calvin
658,Colby
659,Loras
660,UChicago
661,Wis.-La Crosse
662,Spalding
663,Elmhurst
664,Franklin & Marshall
665,Westfield St.
666,Hope
667,Wilkes
668,Hamilton
669,Stockton
670,Gwynedd Mercy
671,Swarthmore
672,Wabash
673,Lehman
674,Sul Ross St.
675,Misericordia
676,Marymount  (Atlantic East)
677,Mary Hardin-Baylor
678,Grove City
679,UMass Boston
680,Penn St.-Berks
681,East Tex. Baptist
682,Centenary  (Atlantic East)
683,Anderson  (HCAC)
684,Wis.-Stevens Point
685,Thiel
686,Vassar
687,Westminster  (C)
688,Penn St. Harrisburg
689,Rose-Hulman
690,New England Col.
691,Bridgewater St.
692,Schreiner
693,Kenyon
694,Ohio Northern
695,Salisbury
696,Catholic
697,John Carroll
698,Austin
699,Mary Washington
700,Wheaton  (NEWC)
701,St. Mary's  (United East)
702,McMurry
703,York  (MAC Commonwealth)
704,Penn College
705,Hardin-Simmons
706,New Jersey City
707,Roger Williams
708,Millsaps
709,Guilford
710,Cabrini
711,Mass. Maritime
712,Carthage
713,Eureka
714,Mitchell
715,NYU
716,Emory
717,Manhattanville
718,Keuka
719,Johns Hopkins
720,Wis.-Oshkosh
721,Covenant
722,Delaware Valley
723,Bridgewater  (ODAC)
724,Texas Lutheran
725,Mt. St. Joseph
726,Rutgers-Newark
727,MSOE
728,Wesleyan  (NESCAC)
729,Ripon
730,St. John Fisher
731,Farmingdale St.
732,Olivet
733,Wheaton  (CCIW)
734,Wartburg
735,Benedictine  (NACC)
736,Puget Sound
737,Brevard
738,Mount Aloysius
739,Pacific Lutheran
740,Lancaster Bible
741,Saint Vincent
742,Gallaudet
743,Central  (American Rivers)
744,Trinity  (NESCAC)
745,Pacific  (NWC)
746,Augustana  (CCIW)
747,Wis.-Stout
748,Ozarks  (ASC)
749,Howard Payne
750,Millikin
751,Dubuque
752,WashU
753,Babson
754,St. Joseph's  (Great Northeast)
755,Lewis & Clark
756,Hendrix
757,Rensselaer
758,Carleton
759,Nichols
760,Hanover
761,Elizabethtown
762,Haverford
763,Concordia Wisconsin
764,Muskingum
765,Mount Union
766,Western New Eng.
767,Luther
768,JWU  (Great Northeast)
769,Franciscan
770,Clarkson
771,Westminster  (SLIAC)
772,Transylvania
773,Husson
774,Dominican  (NACC)
775,Va. Wesleyan
776,Muhlenberg
777,Messiah
778,St. Norbert
779,King's  (MAC Freedom)
780,Monmouth  (MWC)
781,Greensboro
782,Pitt.-Greensburg
783,Saint John's  (MIAC)
784,Macalester
785,TCNJ
786,Willamette
787,Thomas  (North Atlantic)
788,Norwich
789,Emerson
790,North Park
791,Southwestern  (SCAC)
792,Alvernia
793,St. Joseph's  (Skyline)
794,Oberlin
795,Edgewood
796,Geneva
797,Illinois Col.
798,Cal Lutheran
799,Wentworth
800,Trine
801,Bard
802,Oglethorpe
803,Alfred St.
804,Fredonia
805,Rockford
806,Whitman
807,Cobleskill St.
808,Bethany Lutheran
809,SUNY Maritime
810,Neb. Wesleyan
811,St. Lawrence
812,Cairn
813,Chris. Newport
814,Lakeland
815,Wis.-Superior
816,Bowdoin
817,Amherst
818,Worcester St.
819,Hilbert
820,Houghton
821,Eastern
822,Me.-Farmington
823,IIT
824,Centre
825,Capital
826,SUNY New Paltz
827,Hampden-Sydney
828,Beloit
829,MIT
830,Southern Va.
831,Salem St.
832,Lesley
833,Bluffton
834,FDU-Florham
835,Eastern Nazarene
836,Neumann
837,WPI
838,Dean
839,Rosemont
840,Pitt.-Bradford
841,Marian  (NACC)
842,Simpson
843,Marywood
844,Piedmont
845,UMass Dartmouth
846,Williams
847,Juniata
848,Averett
849,Linfield
850,Ramapo
851,RIT
852,Elmira
853,Concordia Chicago
854,Bates
855,St. Thomas  (SCAC)
856,Cazenovia
857,Ohio Wesleyan
858,Minn.-Morris
859,Mt. St. Mary  (Skyline)
860,Valley Forge
861,Plymouth St.
862,Bob Jones
863,CWRU
864,Baruch
865,Augsburg
866,Southern Me.
867,Ferrum
868,Heidelberg
869,Wis. Lutheran
870,St. Scholastica
871,Mary Baldwin
872,Elms
873,CCNY
874,Fitchburg St.
875,Rutgers-Camden
876,Dickinson
877,Framingham St.
878,Wis.-Eau Claire
879,Gordon
880,La Roche
881,Chatham
882,Stevenson
883,Blackburn
884,Belhaven
885,Alma
886,MCLA
887,Colby-Sawyer
888,Susquehanna
889,Greenville
890,Lasell
891,Manchester
892,Coast Guard
893,Cornell College
894,North Central  (UMAC)
895,Carroll  (CCIW)
896,SUNY Oneonta
897,Saint Mary's  (MIAC)
898,Ursinus
899,Clark  (NEWC)
900,Purchase
901,Albertus Magnus
902,SUNY Poly
903,Russell Sage
904,SUNY Canton
905,Northland
906,Concordia  (ASC)
907,Occidental
908,Bethany  (PAC)
909,Waynesburg
910,Me.-Presque Isle
911,George Fox
912,St. Olaf
913,Whittier
914,Drew
915,NVU-Lyndon
916,Defiance
917,Hiram
918,Hamline
919,Caltech
920,Dallas
921,Western Conn. St.
922,Knox
923,MUW
924,Hood
925,Martin Luther
926,Sewanee
927,Wells
928,LeTourneau
929,Albion
930,Castleton
931,Berea
932,Whitworth
933,Clarks Summit
934,Curry
935,John Jay
936,Medaille
937,Coe
938,Maranatha Baptist
939,Yeshiva
940,Keene St.
941,Rivier
942,Finlandia
943,Principia
944,Albright
