season,season_id,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,FIP_const,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2013,11320,1.0,48194,1443.0,7158,6886,2822,0.0,286,123401.0,128823,72664,59609,22463,3101,11135,49698,1692,90167,14499,5798,1400,554572,474123,28510,11257,10646,5409,133633,124797,28145,0.0,0.5096838507547707,4.347460717498238,2.3444056369073185,1.4466738519136797,9.395442500465961,0.8121084918274568,3.6246221667571574,6.576146060404697,1.8142983621071271,5.299600489461187
2013,11320,2.0,1129,53.0,220,143,76,0.0,10,3020.3333333333335,3056,1595,1295,534,62,262,1118,34,2345,379,78,25,13408,11519,574,225,274,111,3274,2923,753,0.0,0.6060606060606061,3.8588456020306805,2.0206378986866786,1.3819666703454365,9.106279660081668,0.780708531067211,3.3314203730272594,6.987639333406908,2.097495527728086,4.752786668138174
2014,11620,1.0,47511,0.0,7060,6731,2834,0.0,291,121533.0,123895,67912,55838,21078,2878,10842,48003,1687,87358,14224,5347,1421,541914,463802,26690,10379,10441,5236,130601,125565,26753,0.0,0.5119280690305271,4.135025054923354,2.158039380250631,1.4144141920301483,9.174915455061587,0.802893041396164,3.5548122732097456,6.469205894695268,1.8198445930462679,5.0291525758435975
2014,11620,2.0,619,0.0,114,84,38,0.0,7,1678.0,1777,909,728,305,38,112,533,21,1146,180,46,23,7424,6540,286,136,106,62,1892,1700,370,0.0,0.5757575757575758,3.904648390941597,2.4451728247914186,1.3766388557806912,9.53098927294398,0.600715137067938,2.8587604290822406,6.146603098927295,2.150093808630394,4.875446960667461
2015,12080,1.0,49631,14108.0,7129,6917,2839,0.0,211,123958.0,130013,75291,62246,23292,3148,11682,51689,1612,96512,13413,7752,1467,558194,477786,27461,10967,9752,5330,133239,120657,28637,0.0,0.5075466324932365,4.519385598347827,2.497249068232788,1.465835202245922,9.439624711595863,0.8481743816453959,3.7528921086174347,7.007276658222946,1.8671670955135522,5.466520918375578
2015,12080,2.0,26091,8883.0,4539,4239,1372,0.0,240,71735.33333333333,81980,50870,40763,14783,1961,7512,30161,620,55451,8594,5197,845,332504,284847,11310,4838,5511,3265,77342,69488,16825,0.0,0.5170881749829118,5.114174325994628,2.9050816427051283,1.563260318020873,10.285308030445247,0.9424644294304063,3.78403483174261,6.956948226350566,1.838500049733099,6.382210533163574
2015,12080,3.0,31786,11119.0,5672,5382,1678,0.0,390,91035.0,104491,63980,49074,18709,2787,9550,37390,754,62978,11278,3698,1094,423457,362976,10495,4814,7152,4412,102581,89817,20149,0.0,0.5131174235570835,4.851606524962926,2.5758224858570875,1.5585324325808756,10.330301532377657,0.944142362827484,3.6964903608502224,6.226198714780029,1.684354105375769,6.325259515570934
2016,12360,1.0,57524,16015.0,8074,7863,3230,794.0,234,139833.66666666666,147449,87769,73609,27046,3714,9613,60879,1541,111276,14875,1650,14023,632567,540239,31541,12814,10310,6031,145347,139334,32499,0.0,0.5066198155236242,4.737635905516316,3.0144814911049083,1.4898271994584042,9.490139475233672,0.6187136621843572,3.9183053198919673,7.161966240843288,1.8278224018134333,5.6490044123851915
2016,12360,2.0,33464,10563.0,5490,5019,1703,1261.0,261,86812.33333333333,99506,62623,50722,18087,2479,6957,37590,662,67800,10538,1042,9588,403886,345401,16044,7015,6261,3930,90680,86022,20114,0.0,0.5224093634027976,5.25844638050661,3.334468604691346,1.5792226142982757,10.315976608546407,0.7212454451556423,3.897026920138076,7.02895517917961,1.8036711891460495,6.492245725453757
2016,12360,3.0,40046,13412.0,6776,6577,1989,1940.0,412,109947.66666666667,127766,79454,61874,22744,3423,5159,46820,861,76026,13653,1401,11908,514639,440008,12497,5864,8459,5443,121280,111600,23902,0.0,0.5074515090241893,5.064827812019657,3.496263373786922,1.5879009104331454,10.458557556170662,0.42230091285854177,3.832550637727646,6.2232698586903465,1.6237932507475439,6.5038760865017595
2017,12560,1.0,53526,14677.0,7396,7209,2957,552.0,176,128071.0,135563,82338,69968,25030,3104,10835,57104,1491,107379,13648,1607,13065,581145,496195,29437,11754,8459,5539,126915,129237,30470,0.0,0.5064019171516604,4.916897658330146,2.9981806966448303,1.5043764786719866,9.526489213014655,0.7614135908987983,4.012899095033224,7.5459003209157425,1.8804111796021294,5.786181102669613
2017,12560,2.0,32659,10468.0,5309,5085,1671,1188.0,301,85678.66666666667,97013,61667,49901,17555,2333,6957,37889,640,67873,10786,1132,10097,398489,339666,15596,6848,5968,4009,86481,87619,19966,0.0,0.5107754473734847,5.24178325215145,3.2740472151760844,1.5745109634448091,10.190599760344854,0.7307886832972813,3.979998910658429,7.129627756423225,1.7913642481986856,6.477726855382125
2017,12560,3.0,39001,12943.0,6459,6256,1967,1565.0,342,106091.33333333333,121257,76209,59611,21815,3145,5377,46512,789,75825,13441,1471,12149,495709,422487,11650,5229,7646,5437,112742,109716,23945,0.0,0.5079826976012584,5.056954071020567,3.4174704814091004,1.5813638562999177,10.286542413140879,0.4561447055053194,3.9457322935583807,6.4324292904855565,1.6302244582043344,6.465004995695533
2018,12973,1.0,55341,14997.0,7524,7422,3020,531.0,175,131338.66666666666,135971,83489,70693,24798,3213,10531,60383,1248,115163,15373,1527,13957,596146,506321,30918,12524,7954,5947,125351,132484,32524,0.0,0.5034122842232035,4.844247441728255,2.948324433525542,1.4950205067814506,9.317431271826525,0.7216382075854788,4.13775328920653,7.89156024120848,1.9072089826606826,5.721095082433202
2018,12973,2.0,33031,10548.0,5297,5108,1709,1117.0,257,85339.66666666667,96413,63889,51873,17589,2338,7596,40731,565,73410,11211,1034,10439,400944,339449,15948,7082,5309,4084,82266,85957,21375,0.0,0.5090821720326766,5.470574449552572,3.3477163804248904,1.6070369777243094,10.167803952050434,0.801081169756932,4.2955288474683515,7.741886344372878,1.802312734772041,6.737792898183337
2018,12973,3.0,39752,12816.0,6475,6194,1962,1423.0,332,105184.33333333333,119950,77662,61043,22103,3257,5420,49170,759,80451,13946,1401,12551,494974,419413,11274,5162,6916,5480,108072,107652,24721,0.0,0.5110900623569342,5.2230877221893,3.5179193352622224,1.6078440071873823,10.263410583958954,0.4637572769075243,4.207185480727485,6.88371525544045,1.6361805979255644,6.645077055201504
2019,14781,1.0,236928,16187.0,8134,8005,3333,516.0,142,141762.33333333334,147010,93882,79632,27467,3535,12089,68544,2153,127534,16490,1799,15513,648291,548582,33870,13859,7897,6594,132681,143561,35990,0.0,0.5039965301443707,5.055560127631458,3.047092904321082,1.52053084152584,9.333156198049787,0.7674887781662736,4.3516213756827735,8.09669235128278,1.8606150793650793,5.960243318041698
2019,14781,2.0,162123,11465.0,5759,5627,1875,1180.0,260,93362.0,103995,70132,57209,19427,2644,7947,46136,1062,81693,12693,1255,11653,439463,370470,15543,6860,5319,4653,88114,95033,23338,0.0,0.5057965923063411,5.514888284312676,3.3929864398791802,1.6080525267239347,10.025010175446113,0.7660825603564619,4.4474625650693,7.87512049870397,1.7706996705392752,6.760652085430904
2019,14781,3.0,196956,13652.0,6895,6654,2172,1416.0,327,112782.66666666667,128818,84042,66977,23665,3422,5810,53641,1299,85822,15224,1870,13804,532607,450422,10962,5081,7028,6120,113805,119076,26321,0.0,0.508893645287475,5.344730868809628,3.604188586898696,1.6177929232624397,10.279611524229491,0.4636350739475333,4.280524785132466,6.848552378024992,1.5999328871572118,6.706509274474801
2020,15204,1.0,17799,4186.0,2283,2244,892,68.0,29,39683.666666666664,38812,24984,20769,7281,1021,2803,19440,524,38980,5039,511,4679,180236,151981,9501,3964,1961,1767,36025,38248,11208,5.0,0.5043074884029158,4.71027542817784,2.9237469655861776,1.4679087113925966,8.802311614350153,0.6357023460533722,4.408866788183216,8.840412932272724,2.0051440329218106,5.666210279628059
2020,15204,2.0,12896,3728.0,1893,1818,590,221.0,62,30584.333333333332,32623,22449,18160,6294,822,2435,15628,336,28972,4282,404,3841,143007,120018,5486,2452,1624,1434,28092,29490,8371,1.0,0.5101050929668552,5.34391246062799,3.3032271424367594,1.5776377884101882,9.599914989155668,0.7165433282835438,4.598825106536026,8.525541399191306,1.8538520604044024,6.606029230651859
2020,15204,3.0,10472,3102.0,1540,1535,451,230.0,72,25130.333333333332,28623,19878,15603,5530,977,1312,12823,238,21797,3926,413,3493,120103,100412,2120,1083,1350,1293,24112,24674,6377,4.0,0.5008130081300813,5.587948163573902,3.777148465997268,1.6492419519571302,10.250838959557507,0.4698704089347535,4.592338608056664,7.806223554535688,1.6998362317710365,7.118966454881883
2021,15580,1.0,120869,13682.0,7105,7058,2764,687.0,216,120695.66666666667,126137,83205,70898,23792,2982,12523,57501,1457,114894,15716,1277,13982,554204,469227,30493,12890,6023,5556,111003,118529,32280,1430.0,0.5016592529831251,5.286701814757226,3.069919660192163,1.5214962149980529,9.405747789895798,0.9338114872944899,4.287718145086678,8.567382977019335,1.998121771795273,6.204406675743675
2021,15580,2.0,56315,7071.0,3570,3450,1043,638.0,152,55808.0,63371,45520,38010,12199,1591,6262,28666,518,52949,8430,821,7917,266115,223293,9751,4560,2737,2899,50517,55582,15139,807.0,0.5085470085470085,6.129766341743119,3.6257346616972477,1.6491721616972477,10.219663847477063,1.0098552178899083,4.622885607798166,8.538937069954128,1.847101095374311,7.340883027522936
2021,15580,3.0,69789,9780.0,4802,4873,1328,901.0,212,78697.0,92052,64755,52243,17735,2663,5672,39402,756,64623,12513,1341,11138,378302,317418,7580,3564,4302,4412,75791,82457,19859,1620.0,0.4963307493540052,5.974649605448747,3.8798048210224025,1.6703813360102673,10.52731362059545,0.6486651333595944,4.506118403496957,7.390459610912742,1.6400944114511953,7.405555484961307
2022,15860,1.0,65368,16357.0,8179,8141,3071,336.0,103,141998.0,154785,105544,91061,29829,3532,16752,70636,1670,133718,19466,1501,16845,661903,558700,36925,15938,6306,6623,130083,140995,37085,1682.0,0.5011642156862746,5.771553120466485,3.2759968450259858,1.587494190059015,9.810455076832069,1.0617614332596235,4.476992633699066,8.475203876110932,1.893057364516677,6.689502669051677
2022,15860,2.0,37202,10995.0,5477,5399,1701,916.0,229,88403.33333333333,102712,73286,60862,19609,2458,9595,45082,867,80199,13550,1096,11803,423281,355610,14755,6898,4228,4588,81243,89867,22780,1402.0,0.5035858771607209,6.19612382640172,3.7026431884167272,1.671814788280985,10.456709777157725,0.9768296821386826,4.5896233173711405,8.164748689717584,1.778958342575751,7.460963010444554
2022,15860,3.0,43902,13137.0,6458,6438,1830,1007.0,251,107405.66666666667,126959,90556,73236,24363,3593,8381,54176,976,90835,17770,1700,14636,518209,434126,8569,4229,5600,6112,101684,111134,27340,2137.0,0.5007754342431762,6.136771182153641,3.958524845057833,1.6864566425731726,10.638461037127152,0.7022813818017051,4.539648746031401,7.611469910029576,1.676664943886592,7.588091255272068
2023,16340,1.0,50172,13309.0,6776,6348,2628,248.0,87,114480.66666666667,122890,83451,72865,23600,2687,14730,56129,1197,108283,15417,1137,11933,530085,447701,26621,11046,5181,5509,104683,113819,29984,1404.0,0.5163060042669918,5.728347144496014,3.1266414707577987,1.563748755248339,9.66110726119694,1.1580121243179342,4.412631536038108,8.512764891888587,1.9291809937821804,6.560575002474945
2023,16340,2.0,24959,7606.0,3859,3590,1184,555.0,141,61365.666666666664,70493,48493,40764,13094,1563,6449,30675,480,52532,9030,753,7459,291044,244724,7556,3422,3234,3266,57635,63687,14993,926.0,0.5180561149147537,5.978522192105249,3.527314404906109,1.6486091571291221,10.338631265039625,0.9458220394683238,4.498851149122474,7.704438421049773,1.7125346373268133,7.112071353688545
2023,16340,3.0,21859,6957.0,3421,3203,983,503.0,128,55952.0,65395,44123,36430,12047,1746,4207,27182,538,44987,8551,890,6480,266740,224672,2208,987,3085,3182,54002,59368,13824,1103.0,0.5164553140096618,5.859844152130397,3.770499714040606,1.6545789247926794,10.518926937374893,0.6767050328853302,4.372283385759222,7.236256076637117,1.6550290633507467,7.0972798112668
