season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2015,12080,2,1420630,1.0,26,0.0,2,1,1,0.0,0,25.666666666666664,21,10,8,3,0,1,11,0,20,1,1,0,109,89,24,12,5,3,30,24,6,0.0,0.6666666666666666,2.8051948051948057,161.0,2.8478984188821386,1.246753246753247,7.363636363636364,0.3506493506493507,3.8571428571428577,7.012987012987013,1.8181818181818181,3.5064935064935066
2015,12080,2,1547042,1.0,23,1.0,2,2,4,0.0,0,37.333333333333336,28,9,7,3,0,3,10,4,38,3,0,0,151,132,9,2,4,2,41,26,10,0.0,0.5,1.6875,268.0,2.5508204968042163,1.0178571428571428,6.75,0.7232142857142856,2.4107142857142856,9.160714285714285,3.8,2.1696428571428568
2015,12080,2,1547054,1.0,14,0.0,1,0,0,0.0,0,14.666666666666666,12,16,11,1,1,1,14,0,14,2,1,3,71,54,8,3,0,1,11,17,5,0.0,1.0,6.75,67.0,4.747249068232788,1.7727272727272727,7.363636363636364,0.6136363636363638,8.590909090909092,8.590909090909092,1.0,9.81818181818182
2015,12080,2,1547055,1.0,1,0.0,0,0,0,0.0,0,1.6666666666666665,0,0,0,0,0,0,3,0,1,0,0,0,8,5,0,0,0,0,1,3,0,0.0,,0.0,,6.697249068232788,1.8000000000000003,0.0,0.0,16.200000000000003,5.4,0.3333333333333333,0.0
2015,12080,2,1547057,1.0,10,3.0,0,3,0,0.0,0,12.0,18,18,17,3,0,5,17,0,12,3,2,2,75,54,2,1,1,0,13,9,3,0.0,0.0,12.75,35.0,10.913915734899454,2.9166666666666665,13.5,3.75,12.75,9.0,0.7058823529411765,13.5
2015,12080,2,1547059,1.0,15,14.0,4,5,0,0.0,0,74.66666666666667,98,50,43,23,6,2,25,0,40,9,4,0,354,313,1,0,6,1,63,110,12,0.0,0.4444444444444444,5.1830357142857135,87.0,3.1401062110899307,1.6473214285714284,11.8125,0.24107142857142855,3.0133928571428568,4.821428571428571,1.6,6.0267857142857135
2015,12080,2,1547060,1.0,22,5.0,0,3,1,0.0,0,47.0,60,35,24,9,3,1,29,0,54,3,2,1,231,193,7,4,3,3,35,42,13,0.0,0.0,4.595744680851063,98.0,2.518525663977469,1.8936170212765957,11.48936170212766,0.19148936170212766,5.553191489361702,10.340425531914894,1.8620689655172413,6.702127659574468
2015,12080,2,1547062,1.0,2,0.0,0,0,0,0.0,0,2.333333333333333,4,2,2,1,0,1,0,0,0,0,1,0,11,10,0,0,1,0,1,6,0,0.0,,7.714285714285715,59.0,8.06867763966136,1.7142857142857144,15.42857142857143,3.8571428571428577,0.0,0.0,,7.714285714285715
2015,12080,2,1547064,1.0,17,3.0,1,2,0,0.0,0,23.666666666666668,27,18,17,4,1,4,13,0,18,3,0,2,108,91,10,4,1,0,23,23,4,0.0,0.3333333333333333,6.464788732394366,70.0,5.201474420345464,1.6901408450704225,10.267605633802818,1.5211267605633803,4.943661971830985,6.845070422535211,1.3846153846153846,6.845070422535211
2015,12080,2,1659966,1.0,16,9.0,1,7,0,0.0,0,50.333333333333336,90,50,39,18,5,3,16,0,26,5,2,0,254,224,0,0,8,1,72,40,9,0.0,0.125,6.973509933774834,65.0,3.4906265516764963,2.1059602649006623,16.092715231788077,0.5364238410596026,2.8609271523178803,4.649006622516556,1.625,8.940397350993377
