season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2017,12560,2,1884440,1.0,12,0.0,1,0,0,0.0,0,19.0,29,25,20,8,0,0,14,0,14,8,0,4,102,78,4,2,0,2,16,19,2,0.0,104.03726708074534,1.0,9.473684210526315,185.0,4.99818069664483,2.263157894736842,13.73684210526316,0.0,6.63157894736842,6.63157894736842,1.0,11.842105263157896
2017,12560,2,1884442,1.0,22,5.0,1,4,1,0.0,0,42.33333333333333,57,53,43,10,6,4,31,0,34,6,0,3,218,178,16,10,2,1,34,53,10,0.0,104.03726708074534,0.2,9.141732283464568,178.0,5.242275184833807,2.0787401574803153,12.118110236220472,0.8503937007874017,6.590551181102363,7.228346456692915,1.096774193548387,11.267716535433072
2017,12560,6,1773880,1.0,9,1.0,0,1,0,0.0,0,10.666666666666666,21,23,19,4,0,2,11,0,9,1,0,1,69,57,3,3,0,0,7,15,4,0.0,104.35643564356437,0.0,16.03125,312.0,7.12318069664483,3.0,17.71875,1.6875,9.28125,7.59375,0.8181818181818182,19.40625
2017,12560,6,1773882,1.0,38,8.0,3,8,6,3.0,1,111.33333333333333,97,55,41,20,1,4,60,2,137,10,0,16,493,409,24,8,8,4,95,82,54,0.0,104.35643564356437,0.2727272727272727,3.31437125748503,64.0,2.8903962655071056,1.410179640718563,7.841317365269461,0.32335329341317365,4.850299401197605,11.074850299401197,2.283333333333333,4.446107784431137
2017,12560,6,1773883,1.0,25,4.0,1,3,0,0.0,0,54.333333333333336,73,68,50,14,2,3,37,0,25,21,5,2,299,239,6,6,2,0,66,64,7,0.0,104.35643564356437,0.25,8.282208588957054,161.0,5.99818069664483,2.0245398773006134,12.0920245398773,0.49693251533742333,6.128834355828221,4.141104294478527,0.6756756756756757,11.263803680981594
2017,12560,6,1879677,1.0,16,7.0,0,6,0,0.0,0,49.333333333333336,72,63,49,14,3,3,35,0,31,2,0,13,262,218,2,2,2,5,54,56,4,0.0,104.35643564356437,0.0,8.93918918918919,174.0,4.7819644804286146,2.168918918918919,13.135135135135135,0.5472972972972973,6.385135135135135,5.655405405405405,0.8857142857142857,11.493243243243242
2017,12560,6,1879681,1.0,14,4.0,0,3,0,0.0,0,19.333333333333332,31,43,30,4,4,4,32,0,14,6,0,9,129,89,6,3,0,2,21,20,3,0.0,104.35643564356437,0.0,13.96551724137931,272.0,10.136111731127588,3.2586206896551726,14.431034482758623,1.8620689655172415,14.896551724137932,6.517241379310345,0.4375,20.01724137931035
2017,12560,6,1879682,1.0,4,0.0,0,0,0,0.0,0,5.0,6,7,6,1,0,0,9,0,2,0,0,0,31,21,0,0,0,1,6,6,2,0.0,104.35643564356437,,10.799999999999999,210.0,7.59818069664483,3.0,10.799999999999999,0.0,16.2,3.6,0.2222222222222222,12.6
2017,12560,6,1879685,1.0,12,1.0,1,1,0,0.0,0,13.666666666666666,18,23,19,5,0,1,20,0,8,4,0,3,85,59,4,4,0,2,8,22,2,0.0,104.35643564356437,0.5,12.51219512195122,243.0,8.046961184449708,2.780487804878049,11.853658536585366,0.6585365853658538,13.170731707317072,5.26829268292683,0.4,15.146341463414636
2017,12560,6,1879691,1.0,7,1.0,0,1,0,0.0,0,9.333333333333332,11,4,4,1,0,0,9,0,8,0,0,3,46,35,4,0,1,1,7,11,1,0.0,104.35643564356437,0.0,3.8571428571428577,75.0,4.176752125216259,2.1428571428571432,10.60714285714286,0.0,8.67857142857143,7.714285714285715,0.8888888888888888,3.8571428571428577
