season,season_id,school_id,stats_player_seq,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HB,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2021,15580,2,1749271,26,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,1997675,2,0.0,0,0,0,0.0,0,2.333333333333333,3,1,1,1,0,0,0,0,1,0,0,0,10,10,1,1,0,0,2,4,0,0.0,,3.8571428571428577,1.2857142857142858,11.571428571428573,0.0,0.0,3.8571428571428577,,3.8571428571428577
2021,15580,2,1997699,56,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,2117386,14,0.0,0,1,0,0.0,0,16.0,14,10,9,0,1,1,15,0,18,4,0,2,79,56,13,5,2,2,12,16,4,0.0,0.0,5.0625,1.8125,7.875,0.5625,8.4375,10.125,1.2,5.625
2021,15580,2,2133295,22,0.0,0,0,0,0.0,0,6.0,2,1,1,0,0,0,2,0,6,2,1,0,24,19,5,0,0,1,2,9,1,0.0,,1.5,0.6666666666666666,3.0,0.0,3.0,9.0,3.0,1.5
2021,15580,2,2133304,15,14.0,6,5,0,1.0,0,71.0,98,58,44,15,4,2,17,0,57,6,0,5,335,305,1,1,5,2,96,52,14,0.0,0.5454545454545454,5.577464788732394,1.619718309859155,12.422535211267604,0.2535211267605634,2.1549295774647885,7.225352112676057,3.3529411764705883,7.352112676056338
2021,15580,2,2136723,15,13.0,1,4,0,0.0,0,72.66666666666667,67,38,30,11,0,2,50,0,68,2,0,8,330,269,1,0,7,2,66,73,15,2.0,0.2,3.715596330275229,1.6100917431192658,8.298165137614678,0.2477064220183486,6.192660550458715,8.422018348623853,1.36,4.706422018348624
2021,15580,2,2137687,49,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,2347955,48,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,2347956,15,15.0,7,2,0,2.0,1,69.33333333333333,83,64,54,17,2,9,37,0,47,6,1,12,330,282,0,0,3,2,85,63,14,0.0,0.7777777777777778,7.009615384615385,1.7307692307692308,10.774038461538463,1.1682692307692308,4.802884615384615,6.100961538461538,1.2702702702702702,8.307692307692308
2021,15580,2,2347958,4,0.0,0,0,0,0.0,0,6.333333333333334,12,12,12,0,0,2,8,0,11,0,0,6,38,30,1,0,0,0,5,2,3,0.0,,17.052631578947366,3.157894736842105,17.052631578947366,2.8421052631578947,11.368421052631579,15.63157894736842,1.375,17.052631578947366
2021,15580,2,2347965,2,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,2347966,4,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,2347967,23,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
2021,15580,2,2347968,48,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
