season,season_id,school_id,stats_player_seq,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HB,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2018,12973,2,1659965,2,2.0,1,0,0,1.0,0,10.333333333333334,7,2,1,3,0,0,0,0,10,0,0,1,40,39,0,0,1,0,13,7,2,0.0,1.0,0.8709677419354839,0.6774193548387096,6.096774193548387,0.0,0.0,8.709677419354838,,1.7419354838709677
2018,12973,2,1767864,12,4.0,1,3,1,0.0,0,28.333333333333332,29,21,17,5,1,1,12,1,15,3,0,6,129,109,2,0,5,0,32,33,8,0.0,0.25,5.3999999999999995,1.4470588235294117,9.211764705882354,0.3176470588235294,3.8117647058823527,4.764705882352941,1.25,6.670588235294118
2018,12973,2,1767887,15,0.0,0,0,0,0.0,0,17.333333333333332,27,20,19,4,0,1,15,0,11,3,0,3,92,70,10,7,2,2,18,17,2,0.0,,9.865384615384617,2.4230769230769234,14.01923076923077,0.5192307692307693,7.788461538461538,5.711538461538463,0.7333333333333333,10.384615384615385
2018,12973,2,1767888,21,4.0,2,3,0,0.0,0,54.0,61,37,29,9,0,3,12,0,51,11,1,10,244,213,9,7,2,6,44,63,17,0.0,0.4,4.833333333333334,1.3518518518518519,10.166666666666666,0.5,2.0,8.5,4.25,6.166666666666667
2018,12973,2,1884456,1,0.0,0,0,0,0.0,0,1.6666666666666665,3,5,5,3,0,0,2,0,1,1,0,0,10,7,2,0,0,0,2,1,0,0.0,,27.000000000000004,3.0000000000000004,16.200000000000003,0.0,10.8,5.4,0.5,27.000000000000004
2018,12973,2,1997672,11,0.0,0,0,0,0.0,0,11.0,18,13,13,4,0,2,8,0,7,1,0,6,57,48,9,4,0,0,14,9,2,0.0,,10.636363636363637,2.3636363636363638,14.727272727272728,1.6363636363636365,6.545454545454546,5.7272727272727275,0.875,10.636363636363637
2018,12973,2,1997676,1,0.0,0,0,0,0.0,0,0.3333333333333333,2,1,0,2,0,0,2,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0.0,,0.0,12.0,54.0,0.0,54.0,0.0,0.0,27.0
2018,12973,2,1997693,15,14.0,2,8,0,0.0,0,72.33333333333333,100,66,53,15,3,8,26,0,52,11,0,12,350,303,0,0,7,3,79,74,12,0.0,0.2,6.59447004608295,1.7419354838709677,12.442396313364055,0.9953917050691244,3.2350230414746544,6.470046082949309,2.0,8.211981566820278
2018,12973,2,1997694,17,9.0,4,6,0,0.0,0,60.666666666666664,82,45,42,15,1,7,23,0,43,2,0,5,283,249,5,2,8,1,90,39,10,0.0,0.4,6.230769230769231,1.7307692307692308,12.164835164835166,1.0384615384615385,3.4120879120879124,6.3791208791208796,1.8695652173913044,6.675824175824176
2018,12973,2,1997695,9,0.0,0,0,0,0.0,0,9.333333333333332,9,11,8,3,1,1,10,0,7,1,0,5,48,35,9,5,0,2,11,7,3,0.0,,7.714285714285715,2.035714285714286,8.67857142857143,0.9642857142857144,9.642857142857144,6.750000000000001,0.7,10.60714285714286
2018,12973,2,1997700,23,2.0,1,3,2,0.0,0,30.333333333333332,35,21,19,5,0,3,21,1,22,6,2,5,154,121,14,9,3,3,30,36,9,0.0,0.25,5.637362637362637,1.8461538461538463,10.384615384615385,0.8901098901098902,6.230769230769231,6.527472527472527,1.0476190476190477,6.230769230769231
2018,12973,2,1997702,29,1.0,4,2,0,0.0,0,54.666666666666664,57,29,24,10,1,5,21,2,35,9,0,2,246,200,27,17,8,8,56,62,9,0.0,0.6666666666666666,3.951219512195122,1.426829268292683,9.384146341463415,0.823170731707317,3.457317073170732,5.76219512195122,1.6666666666666667,4.774390243902439
2018,12973,2,1997706,20,11.0,2,7,0,0.0,0,72.33333333333333,85,51,45,14,2,6,25,0,44,6,1,12,322,280,5,3,7,4,93,64,8,0.0,0.2222222222222222,5.599078341013826,1.5207373271889402,10.576036866359448,0.7465437788018433,3.110599078341014,5.474654377880185,1.76,6.345622119815669
2018,12973,2,1997707,11,0.0,0,0,0,0.0,0,14.333333333333332,11,10,7,1,0,2,8,0,9,3,0,2,64,53,7,1,0,0,12,17,3,0.0,,4.395348837209303,1.3255813953488373,6.906976744186046,1.255813953488372,5.023255813953488,5.651162790697675,1.125,6.279069767441861
2018,12973,2,2005161,11,7.0,4,1,0,0.0,0,39.33333333333333,53,30,29,12,2,5,8,0,35,0,1,4,177,164,4,1,2,3,38,42,11,0.0,0.8,6.635593220338984,1.5508474576271187,12.127118644067798,1.1440677966101698,1.8305084745762712,8.008474576271187,4.375,6.864406779661017
2018,12973,4,1664109,13,12.0,11,0,1,10.0,2,94.0,82,22,18,15,1,2,7,0,109,3,0,2,370,351,0,0,9,0,80,76,30,0.0,1.0,1.7234042553191489,0.9468085106382979,7.851063829787234,0.19148936170212766,0.6702127659574468,10.436170212765957,15.571428571428571,2.1063829787234045
2018,12973,4,1777568,2,0.0,0,0,0,0.0,0,1.3333333333333333,1,0,0,0,0,0,0,0,1,0,0,0,4,4,2,0,0,0,2,0,0,0.0,,0.0,0.75,6.75,0.0,0.0,6.75,,0.0
2018,12973,4,1777575,6,0.0,0,0,0,0.0,0,8.333333333333332,8,9,3,1,0,1,6,0,8,1,0,3,41,34,2,2,0,0,5,10,4,0.0,,3.24,1.6800000000000002,8.640000000000002,1.0800000000000003,6.48,8.640000000000002,1.3333333333333333,9.72
2018,12973,4,1783574,13,1.0,2,1,0,0.0,0,17.0,15,15,11,2,1,3,11,0,10,5,0,1,84,65,7,7,0,3,16,22,5,0.0,0.6666666666666666,5.8235294117647065,1.5294117647058822,7.9411764705882355,1.5882352941176472,5.8235294117647065,5.294117647058823,0.9090909090909091,7.9411764705882355
2018,12973,4,1891428,6,0.0,0,0,0,0.0,0,5.0,10,7,4,1,1,1,0,0,6,3,1,3,29,26,0,0,0,0,6,3,1,0.0,,7.2,2.0,18.0,1.8,0.0,10.799999999999999,,12.6
2018,12973,4,1891431,12,12.0,7,2,0,2.0,0,72.66666666666667,69,42,34,11,0,3,32,0,67,3,1,8,320,281,0,0,1,3,63,76,16,0.0,0.7777777777777778,4.2110091743119265,1.389908256880734,8.545871559633028,0.3715596330275229,3.9633027522935778,8.298165137614678,2.09375,5.201834862385321
2018,12973,4,1891434,5,0.0,0,0,0,0.0,0,4.333333333333333,6,7,4,2,0,0,3,0,1,0,0,0,24,21,0,0,0,0,3,9,1,0.0,,8.307692307692308,2.076923076923077,12.461538461538463,0.0,6.230769230769232,2.076923076923077,0.3333333333333333,14.538461538461538
2018,12973,4,1891438,1,0.0,0,0,0,0.0,0,1.0,1,0,0,0,0,0,1,0,2,1,0,0,6,4,0,0,0,0,1,0,0,0.0,,0.0,2.0,9.0,0.0,9.0,18.0,2.0,0.0
